Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.29282674995640545,0
1,0.07183397232497465,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.2997458500445633,0
2,0.309760993083004,1
2,0.09792846085802742,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.33952799252111915,0
3,0.31907430230614975,1
3,0.2578125,2
3,0.09144360071580467,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.31096822014790765,0
4,0.30475463554987214,1
4,0.31145610516934047,2
4,0.221875,3
4,0.06240978867623603,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.3217626633986928,0
5,0.32137793485449734,1
5,0.3106767503196931,2
5,0.3698863636363636,3
5,0,4
5,0.1347064393939394,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.40679551334422653,0
6,0.27380514705882353,1
6,0.3157366071428571,2
6,0.292335358056266,3
6,0.32386363636363635,4
6,0,5
6,0.10179924242424242,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.3929615629829266,0
7,0.4055964052287582,1
7,0.280187908496732,2
7,0.3899395743145743,3
7,0.2808363970588236,4
7,0.3196022727272727,5
7,0,6
7,0.11458333333333333,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.4052919010160059,0
8,0.3720922734748804,1
8,0.43321759259259257,2
8,0.24650735294117648,3
8,0.3204241071428572,4
8,0.28239889705882354,5
8,0.3224431818181818,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.41398884821767273,0
9,0.3930894090590782,1
9,0.3826870265151516,2
9,0.41519097222222223,3
9,0.2493872549019608,4
9,0.32511160714285714,5
9,0.29044117647058826,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.43576437263501894,0
10,0.4142082509881423,1
10,0.398212031024531,2
10,0.3996803977272727,3
10,0,4
10,0.24025735294117645,5
10,0.27827380952380953,6
10,0.28125,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.35545343137254903,0
11,0.437577485380117,1
11,0.4321930038072541,2
11,0.515625,3
11,0.42329545454545453,4
11,0,5
11,0.22242647058823528,6
11,0.2916666666666667,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.38737900504404665,0
12,0.36313572303921565,1
12,0.4792516447368421,2
12,0.39204545454545453,3
12,0.5049715909090908,4
12,0.4289772727272727,5
12,0,6
12,0,7
12,0.25595238095238093,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.5089581042527268,0
13,0.31856362336601307,1
13,0.3599050245098039,2
13,0.5130208333333334,3
13,0,4
13,0.3794642857142857,5
13,0.42045454545454547,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.4853924474928311,0
14,0.4512690343282449,1
14,0.3314270152505447,2
14,0.3443359375,3
14,0.5428124999999999,4
14,0,5
14,0.37276785714285715,6
14,0.42045454545454547,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.45664800579322645,0
15,0.5185530254591955,1
15,0.4586466165413534,2
15,0.3578941993464052,3
15,0.3357894199346405,4
15,0,5
15,0,6
15,0.3861607142857143,7
15,0.42045454545454547,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.45123791658476264,0
16,0.45851019385026737,1
16,0.5650465250329381,2
16,0,3
16,0,4
16,0.3211141748366013,5
16,0,6
16,0,7
16,0.3794642857142857,8
16,0.42613636363636365,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.4194193165204678,0
17,0.45420751633986933,1
17,0.4777272727272727,2
17,0.5686120718050066,3
17,0,4
17,0,5
17,0.29791666666666666,6
17,0,7
17,0,8
17,0.38839285714285715,9
17,0.41761363636363635,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.49793755570409987,0
18,0.4177283166556096,1
18,0.3541666666666667,2
18,0.5077777777777778,3
18,0.5244904891304347,4
18,0,5
18,0,6
18,0.30625,7
18,0,8
18,0,9
18,0.37723214285714285,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.4593920206971678,0
19,0.5186789772727273,1
19,0.42693175954592366,2
19,0,3
19,0.625,4
19,0.5406589673913043,5
19,0,6
19,0,7
19,0.2875,8
19,0,9
19,0,10
19,0.3794642857142857,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.5340250329380763,0
20,0.4370061274509804,1
20,0.5683948863636363,2
20,0.4216492518059856,3
20,0,4
20,0,5
20,0,6
20,0,7
20,0,8
20,0.29791666666666666,9
20,0,10
20,0,11
20,0.3861607142857143,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
