Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,6,1400,232,2.51864,0.039062
1,19,1400,232,2.393008,0.015625
1,15,1400,232,2.400445,0.002604
1,0,1400,232,2.237111,0.332237
1,17,1400,232,2.378026,0.134766
1,12,1400,232,2.36696,0.07
1,14,1400,232,2.508474,0.013021
1,2,1400,232,2.464507,0.3125
1,13,1400,232,2.678365,0.059211
1,7,1400,232,1.737667,0.460227
1,10,1400,232,2.402062,0.039062
1,11,1400,232,2.398469,0.01875
1,1,1400,232,2.604976,0.003289
1,8,1400,232,2.13985,0.133681
1,5,1400,232,2.610543,0.025
1,9,1400,232,2.4035,0.027961
1,3,1400,232,3.71863,0.360938
1,18,1400,232,4.031535,0.332813
1,4,1400,232,1.865082,0.391927
1,16,1400,232,2.41092,0.017361
2,19,1400,232,2.336526,0.039062
2,15,1400,232,2.273564,0.044271
2,5,1400,232,1.738576,0.270833
2,6,1400,232,2.359529,0.007812
2,13,1400,232,2.351616,0.055921
2,17,1400,232,2.336981,0.066406
2,14,1400,232,2.412774,0.052083
2,18,1400,232,1.818985,0.235937
2,1,1400,232,1.77689,0.427632
2,16,1400,232,1.922165,0.398148
2,8,1400,232,2.037383,0.201389
2,3,1400,232,1.789673,0.365625
2,2,1400,232,1.804584,0.354167
2,11,1400,232,1.740452,0.43125
2,9,1400,232,2.384906,0.013158
2,4,1400,232,1.593082,0.411458
2,10,1400,232,2.399789,0.104688
2,0,1400,232,2.365526,0.052632
2,12,1400,232,2.312744,0.01125
2,7,1400,232,1.61033,0.5
3,6,1400,232,2.379691,0.005208
3,19,1400,232,2.332931,0.039062
3,5,1400,232,1.726888,0.366667
3,7,1400,232,1.48664,0.494318
3,18,1400,232,1.613059,0.375
3,14,1400,232,1.907158,0.330729
3,15,1400,232,2.294016,0.044271
3,1,1400,232,1.632997,0.370066
3,11,1400,232,1.485328,0.521875
3,8,1400,232,2.058358,0.239583
3,10,1400,232,2.286606,0.10625
3,13,1400,232,2.383169,0.055921
3,17,1400,232,1.999572,0.195312
3,0,1400,232,2.328729,0.052632
3,2,1400,232,1.778788,0.363095
3,4,1400,232,1.485236,0.467448
3,3,1400,232,1.963153,0.360938
3,9,1400,232,2.341634,0.014803
3,16,1400,232,1.72787,0.416667
3,12,1400,232,2.341605,0.01125
4,19,1400,232,2.2713,0.246094
4,15,1400,232,1.658282,0.507812
4,5,1400,232,1.747047,0.208333
4,17,1400,232,1.988533,0.246094
4,7,1400,232,1.590353,0.433239
4,6,1400,232,2.363002,0.023438
4,9,1400,232,2.082956,0.154605
4,14,1400,232,1.933667,0.385417
4,0,1400,232,2.333636,0.082237
4,18,1400,232,1.661196,0.367188
4,8,1400,232,2.047961,0.175347
4,1,1400,232,1.553162,0.425987
4,11,1400,232,1.494755,0.540625
4,13,1400,232,2.386192,0.006579
4,3,1400,232,1.530103,0.445312
4,10,1400,232,2.271357,0.10625
4,2,1400,232,1.694549,0.397321
4,12,1400,232,1.651391,0.4225
4,16,1400,232,1.778951,0.350694
4,4,1400,232,1.464739,0.486979
5,19,1400,232,1.971728,0.238281
5,6,1400,232,2.327551,0.072917
5,14,1400,232,1.935005,0.325521
5,5,1400,232,1.704054,0.320833
5,15,1400,232,1.666468,0.510417
5,3,1400,232,1.525578,0.435937
5,8,1400,232,1.964103,0.321181
5,18,1400,232,1.638124,0.370312
5,9,1400,232,2.074797,0.169408
5,17,1400,232,1.992996,0.197266
5,11,1400,232,1.396703,0.5625
5,7,1400,232,1.604665,0.416193
5,0,1400,232,1.632595,0.453947
5,10,1400,232,2.289845,0.15
5,2,1400,232,1.693154,0.386905
5,13,1400,232,1.599779,0.366776
5,4,1400,232,1.49652,0.463542
5,1,1400,232,1.543984,0.429276
5,12,1400,232,1.634728,0.4225
5,16,1400,232,1.620567,0.428241
6,19,1400,232,1.99604,0.25
6,11,1400,232,1.311695,0.5625
6,15,1400,232,1.628675,0.505208
6,6,1400,232,2.322087,0.065104
6,17,1400,232,1.978375,0.203125
6,8,1400,232,1.802702,0.378472
6,0,1400,232,1.527359,0.498355
6,14,1400,232,1.937629,0.328125
6,3,1400,232,1.527778,0.454688
6,9,1400,232,2.074367,0.167763
6,5,1400,232,1.741594,0.2625
6,7,1400,232,1.628947,0.409091
6,10,1400,232,2.269554,0.167187
6,13,1400,232,1.628618,0.365132
6,12,1400,232,1.667286,0.375
6,2,1400,232,1.647875,0.41369
6,18,1400,232,1.539941,0.392188
6,1,1400,232,1.351795,0.506579
6,4,1400,232,1.483078,0.467448
6,16,1400,232,1.640837,0.429398
7,19,1400,232,1.975517,0.246094
7,14,1400,232,1.913457,0.330729
7,11,1400,232,1.347855,0.5625
7,5,1400,232,1.71587,0.345833
7,6,1400,232,2.301679,0.153646
7,17,1400,232,1.992685,0.199219
7,15,1400,232,1.633214,0.505208
7,0,1400,232,1.524855,0.504934
7,18,1400,232,1.542977,0.4
7,1,1400,232,1.208265,0.547697
7,9,1400,232,2.063019,0.166118
7,12,1400,232,1.513311,0.4175
7,10,1400,232,1.835997,0.351562
7,13,1400,232,1.389529,0.473684
7,8,1400,232,1.764356,0.399306
7,3,1400,232,1.515638,0.446875
7,7,1400,232,1.60173,0.416193
7,2,1400,232,1.585374,0.456845
7,16,1400,232,1.609032,0.443287
7,4,1400,232,1.609713,0.46875
8,6,1400,232,2.00816,0.234375
8,14,1400,232,1.927156,0.328125
8,19,1400,232,1.976323,0.246094
8,13,1400,232,1.403572,0.486842
8,5,1400,232,1.719119,0.314583
8,15,1400,232,1.63234,0.507812
8,9,1400,232,2.071544,0.164474
8,8,1400,232,1.789631,0.383681
8,0,1400,232,1.516833,0.511513
8,10,1400,232,1.833931,0.354687
8,17,1400,232,1.976833,0.201172
8,1,1400,232,1.21383,0.554276
8,2,1400,232,1.602256,0.452381
8,3,1400,232,1.521527,0.459375
8,7,1400,232,1.522287,0.507102
8,12,1400,232,1.545927,0.445
8,18,1400,232,1.515188,0.435937
8,11,1400,232,1.335939,0.55625
8,4,1400,232,1.488728,0.50651
8,16,1400,232,1.627802,0.430556
9,19,1400,232,1.940959,0.261719
9,15,1400,232,1.606256,0.505208
9,6,1400,232,2.008914,0.338542
9,5,1400,232,1.649795,0.364583
9,17,1400,232,1.995427,0.199219
9,14,1400,232,1.791788,0.450521
9,4,1400,232,1.256085,0.570312
9,10,1400,232,1.842706,0.346875
9,8,1400,232,1.719121,0.371528
9,3,1400,232,1.524598,0.442188
9,1,1400,232,1.237659,0.532895
9,11,1400,232,1.163385,0.642188
9,9,1400,232,2.059407,0.175987
9,2,1400,232,1.603791,0.465774
9,13,1400,232,1.228018,0.552632
9,7,1400,232,1.516609,0.497159
9,18,1400,232,1.52691,0.439063
9,0,1400,232,1.526634,0.503289
9,12,1400,232,1.529404,0.4425
9,16,1400,232,1.602367,0.447917
10,6,1400,232,1.995112,0.268229
10,19,1400,232,1.956651,0.253906
10,15,1400,232,1.555124,0.510417
10,14,1400,232,1.81699,0.453125
10,17,1400,232,1.970901,0.228516
10,8,1400,232,1.743517,0.388889
10,1,1400,232,1.245993,0.527961
10,12,1400,232,1.563197,0.44375
10,5,1400,232,1.637612,0.39375
10,0,1400,232,1.416197,0.508224
10,2,1400,232,1.55388,0.455357
10,18,1400,232,1.61048,0.348438
10,13,1400,232,1.206339,0.570724
10,11,1400,232,1.186464,0.632812
10,4,1400,232,1.242955,0.56901
10,9,1400,232,2.056672,0.217105
10,3,1400,232,1.592871,0.434375
10,10,1400,232,1.838227,0.354687
10,16,1400,232,1.649937,0.427083
10,7,1400,232,1.481522,0.508523
11,19,1400,232,1.924874,0.300781
11,17,1400,232,1.884982,0.304688
11,5,1400,232,1.628737,0.391667
11,6,1400,232,1.906306,0.3125
11,7,1400,232,1.481791,0.50142
