Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,7,1,1.776081,1400,1.753869,0.333097
1,2,1,1.446904,1400,2.179739,0.208807
1,18,1,1.546181,1400,2.08913,0.230804
1,8,1,1.751354,1400,2.080485,0.221484
1,3,1,1.769964,1400,1.889188,0.219522
1,4,1,1.99354,1400,1.987604,0.28461
2,16,1,1.501107,1400,2.122026,0.235294
2,2,1,1.493361,1400,2.047163,0.28125
2,18,1,1.57021,1400,1.996838,0.273661
2,11,1,1.502765,1400,2.206461,0.193934
2,5,1,1.938309,1400,2.028621,0.253472
2,1,1,2.154011,1400,1.852424,0.324375
3,11,1,1.525903,1400,2.043016,0.257812
3,18,1,1.555354,1400,1.876671,0.34375
3,17,1,1.569033,1400,2.132507,0.226339
3,14,1,1.786857,1400,1.939972,0.233434
3,7,1,1.946559,1400,1.535447,0.445668
3,4,1,2.034172,1400,1.809102,0.340054
4,12,1,1.300088,1400,2.08537,0.210805
4,2,1,1.483608,1400,1.955102,0.297348
4,15,1,1.604999,1400,2.174327,0.184966
4,3,1,1.794183,1400,1.646172,0.352238
4,9,1,1.83766,1400,1.891401,0.280134
4,7,1,1.909958,1400,1.42915,0.491832
5,19,1,1.417899,1400,2.089124,0.263889
5,11,1,1.507248,1400,1.950401,0.288603
5,16,1,1.510758,1400,1.98427,0.275735
5,8,1,1.770569,1400,1.85232,0.314844
5,0,1,1.797813,1400,1.710572,0.430346
5,13,1,1.686967,1400,2.055274,0.222403
6,18,1,1.577757,1400,1.801031,0.386161
6,2,1,1.474226,1400,1.83053,0.340909
6,15,1,1.639133,1400,2.107297,0.209882
6,0,1,1.813679,1400,1.407671,0.567395
6,8,1,1.768743,1400,1.721047,0.38125
6,1,1,2.131913,1400,1.655689,0.40875
7,10,1,1.033566,1400,1.968069,0.415278
7,12,1,1.341758,1400,1.949351,0.305085
7,2,1,1.46265,1400,1.761059,0.366477
7,13,1,1.70451,1400,1.923638,0.286932
7,4,1,2.046532,1400,1.663131,0.403898
7,1,1,2.152561,1400,1.502042,0.455
8,6,1,1.081028,1400,2.225794,0.164714
8,12,1,1.291772,1400,1.73162,0.39089
8,18,1,1.555045,1400,1.745723,0.394196
8,11,1,1.510143,1400,1.886424,0.311121
8,7,1,1.93221,1400,1.289067,0.578835
8,4,1,1.959481,1400,1.519558,0.448925
9,11,1,1.534891,1400,1.786999,0.37546
9,13,1,1.741398,1400,1.810869,0.367695
9,14,1,1.862152,1400,1.764225,0.321913
9,8,1,1.776754,1400,1.659776,0.413281
9,5,1,2.007956,1400,1.78916,0.358333
9,4,1,2.042952,1400,1.503323,0.456317
10,18,1,1.575441,1400,1.700159,0.413839
10,15,1,1.675111,1400,1.995571,0.258446
10,13,1,1.743115,1400,1.717186,0.407468
10,0,1,1.846381,1400,1.285408,0.616717
10,3,1,1.815585,1400,1.530439,0.42284
10,1,1,2.165853,1400,1.365576,0.50875
11,6,1,1.095597,1400,2.122076,0.233724
11,19,1,1.410713,1400,1.947247,0.318452
11,2,1,1.480717,1400,1.634159,0.410038
11,18,1,1.53107,1400,1.579944,0.449107
11,17,1,1.544233,1400,2.000801,0.319643
11,14,1,1.786057,1400,1.62921,0.380648
12,6,1,1.082948,1400,2.065018,0.234375
12,11,1,1.500236,1400,1.712271,0.403033
12,16,1,1.495742,1400,1.888828,0.31296
12,15,1,1.612622,1400,1.909795,0.319679
12,8,1,1.76315,1400,1.506376,0.471094
12,4,1,1.958338,1400,1.349098,0.515121
13,13,1,1.716898,1400,1.661967,0.435877
13,8,1,1.801488,1400,1.393673,0.5
13,9,1,1.859343,1400,1.641149,0.451637
13,4,1,2.020343,1400,1.293244,0.533602
13,7,1,1.927467,1400,1.280551,0.589489
13,5,1,1.980569,1400,1.672405,0.397917
14,16,1,1.519763,1400,1.803135,0.346507
14,18,1,1.562025,1400,1.568515,0.449107
14,8,1,1.78834,1400,1.319989,0.527734
14,3,1,1.798701,1400,1.377057,0.496142
14,7,1,1.886574,1400,1.118973,0.633523
14,4,1,1.99592,1400,1.251783,0.569556
15,6,1,1.071864,1400,1.953522,0.283854
15,16,1,1.518651,1400,1.675159,0.404871
15,0,1,1.812135,1400,1.147493,0.637801
15,14,1,1.823632,1400,1.492588,0.452937
15,5,1,1.941095,1400,1.566789,0.455556
15,1,1,2.130693,1400,1.249863,0.572812
16,11,1,1.527362,1400,1.643466,0.439338
16,18,1,1.548736,1400,1.473582,0.488393
16,15,1,1.64944,1400,1.827233,0.362331
16,13,1,1.703786,1400,1.61291,0.467127
16,3,1,1.784066,1400,1.321741,0.511574
16,9,1,1.814835,1400,1.512614,0.491071
