Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.3320141519360269,0
1,0.05681035270467837,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.3529945378492527,0
2,0.36688368055555554,1
2,0.04498876096491228,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.40701941287878785,0
3,0.3804115323029797,1
3,0.3002604166666667,2
3,0.04080626370614035,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.427826609611149,0
4,0.38734375,1
4,0.33423489278752433,2
4,0.296875,3
4,0.14135416666666667,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.3911102988953867,0
5,0.4272611334206729,1
5,0.3583984375,2
5,0.36463815789473686,3
5,0,4
5,0.11875,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.455124791144528,0
6,0.38238266020955164,1
6,0.4049099132775119,2
6,0.345703125,3
6,0.2625,4
6,0,5
6,0.11458333333333334,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.47126592522974103,0
7,0.4648574561403509,1
7,0.40277777777777773,2
7,0.4161308811802233,3
7,0.287109375,4
7,0.35,5
7,0,6
7,0.07552083333333333,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.4757023358585859,0
8,0.46745183270676693,1
8,0.48408564814814814,2
8,0.3686342592592593,3
8,0.3862664473684211,4
8,0.30110677083333337,5
8,0.325,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.4543935794346979,0
9,0.42339725378787874,1
9,0.4536771616541353,2
9,0.5154194078947368,3
9,0.3589409722222222,4
9,0.37360197368421055,5
9,0.302734375,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.49972587719298245,0
10,0.44262152777777775,1
10,0.44535984848484844,2
10,0.415327380952381,3
10,0,4
10,0.37427662037037035,5
10,0.28289473684210525,6
10,0.24609375,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.4198939732142857,0
11,0.5279714912280701,1
11,0.47927517361111105,2
11,0.5005113636363636,3
11,0.3546875,4
11,0,5
11,0.41087962962962965,6
11,0.29276315789473684,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.49883777006172836,0
12,0.41685639880952385,1
12,0.5293379934210527,2
12,0.37916666666666665,3
12,0.5055965909090909,4
12,0.3484375,5
12,0,6
12,0,7
12,0.31414473684210525,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.4720853684875066,0
13,0.48930844907407406,1
13,0.4266592261904762,2
13,0.5166392543859649,3
13,0,4
13,0.51,5
13,0.353125,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.5115525918911336,0
14,0.4163011695906433,1
14,0.4979166666666666,2
14,0.4029947916666667,3
14,0.5476973684210527,4
14,0,5
14,0.50875,6
14,0.353125,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.5100054824561403,0
15,0.5141840277777778,1
15,0.44736842105263164,2
15,0.5526041666666667,3
15,0.3970114087301588,4
15,0,5
15,0,6
15,0.51,7
15,0.3515625,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.5375776681286549,0
16,0.5117603760558804,1
16,0.525423505892256,2
16,0,3
16,0,4
16,0.39118303571428575,5
16,0,6
16,0,7
16,0.5025,8
16,0.353125,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.5272802775167084,0
17,0.5274305555555556,1
17,0.5069791666666668,2
17,0.5268439604377105,3
17,0,4
17,0,5
17,0.37890625,6
17,0,7
17,0,8
17,0.5075,9
17,0.3515625,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.49264520202020196,0
18,0.5226073357583775,1
18,0.5078125,2
18,0.5509411549707602,3
18,0.5182291666666667,4
18,0,5
18,0,6
18,0.375,7
18,0,8
18,0,9
18,0.5025,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.5429565667641325,0
19,0.45583570075757573,1
19,0.518920935150376,2
19,0,3
19,0.59375,4
19,0.525390625,5
19,0,6
19,0,7
19,0.37109375,8
19,0,9
19,0,10
19,0.49875,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.5212209125243664,0
20,0.5395358187134504,1
20,0.5029592803030303,2
20,0.5219071115288221,3
20,0,4
20,0,5
20,0,6
20,0,7
20,0,8
20,0.3828125,9
20,0,10
20,0,11
20,0.50125,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
