Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
0.401629,1,0.155061,107.07198513149926,0.3756282396331739,0.460227
0.271791,2,0.225204,124.01266064398425,0.43369761208576996,0.5
0.264938,3,0.262568,128.4824501634367,0.4645107323232323,0.5
0.256502,4,0.306386,114.96495118078377,0.4704251893939394,0.521875
0.260173,5,0.368801,102.63297472060331,0.49002132066276793,0.559375
0.244361,6,0.376444,103.17716559394331,0.5008141447368422,0.567187
0.26448,7,0.407014,102.48281563267084,0.5266885964912281,0.560937
0.253122,8,0.418818,107.2559555456013,0.5392945075757576,0.6
0.258639,9,0.430282,99.4053695732781,0.5365572667464115,0.567187
0.260472,10,0.440812,97.97932179802021,0.5497149122807018,0.595395
0.261337,11,0.456097,92.96261345293601,0.553216457336523,0.590461
0.259082,12,0.470788,100.05028735590918,0.573565340909091,0.667188
0.240807,13,0.469939,99.60928671564716,0.5730430123604465,0.660937
0.262639,14,0.480978,106.99233617413913,0.583490081738437,0.657813
0.257176,15,0.491253,105.0737241178783,0.5942105263157895,0.667188
0.253249,16,0.488706,107.98095896962576,0.5965104166666666,0.645312
0.242278,17,0.497622,103.10480105213335,0.5895668859649122,0.665625
0.263112,18,0.508322,104.20705350406949,0.5993740031897927,0.659375
0.250555,19,0.51053,102.39111289560242,0.6039418859649123,0.659375
0.263425,20,0.522928,104.97328231507292,0.6221506180223286,0.670312
