Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,3,1,2.16287,1400,0.69545,0.802083
1,2,1,1.04165,1400,0.848921,0.771307
1,7,1,1.166954,1400,1.094128,0.704044
1,18,1,1.255351,1400,1.188905,0.553819
1,8,1,1.44219,1400,0.91816,0.77877
1,12,1,1.681679,1400,1.39053,0.579392
1,4,1,1.97006,1400,0.69856,0.791319
1,14,1,2.098334,1400,0.401786,0.932668
2,5,1,0.453954,1400,1.843651,0.458882
2,2,1,1.055285,1400,0.493859,0.818182
2,10,1,1.104027,1400,1.613015,0.461277
2,18,1,1.243455,1400,0.834267,0.622685
2,12,1,1.696287,1400,1.163742,0.629645
2,16,1,1.691634,1400,1.146892,0.66875
2,1,1,1.790999,1400,1.470449,0.407407
2,11,1,1.996429,1400,0.831658,0.645041
3,7,1,1.235229,1400,0.795267,0.750613
3,18,1,1.30767,1400,0.697337,0.752894
3,17,1,1.743676,1400,1.748262,0.374578
3,19,1,1.861396,1400,1.371342,0.439123
3,9,1,1.956509,1400,1.141675,0.719893
3,4,1,2.137538,1400,0.554344,0.819444
3,11,1,2.139146,1400,0.484755,0.804348
3,14,1,2.243623,1400,0.259627,0.951997
4,2,1,1.08251,1400,0.478504,0.837358
4,15,1,1.214597,1400,1.480115,0.438113
4,7,1,1.250583,1400,0.758277,0.768995
4,13,1,1.831219,1400,1.025576,0.492089
4,12,1,1.744607,1400,1.089365,0.660051
4,1,1,1.921313,1400,1.248815,0.502701
4,9,1,1.916811,1400,1.003391,0.72218
4,3,1,2.413189,1400,0.594231,0.822627
5,7,1,1.211439,1400,0.675059,0.802083
5,8,1,1.454194,1400,0.651991,0.820437
5,12,1,1.736191,1400,0.989567,0.710304
5,16,1,1.780611,1400,0.9366,0.70125
5,13,1,1.837591,1400,0.762436,0.574367
5,19,1,1.798993,1400,1.165657,0.515828
5,11,1,2.091299,1400,0.421454,0.858356
5,0,1,2.868151,1400,1.335621,0.465485
6,2,1,1.04768,1400,0.375548,0.877131
6,10,1,1.107481,1400,1.287846,0.536685
6,15,1,1.248843,1400,1.274042,0.489583
6,18,1,1.277109,1400,0.66784,0.821759
6,8,1,1.462728,1400,0.607476,0.81994
6,19,1,1.746755,1400,1.07426,0.546672
6,1,1,1.814136,1400,1.142259,0.584105
6,0,1,2.856362,1400,1.095219,0.580457
7,2,1,1.052684,1400,0.384298,0.862926
7,10,1,1.105331,1400,1.221913,0.572011
7,8,1,1.497063,1400,0.603258,0.828869
7,16,1,1.75977,1400,0.907086,0.70125
7,12,1,1.707085,1400,0.990117,0.716216
7,13,1,1.80462,1400,0.68825,0.706487
7,1,1,1.849546,1400,0.997913,0.654321
7,4,1,2.065333,1400,0.540296,0.818403
8,7,1,1.232709,1400,0.617823,0.83027
8,18,1,1.250921,1400,0.642333,0.840278
8,12,1,1.723593,1400,0.892148,0.737331
8,1,1,1.907077,1400,0.952477,0.671296
8,4,1,2.116,1400,0.505716,0.81875
8,11,1,2.139792,1400,0.378326,0.888927
8,6,1,2.254154,1400,0.579737,0.868371
8,0,1,2.877201,1400,0.995344,0.628731
9,5,1,0.4565,1400,1.286371,0.549342
9,10,1,1.114265,1400,1.141607,0.618886
9,8,1,1.459355,1400,0.598055,0.84871
9,13,1,1.774262,1400,0.630752,0.745649
9,11,1,2.059911,1400,0.30178,0.903193
9,4,1,2.027929,1400,0.478222,0.823611
9,14,1,2.162382,1400,0.255625,0.951997
9,0,1,2.780833,1400,0.950854,0.64459
10,15,1,1.232617,1400,1.213896,0.515931
10,7,1,1.193721,1400,0.563739,0.849265
10,18,1,1.243072,1400,0.600295,0.863426
10,13,1,1.783024,1400,0.546966,0.792722
10,1,1,1.831067,1400,0.886503,0.711806
10,17,1,1.707763,1400,1.522667,0.444679
10,3,1,2.373028,1400,0.610183,0.820602
10,0,1,2.854453,1400,0.864821,0.673041
11,2,1,1.077651,1400,0.365567,0.878551
11,18,1,1.256815,1400,0.567672,0.869213
11,8,1,1.472126,1400,0.579051,0.857143
11,12,1,1.702639,1400,0.941861,0.745777
11,17,1,1.690466,1400,1.356341,0.503801
11,19,1,1.787043,1400,0.992123,0.591315
11,14,1,2.212845,1400,0.258449,0.951997
11,6,1,2.238866,1400,0.459416,0.886679
12,5,1,0.453603,1400,1.2724,0.600329
12,15,1,1.223654,1400,1.154606,0.572304
12,8,1,1.456419,1400,0.527184,0.856647
12,16,1,1.696846,1400,0.864873,0.70125
12,11,1,2.067038,1400,0.350594,0.891644
12,4,1,2.022386,1400,0.494588,0.824306
12,6,1,2.207471,1400,0.407507,0.886679
12,0,1,2.85168,1400,0.874621,0.691231
13,5,1,0.473064,1400,1.232284,0.606908
13,7,1,1.196894,1400,0.608828,0.834559
13,10,1,1.070676,1400,1.039154,0.648777
13,8,1,1.448542,1400,0.518772,0.866071
13,9,1,1.848555,1400,0.911735,0.743902
13,13,1,1.731965,1400,0.500243,0.831487
13,4,1,1.987877,1400,0.412359,0.848611
13,3,1,2.337013,1400,0.575391,0.824074
14,7,1,1.208615,1400,0.566023,0.845588
14,18,1,1.270418,1400,0.538615,0.884259
14,8,1,1.486,1400,0.523162,0.87252
14,16,1,1.771092,1400,0.846197,0.7025
14,1,1,1.88893,1400,0.810058,0.744213
14,4,1,2.090787,1400,0.427283,0.855556
14,11,1,2.097344,1400,0.294895,0.919497
14,3,1,2.419316,1400,0.51857,0.823785
15,5,1,0.463565,1400,1.216302,0.606908
15,18,1,1.26492,1400,0.446348,0.906829
15,16,1,1.754981,1400,0.827782,0.71125
15,1,1,1.847632,1400,0.7565,0.756944
15,14,1,2.239904,1400,0.267707,0.951997
15,6,1,2.240332,1400,0.451895,0.886679
15,3,1,2.443253,1400,0.48997,0.833333
15,0,1,2.881777,1400,0.825642,0.70569
16,15,1,1.206522,1400,1.067191,0.60723
16,18,1,1.257217,1400,0.49287,0.899884
16,7,1,1.17277,1400,0.504071,0.859681
16,13,1,1.808354,1400,0.45545,0.848101
16,9,1,1.904602,1400,0.809827,0.769817
16,11,1,2.057964,1400,0.276087,0.930027
16,3,1,2.410092,1400,0.481174,0.837095
16,0,1,2.853292,1400,0.739339,0.734375
17,2,1,1.047606,1400,0.26347,0.913352
17,13,1,1.838345,1400,0.417397,0.856013
17,16,1,1.807492,1400,0.796828,0.733333
17,19,1,1.83022,1400,0.947451,0.609172
17,17,1,1.747665,1400,1.336025,0.531672
17,12,1,1.738588,1400,0.884579,0.76098
17,9,1,1.90475,1400,0.768458,0.78125
17,11,1,2.141031,1400,0.232859,0.924592
18,5,1,0.460891,1400,1.230193,0.603618
18,10,1,1.104865,1400,0.969139,0.684103
18,15,1,1.252593,1400,1.077495,0.608456
18,7,1,1.199485,1400,0.493955,0.870098
18,18,1,1.247548,1400,0.464,0.90625
18,16,1,1.713242,1400,0.700608,0.742917
18,14,1,2.120248,1400,0.270643,0.95232
18,3,1,2.348983,1400,0.488948,0.84838
19,5,1,0.46911,1400,1.217245,0.605263
19,15,1,1.173637,1400,0.972532,0.656863
19,18,1,1.248476,1400,0.452091,0.895255
19,8,1,1.446197,1400,0.521132,0.88244
19,16,1,1.733526,1400,0.731449,0.752917
19,1,1,1.815022,1400,0.714453,0.781636
19,6,1,2.176463,1400,0.430872,0.886364
19,3,1,2.34317,1400,0.43511,0.850984
