Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,19,1400,232,2.294384,0.015625
1,6,1400,232,2.462926,0.036458
1,18,1400,232,3.554972,0.33125
1,11,1400,232,2.294455,0.01875
1,15,1400,232,2.256811,0.002604
1,17,1400,232,2.396488,0.134766
1,0,1400,232,2.276026,0.332237
1,12,1400,232,1.965364,0.4725
1,5,1400,232,2.477276,0.025
1,8,1400,232,2.12399,0.171875
1,13,1400,232,2.578667,0.059211
1,10,1400,232,2.382676,0.039062
1,3,1400,232,1.80624,0.360938
1,7,1400,232,2.242198,0.507102
1,2,1400,232,2.557703,0.311012
1,4,1400,232,2.095445,0.352865
1,14,1400,232,3.685945,0.333333
1,1,1400,232,2.615217,0.003289
1,9,1400,232,2.384905,0.027961
1,16,1400,232,2.441898,0.017361
2,15,1400,232,2.207229,0.330729
2,6,1400,232,2.358972,0.007812
2,19,1400,232,2.29538,0.113281
2,17,1400,232,2.350854,0.070312
2,14,1400,232,2.231143,0.328125
2,18,1400,232,1.796697,0.260937
2,1,1400,232,1.661036,0.432566
2,5,1400,232,1.720221,0.314583
2,3,1400,232,1.694368,0.414062
2,0,1400,232,2.338023,0.024671
2,9,1400,232,2.360906,0.046053
2,2,1400,232,1.765643,0.394345
2,13,1400,232,2.34484,0.041118
2,8,1400,232,2.035736,0.255208
2,11,1400,232,1.675304,0.459375
2,7,1400,232,1.624817,0.492898
2,10,1400,232,1.885065,0.353125
2,12,1400,232,1.77136,0.49625
2,4,1400,232,1.682777,0.377604
2,16,1400,232,1.796842,0.398148
3,5,1400,232,1.730512,0.360417
3,6,1400,232,2.376653,0.007812
3,19,1400,232,2.025636,0.257812
3,15,1400,232,2.293391,0.044271
3,17,1400,232,1.964785,0.265625
3,1,1400,232,1.603033,0.389803
3,13,1400,232,2.390159,0.055921
3,2,1400,232,1.747356,0.373512
3,3,1400,232,1.670599,0.364063
3,8,1400,232,2.037259,0.241319
3,18,1400,232,1.6076,0.382812
3,0,1400,232,2.350183,0.052632
3,10,1400,232,1.88788,0.354687
3,14,1400,232,1.672936,0.463542
3,11,1400,232,1.630748,0.485938
3,7,1400,232,1.55691,0.49858
3,9,1400,232,2.067887,0.174342
3,4,1400,232,1.466305,0.47526
3,16,1400,232,1.726244,0.40625
3,12,1400,232,1.810005,0.47625
4,19,1400,232,1.968478,0.25
4,6,1400,232,2.328518,0.125
4,15,1400,232,1.65319,0.510417
4,13,1400,232,1.547157,0.363487
4,2,1400,232,1.71842,0.397321
4,14,1400,232,1.637911,0.463542
4,0,1400,232,2.297097,0.082237
4,8,1400,232,2.041574,0.262153
4,1,1400,232,1.460672,0.447368
4,17,1400,232,1.984346,0.267578
4,3,1400,232,1.592638,0.420312
4,12,1400,232,1.29181,0.53125
4,5,1400,232,1.731868,0.275
4,18,1400,232,1.630361,0.370312
4,11,1400,232,1.571295,0.495312
4,9,1400,232,1.896744,0.305921
4,10,1400,232,1.875004,0.353125
4,7,1400,232,1.532944,0.463068
4,16,1400,232,1.745298,0.375
4,4,1400,232,1.441608,0.486979
5,6,1400,232,2.334936,0.070312
5,15,1400,232,1.672915,0.505208
5,11,1400,232,1.360071,0.564063
5,8,1400,232,1.949735,0.288194
5,19,1400,232,1.984178,0.238281
5,14,1400,232,1.648382,0.460938
5,5,1400,232,1.716468,0.320833
5,9,1400,232,1.889971,0.274671
5,10,1400,232,1.863652,0.353125
5,17,1400,232,1.983466,0.197266
5,3,1400,232,1.59135,0.428125
5,1,1400,232,1.433072,0.457237
5,12,1400,232,1.134421,0.5825
5,7,1400,232,1.510317,0.497159
5,0,1400,232,1.615054,0.457237
5,2,1400,232,1.72224,0.392857
5,13,1400,232,1.427703,0.432566
5,18,1400,232,1.615484,0.373437
5,4,1400,232,1.456946,0.47526
5,16,1400,232,1.672752,0.434028
6,19,1400,232,1.87515,0.363281
6,14,1400,232,1.656864,0.447917
6,6,1400,232,2.304826,0.072917
6,5,1400,232,1.727273,0.302083
6,17,1400,232,1.978239,0.263672
6,10,1400,232,1.713471,0.385937
6,15,1400,232,1.617236,0.510417
6,13,1400,232,1.448081,0.419408
6,11,1400,232,1.335452,0.565625
6,9,1400,232,1.896271,0.327303
6,0,1400,232,1.573343,0.424342
6,1,1400,232,1.30301,0.53125
6,7,1400,232,1.520025,0.490057
6,2,1400,232,1.641567,0.410714
6,4,1400,232,1.488165,0.472656
6,8,1400,232,1.744412,0.390625
6,12,1400,232,1.190877,0.55625
6,3,1400,232,1.570244,0.428125
6,16,1400,232,1.679411,0.422454
6,18,1400,232,1.542751,0.401562
7,11,1400,232,1.334522,0.5625
7,15,1400,232,1.613321,0.505208
7,19,1400,232,1.884639,0.339844
7,14,1400,232,1.646363,0.455729
7,1,1400,232,1.168793,0.565789
7,17,1400,232,1.971535,0.248047
7,6,1400,232,2.311061,0.067708
7,5,1400,232,1.709443,0.3375
7,8,1400,232,1.645754,0.428819
7,9,1400,232,1.885388,0.315789
7,18,1400,232,1.548531,0.382812
7,10,1400,232,1.640379,0.401562
7,13,1400,232,1.269892,0.524671
7,3,1400,232,1.579287,0.428125
7,0,1400,232,1.58262,0.416118
7,16,1400,232,1.503941,0.484954
7,4,1400,232,1.403742,0.472656
7,7,1400,232,1.505326,0.49858
7,2,1400,232,1.642002,0.450893
7,12,1400,232,1.12342,0.59125
8,19,1400,232,1.903018,0.34375
8,15,1400,232,1.609667,0.507812
8,14,1400,232,1.648716,0.463542
8,5,1400,232,1.719172,0.341667
8,6,1400,232,1.996168,0.296875
8,10,1400,232,1.623388,0.40625
8,13,1400,232,1.271356,0.527961
8,18,1400,232,1.464994,0.421875
8,17,1400,232,1.971191,0.228516
8,1,1400,232,1.085946,0.606908
8,8,1400,232,1.657489,0.420139
8,9,1400,232,1.88012,0.305921
8,4,1400,232,1.403389,0.52474
8,7,1400,232,1.41222,0.535511
8,0,1400,232,1.520866,0.449013
8,11,1400,232,1.309796,0.5875
8,2,1400,232,1.638029,0.438988
8,3,1400,232,1.589137,0.428125
8,16,1400,232,1.495355,0.491898
8,12,1400,232,1.071265,0.62
9,19,1400,232,1.874778,0.335938
9,12,1400,232,1.085683,0.6175
