Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,26,1400,232,2.213955905702379,0.0
1,15,1400,232,2.2884893050560584,0.0
1,25,1400,232,2.3837185223897297,0.0
1,35,1400,232,2.1968481222788494,0.0
1,5,1400,232,2.584819197654724,0.0
1,31,1400,232,0.2907899195949237,0.8333333333333334
1,6,1400,232,0.456158425878076,0.9724264705882353
1,43,1400,232,0.5036968638499578,0.81875
1,23,1400,232,0.017511478542084142,0.9977678571428571
1,10,1400,232,2.3725252787272137,0.0
1,1,1400,232,5.298008127646013,0.515625
1,48,1400,232,2.243860960006714,0.0
1,42,1400,232,2.48074871301651,0.0
1,47,1400,232,2.2270859479904175,0.5190972222222222
1,11,1400,232,2.312727795706855,0.11979166666666667
1,32,1400,232,2.4978765065853414,0.0
1,28,1400,232,0.4312648267849632,0.7024456521739131
1,34,1400,232,2.389197587966919,0.26875
1,49,1400,232,2.183843488278596,0.17119565217391305
1,38,1400,232,2.3340597379775274,0.06994047619047619
1,9,1400,232,2.4426510906219483,0.0
1,40,1400,232,2.6515040537890266,0.7720588235294118
1,7,1400,232,1.8225783787784166e-05,1.0
1,33,1400,232,2.321226762400733,0.0
1,16,1400,232,13.253070831298828,0.11079545454545454
1,41,1400,232,1.180795106291771,0.56953125
1,22,1400,232,2.1613578455788747,0.28273809523809523
1,20,1400,232,2.4167560935020447,0.0
1,12,1400,232,2.3378166130610873,0.04575892857142857
1,37,1400,232,2.478056027339055,0.0
1,18,1400,232,2.3973275820414224,0.018518518518518517
1,19,1400,232,2.3047390522495395,0.08366935483870967
1,21,1400,232,2.424344862661054,0.0
1,24,1400,232,0.16139421205629,0.9389204545454546
1,39,1400,232,2.1055793648674372,0.3482142857142857
1,0,1400,232,0.10667789820581675,0.9479166666666666
1,46,1400,232,2.3652556784012737,0.05698529411764706
1,4,1400,232,2.7714524354253496,0.5825892857142857
1,45,1400,232,2.3079465097851224,0.050347222222222224
1,30,1400,232,0.8302356260163444,0.35267857142857145
1,27,1400,232,2.9531225500435663,0.3308189655172414
1,44,1400,232,0.5290083752738105,0.8055555555555556
1,8,1400,232,4.825967129539041,0.36764705882352944
1,17,1400,232,1.1270707092787091,0.5805921052631579
1,13,1400,232,4.564845784505208,0.6135416666666667
1,14,1400,232,2.061120640147816,0.6676136363636364
1,2,1400,232,2.3934597210450606,0.05113636363636364
1,29,1400,232,2.509998260005828,0.0
1,36,1400,232,0.9215607751499523,0.5241477272727273
1,3,1400,232,2.320566097895304,0.053385416666666664
2,31,1400,232,0.5042868355909983,0.828125
2,14,1400,232,2.1000670086253774,0.9488636363636364
2,34,1400,232,2.152775430679321,0.46875
2,46,1400,232,3.1185513384201946,0.13419117647058823
2,20,1400,232,2.327733024954796,0.01171875
2,35,1400,232,2.2305537700653075,0.63125
2,30,1400,232,1.1353737797055925,0.1875
2,36,1400,232,0.7407437292012301,0.8366477272727273
2,10,1400,232,0.4741256336371104,0.75625
2,26,1400,232,2.2928497791290283,0.010416666666666666
2,42,1400,232,0.25612370918194455,0.8984375
2,48,1400,232,3.052083447061736,0.4709051724137931
2,17,1400,232,1.0694270761389482,0.40460526315789475
2,9,1400,232,2.3645422077178955,0.0
2,22,1400,232,2.196104787644886,0.36607142857142855
2,39,1400,232,2.2140734649839855,0.5491071428571429
2,29,1400,232,2.325816208316434,0.0
2,6,1400,232,0.43669530749320984,0.9724264705882353
2,15,1400,232,2.338371992111206,0.0
2,23,1400,232,0.020388454148945,0.9955357142857143
2,32,1400,232,0.3379716941943535,0.8762019230769231
2,16,1400,232,3.9800992879000576,0.11647727272727272
2,33,1400,232,2.2805623014767966,0.2404513888888889
2,19,1400,232,1.1533552139036116,0.5786290322580645
2,44,1400,232,0.22621112565199533,0.9305555555555556
2,24,1400,232,0.13544429635459726,0.9886363636363636
2,8,1400,232,1.7535950576557833,0.3713235294117647
2,47,1400,232,2.3539760377671985,0.05381944444444445
2,37,1400,232,0.888969375536992,0.2932692307692308
2,40,1400,232,1.0561708176837248,0.7720588235294118
2,1,1400,232,3.104397329417142,0.48011363636363635
2,0,1400,232,0.4226478507121404,0.86875
2,4,1400,232,1.5950285536902291,0.46875
2,11,1400,232,2.2902268966039023,0.0
2,3,1400,232,0.820910262564818,0.71484375
