Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,1,1,-1681833469.1220102,1400,1.099164492647413,0.6764964788732394
1,7,1,-1681833474.528465,1400,1.2644925013184547,0.9484375
1,31,1,-1681833474.2635815,1400,1.6663927674293517,0.6072916666666667
1,16,1,-1681833473.9816706,1400,0.851068469003225,0.9254807692307693
1,30,1,-1681833473.779005,1400,1.0849956364735314,0.6671195652173914
1,6,1,-1681833473.4843633,1400,1.2582348550067228,0.8118872549019608
1,44,1,-1681833473.389351,1400,1.057077169418335,0.6285860655737705
1,28,1,-1681833473.4983299,1400,1.2494414560496807,0.6529947916666666
1,13,1,-1681833473.4523919,1400,0.520984658566506,0.9560688405797102
1,8,1,-1681833473.029789,1400,1.2994561162259843,0.5579861111111111
1,0,1,-1681833473.1280077,1400,0.8578226918854365,0.7176067073170732
1,17,1,-1681833473.2076223,1400,1.3799895022226416,0.5258152173913043
1,24,1,-1681833472.6921422,1400,0.7738592849038113,0.7611350574712644
1,27,1,-1681833472.628812,1400,1.3779780985071108,0.49429086538461536
1,4,1,-1681833471.8553362,1400,1.2662531449681236,0.5922619047619048
1,40,1,-1681833472.4392858,1400,0.7158515232078957,0.7800662878787878
1,36,1,-1681833472.3234038,1400,1.180991541626107,0.5186965811965812
1,41,1,-1681833472.2184672,1400,1.3983672731290988,0.47840447154471544
1,23,1,-1681833472.4198263,1400,0.6743464687418553,0.7618447580645161
1,43,1,-1681833472.15446,1400,0.9418172120655838,0.6868832236842105
2,38,1,-1681833474.424666,1400,1.3725313807235044,0.6378676470588235
2,16,1,-1681833475.5549796,1400,0.23967717693020135,0.9527243589743589
2,10,1,-1681833474.1671004,1400,0.9815782344546812,0.6637931034482759
2,28,1,-1681833475.5442579,1400,0.42119434537986916,0.8990885416666666
2,44,1,-1681833473.4945676,1400,0.4437622203201544,0.8524590163934426
2,48,1,-1681833475.355282,1400,0.7638088294094608,0.8876008064516129
2,46,1,-1681833476.4711459,1400,1.1141206216998398,0.6689453125
2,13,1,-1681833473.7992425,1400,0.14041847849021788,0.9741847826086957
2,37,1,-1681833475.084349,1400,0.9922904590485802,0.795774647887324
2,45,1,-1681833475.2859461,1400,0.8967495014868587,0.8128765060240963
2,19,1,-1681833474.0012016,1400,1.3582422180348133,0.6174698795180723
2,42,1,-1681833474.1573496,1400,0.89102836827869,0.6980298913043478
2,3,1,-1681833473.7206542,1400,1.4002655919538725,0.5487385321100917
2,27,1,-1681833474.0502377,1400,0.8365069490212661,0.7373798076923077
2,2,1,-1681833471.951549,1400,0.8425034549215744,0.775323275862069
2,5,1,-1681833472.8260422,1400,0.5753461771869454,0.8125
2,25,1,-1681833474.6236422,1400,1.0115493741018553,0.6724290780141844
2,23,1,-1681833474.5134053,1400,0.15778172947466373,0.9533770161290323
2,41,1,-1681833474.8025765,1400,0.6876849183222142,0.7599085365853658
2,32,1,-1681833473.8923786,1400,0.949605857402506,0.6476672535211268
3,34,1,-1681833478.4222724,1400,1.448244446516037,0.5822916666666667
3,16,1,-1681833475.486549,1400,0.20965356675860208,0.9527243589743589
3,38,1,-1681833478.4778595,1400,0.4323169133242439,0.9209558823529411
3,15,1,-1681833476.638561,1400,1.0147328779101372,0.834375
3,35,1,-1681833476.323861,1400,1.0413290654740683,0.7903963414634146
3,30,1,-1681833477.740061,1400,0.503573727996453,0.7730978260869565
3,48,1,-1681833475.5226007,1400,0.34982964871150835,0.9133064516129032
3,14,1,-1681833476.345281,1400,1.0247840148371619,0.6334459459459459
3,0,1,-1681833473.6034238,1400,0.23367045338197454,0.9397865853658537
3,37,1,-1681833475.7907445,1400,0.2088950861927489,0.9339788732394366
3,44,1,-1681833477.6182647,1400,0.21650208007605348,0.9472336065573771
3,8,1,-1681833476.5847836,1400,0.797591307759285,0.7079861111111111
