Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,16,1,-1681060220.3454108,1400,1.2210802485545476,0.5735677083333334
1,41,1,-1681060216.829309,1400,0.9064116700627338,0.6853448275862069
1,4,1,-1681060219.0973277,1400,1.563136334660687,0.4196993670886076
1,30,1,-1681060218.7412353,1400,1.0080446791648865,0.516875
1,7,1,-1681060216.4932942,1400,0.9222353236241774,0.7381993006993007
1,8,1,-1681060216.5648828,1400,1.2813595819146666,0.413527397260274
1,24,1,-1681060213.8820555,1400,1.6209037474987218,0.288677130044843
1,28,1,-1681060218.1496809,1400,1.4737339860353715,0.3703926282051282
4,4,1,-1681060192.1390462,1400,1.2125371792648412,0.47033227848101267
1,36,1,-1681060214.1306713,1400,0.9775815955523787,0.6787253694581281
4,25,1,-1681060190.461775,1400,0.9510704425145995,0.5150353773584906
4,46,1,-1681060200.5547276,1400,1.2827873809315333,0.45852803738317754
4,30,1,-1681060188.2900186,1400,0.7133024519681931,0.5359375
4,15,1,-1681060209.6344604,1400,1.0160611321528752,0.6798115079365079
4,19,1,-1681060207.4512935,1400,0.7189999079321795,0.6639371657754011
4,5,1,-1681060184.5251453,1400,1.443435932314673,0.45591085271317827
4,6,1,-1681060192.5875137,1400,1.5748757309246557,0.327720207253886
4,9,1,-1681060199.8458366,1400,1.4876203053239463,0.39054951690821255
4,1,1,-1681060178.5825763,1400,1.517457029176137,0.3030753968253968
1,4,1,-1681060240.922841,1400,1.1586544672145118,0.5162183544303798
1,16,1,-1681060245.2783687,1400,0.6617955155670643,0.6067708333333334
1,31,1,-1681060239.8751929,1400,1.300384269177335,0.6104368932038835
1,24,1,-1681060225.0165238,1400,1.3682560674812763,0.3992432735426009
1,41,1,-1681060243.3650699,1400,0.5566011338398374,0.7169540229885057
1,30,1,-1681060242.0668674,1400,0.7039663463830947,0.55125
1,8,1,-1681060239.0734508,1400,1.0490671400338003,0.4912243150684932
1,7,1,-1681060243.5631454,1400,0.7203528120384349,0.7373251748251748
2,16,1,-1681060239.3799353,1400,0.6423177334169546,0.6477864583333334
2,42,1,-1681060234.0152264,1400,0.9975658976114713,0.8206730769230769
2,38,1,-1681060241.23754,1400,1.525624478564543,0.48161764705882354
1,28,1,-1681060240.3353941,1400,1.2353927867534833,0.45132211538461536
5,22,1,-1681060236.586244,1400,1.1150285755434344,0.7520161290322581
2,23,1,-1681060245.9559062,1400,1.00601295117409,0.5416666666666666
5,16,1,-1681060224.9091349,1400,0.6177933843185505,0.6731770833333334
5,29,1,-1681060215.6676176,1400,0.8147590373243604,0.83203125
1,36,1,-1681060240.0930073,1400,0.8292038608067142,0.6810344827586207
2,5,1,-1681060245.5484781,1400,1.2374134636664575,0.4791666666666667
5,41,1,-1681060211.4406233,1400,0.5432064139294899,0.7388649425287356
2,13,1,-1681060231.461862,1400,1.4983206898779482,0.34459459459459457
5,39,1,-1681060208.4577072,1400,1.5208967092136543,0.43359375
5,47,1,-1681060202.7351592,1400,1.2674192440418797,0.41197519083969464
5,15,1,-1681060223.8725016,1400,0.8348482222784133,0.6919642857142857
2,3,1,-1681060245.7884786,1400,1.235495660833256,0.5488398203592815
2,48,1,-1681060233.5161722,1400,0.8964406615392321,0.7070086705202312
2,10,1,-1681060243.701913,1400,1.342766065660276,0.5296052631578947
2,19,1,-1681060245.1382031,1400,0.5373722163432422,0.7403074866310161
5,1,1,-1681060198.1047587,1400,1.3127988311979506,0.35267857142857145
5,33,1,-1681060220.9970567,1400,1.4230493368104447,0.3911337209302326
5,44,1,-1681060189.3758488,1400,1.5878362823878565,0.3597530241935484
2,42,1,-1681060274.4000392,1400,0.5715733060469994,0.8572115384615384
2,38,1,-1681060267.867211,1400,1.0425456633754806,0.5012254901960784
2,16,1,-1681060277.9177206,1400,0.6132503903160492,0.67578125
3,38,1,-1681060248.385992,1400,1.0365657747960557,0.5049019607843137
2,23,1,-1681060273.7418506,1400,0.6873999910969888,0.59375
3,4,1,-1681060269.4124136,1400,1.090004991881455,0.5640822784810127
3,37,1,-1681060264.9033031,1400,1.2803484170060409,0.548108552631579
3,23,1,-1681060261.4877453,1400,0.6834188693313188,0.6048387096774194
3,30,1,-1681060260.3627753,1400,0.6978429156541824,0.55
3,15,1,-1681060259.5696042,1400,0.8297530530937134,0.6904761904761905
3,8,1,-1681060255.4919658,1400,0.9889501227091436,0.5500856164383562
2,13,1,-1681060272.1727514,1400,1.2951290865202207,0.37563344594594594
2,5,1,-1681060263.188154,1400,1.2223855538885722,0.4740794573643411
2,48,1,-1681060255.6397064,1400,0.7065840074092666,0.7283236994219653
2,3,1,-1681060258.9168508,1400,1.0593785047531128,0.5422904191616766
3,40,1,-1681060244.8064394,1400,1.3914320530210222,0.35732142857142857
3,48,1,-1681060257.8093977,1400,0.7054659829318868,0.7220014450867052
6,0,1,-1681060246.4447625,1400,0.8053968337386154,0.8524709302325582
2,19,1,-1681060273.0351062,1400,0.44721080538104563,0.8109959893048129
2,10,1,-1681060268.3643382,1400,1.148278061026021,0.5501644736842105
6,42,1,-1681060245.674849,1400,0.5679350728025803,0.8567307692307692
6,16,1,-1681060213.6584396,1400,0.6090680894752344,0.67578125
3,34,1,-1681060256.1301758,1400,1.0608315925989578,0.7100435323383084
6,37,1,-1681060252.794531,1400,0.9096136273522126,0.5707236842105263
6,30,1,-1681060237.3308096,1400,0.6976821595430374,0.5596875
6,31,1,-1681060237.790949,1400,1.0078550762343175,0.6298543689320388
6,5,1,-1681060256.1537704,1400,1.1961233916208727,0.47165697674418605
6,2,1,-1681060243.5120113,1400,1.586419826745987,0.3419921875
6,9,1,-1681060216.3587892,1400,1.1978499227099948,0.5161533816425121
6,36,1,-1681060224.9833243,1400,0.8219119195867641,0.6848830049261084
3,38,1,-1681060291.5862758,1400,1.0270160004204394,0.5110294117647058
3,23,1,-1681060292.148821,1400,0.6631353170641007,0.6129032258064516
3,4,1,-1681060302.205176,1400,1.042422920842714,0.5838607594936709
3,37,1,-1681060294.7173786,1400,0.8949589141105351,0.5760690789473685
3,15,1,-1681060288.821086,1400,0.8231849954241798,0.6902281746031746
3,30,1,-1681060288.5207183,1400,0.6826092910766601,0.588125
4,4,1,-1681060279.116607,1400,1.051742460908769,0.569620253164557
4,30,1,-1681060285.9044023,1400,0.6845498991012573,0.581875
3,8,1,-1681060284.1872692,1400,0.9244798679057866,0.592679794520548
4,46,1,-1681060289.1184561,1400,1.0092313941394058,0.5070093457943925
4,25,1,-1681060264.8784785,1400,0.7173247551018337,0.527122641509434
4,15,1,-1681060278.7248647,1400,0.8285123109817505,0.6899801587301587
4,5,1,-1681060294.3322873,1400,1.1744617353114046,0.501937984496124
4,19,1,-1681060270.0558014,1400,0.41687366278732524,0.8287098930481284
3,40,1,-1681060276.2366934,1400,1.2192931086676462,0.4142857142857143
3,48,1,-1681060293.8005521,1400,0.6485844474996445,0.7483742774566474
4,1,1,-1681060271.3948314,1400,1.1964327585760248,0.4332010582010582
