Round,Cid,Size of parameters,Loss,Accuracy
1,16,1440,1.741383827728909,0.23928314121037464
1,6,1440,1.7538346217133047,0.23702676240208878
1,13,1440,1.7029073140438826,0.23946529745042494
1,21,1440,1.7846030967576163,0.2425892857142857
1,14,1440,2.2594159340280084,0.3050876010781671
1,7,1440,1.7928389832967189,0.2179254617414248
1,0,1440,1.7548516207305203,0.17046915167095117
1,17,1440,2.0211705577616788,0.20671237244897958
1,11,1440,1.9829890133740307,0.20861486486486486
1,2,1440,2.375358434823843,0.27323717948717946
1,1,1440,2.016445736652168,0.21224293059125965
1,3,1440,2.0114735984802246,0.22142857142857142
1,8,1440,2.30650188341862,0.3022584033613445
1,10,1440,1.7645289785153158,0.2670608108108108
1,4,1440,2.3011028353421965,0.2729102760736196
1,23,1440,1.661969819908622,0.27790880503144655
1,18,1440,2.2719754012496542,0.31723273942093544
1,20,1440,1.877444795397825,0.20828488372093024
1,19,1440,1.8804064895524535,0.19104287790697674
1,12,1440,1.6877384985502237,0.2643025078369906
1,22,1440,1.9629276753171099,0.17100439882697946
1,5,1440,1.7911606983765544,0.20906075418994413
1,9,1440,1.8545405283050946,0.2537701072386059
1,15,1440,2.4190135814395606,0.36136642156862747
2,4,1440,1.7723919485975628,0.2893021472392638
2,7,1440,1.8486521983209574,0.23647757255936674
2,21,1440,1.8596773883274624,0.21205357142857142
2,5,1440,1.8456386524205768,0.25986382681564246
2,0,1440,1.8100413243384472,0.3257551413881748
2,10,1440,1.8257712470518577,0.26680743243243243
2,23,1440,1.7714101289803128,0.2713246855345912
2,11,1440,1.875930312875513,0.26182432432432434
2,16,1440,1.8510126751506706,0.2625180115273775
2,17,1440,1.751629966254137,0.27224170918367346
2,8,1440,1.760914940793975,0.5305497198879552
2,12,1440,1.7860297465399142,0.25705329153605017
2,14,1440,1.7487832661266276,0.23517520215633422
2,2,1440,1.8088829489854665,0.2438301282051282
2,19,1440,1.8900519973316858,0.19095203488372092
2,6,1440,1.8186823154554044,0.26142297650130547
2,9,1440,1.8931798036871903,0.2425435656836461
2,20,1440,1.769893459109373,0.24324127906976745
2,15,1440,1.8149558071996652,0.24004289215686275
2,18,1440,1.7547620248157356,0.2141564587973274
2,13,1440,1.7821844917518896,0.2756728045325779
2,22,1440,1.9188783196759713,0.28207478005865105
2,1,1440,1.939071388354951,0.30302056555269924
2,3,1440,1.9005463678496224,0.2694642857142857
3,16,1440,1.803290102942189,0.24513688760806918
