Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,3,1,-1681069039.233062,1400,1.7931593474450067,0.27625356887937186
1,4,1,-1681069043.2431202,1400,1.776944031036803,0.26114192807957154
1,8,1,-1681069043.1044915,1400,1.7665500796141744,0.28768382352941174
1,2,1,-1681069043.0873728,1400,1.7812447524269042,0.2587372040946897
1,15,1,-1681069042.9670935,1400,1.7953524139678443,0.2471139143730887
1,14,1,-1681069043.1150699,1400,1.7573654382899504,0.30118606998654107
1,18,1,-1681069042.0086925,1400,1.7418978658480957,0.28382230255839824
2,11,1,-1681069047.0912545,1400,1.8513356893807202,0.2623639264264264
2,22,1,-1681069047.4771495,1400,1.8771497381144557,0.2736151870873074
2,5,1,-1681069047.368731,1400,1.8293041598938264,0.24836444521981857
2,8,1,-1681069047.42137,1400,1.69019900909325,0.30322128851540614
2,9,1,-1681069047.2937405,1400,1.8469457086150745,0.2536395582329317
2,1,1,-1681069046.9297366,1400,1.8201726554140965,0.3123395378690629
2,2,1,-1681069046.7580545,1400,1.7130270709765698,0.26887396033269356
3,4,1,-1681069047.4949427,1400,1.7187578683603604,0.2660673297628156
3,11,1,-1681069048.2371366,1400,1.7184142136537992,0.2679241741741742
3,7,1,-1681069047.471273,1400,1.8302287521412564,0.2475502305665349
3,17,1,-1681069047.314863,1400,1.8355071925813224,0.2655453821656051
3,2,1,-1681069047.5543673,1400,1.728550339919668,0.2914667306461932
3,15,1,-1681069046.7078354,1400,1.748805297332437,0.2889525993883792
3,18,1,-1681069048.0447912,1400,1.702705721436141,0.28486512791991103
4,12,1,-1681069047.7608325,1400,1.7264143888939154,0.30697378716744916
4,4,1,-1681069049.0886996,1400,1.6941816408212804,0.2725707727620505
4,3,1,-1681069049.3870268,1400,1.741146726067112,0.27997858672376874
4,9,1,-1681069048.0654411,1400,1.7434741791631962,0.27955572289156627
4,7,1,-1681069048.3018415,1400,1.7395786871551997,0.2689393939393939
4,2,1,-1681069047.708814,1400,1.7065187333412684,0.3279550543825976
4,15,1,-1681069048.682936,1400,1.7239715654915626,0.3192469418960245
5,11,1,-1681069048.9379535,1400,1.7263113130499292,0.26794763513513514
5,19,1,-1681069050.0606942,1400,1.8281554610878012,0.2703193033381713
5,16,1,-1681069050.7996838,1400,1.8260101365081172,0.27206412103746397
5,8,1,-1681069048.317742,1400,1.6843677795901686,0.3194809173669468
5,14,1,-1681069051.7729464,1400,1.686833190725437,0.3286086810228802
5,0,1,-1681069050.9465504,1400,1.7874525463114048,0.3314868336544637
5,20,1,-1681069049.3931477,1400,1.8371871823982244,0.2448128264654672
6,4,1,-1681069051.2672477,1400,1.6980274312808117,0.27651587605202754
6,8,1,-1681069049.7327342,1400,1.6771028573606528,0.3402704831932773
6,0,1,-1681069050.2646556,1400,1.677751265662407,0.33142662170841364
6,1,1,-1681069049.5429854,1400,1.7105604124773146,0.31723363286264444
6,2,1,-1681069049.2506537,1400,1.7080709314163267,0.36542306461932184
6,15,1,-1681069051.8765469,1400,1.724885964831081,0.3496750764525994
6,18,1,-1681069050.9023614,1400,1.6871063735116443,0.28762861512791993
7,12,1,-1681069054.4749877,1400,1.6403808518194816,0.3088810641627543
7,4,1,-1681069052.4592283,1400,1.6825968528760693,0.2878251721499617
7,10,1,-1681069052.4137328,1400,1.8012576659842219,0.2655406545209177
7,1,1,-1681069052.074093,1400,1.7081706278284339,0.31723363286264444
7,2,1,-1681069049.482974,1400,1.6859621013194723,0.42268474088291746
7,17,1,-1681069051.095893,1400,1.7633892587036084,0.2655453821656051
7,20,1,-1681069050.820388,1400,1.7597921434973673,0.2581979106210099
8,4,1,-1681069052.7256298,1400,1.686053567655048,0.3104198546289212
8,12,1,-1681069055.614804,1400,1.6176610808230716,0.30927230046948356
8,11,1,-1681069053.1664503,1400,1.7175903786589075,0.26794763513513514
8,7,1,-1681069051.2741954,1400,1.7327062749894082,0.28995800395256915
8,6,1,-1681069052.2864325,1400,1.820359797823437,0.26392064010450683
8,1,1,-1681069053.04646,1400,1.6883876879193815,0.31723363286264444
8,2,1,-1681069056.188058,1400,1.688967549411898,0.4441178822776711
9,4,1,-1681069052.7919514,1400,1.6820753119606595,0.3422197781178271
9,11,1,-1681069053.0345392,1400,1.7041010742072944,0.26799455705705705
9,19,1,-1681069053.3854537,1400,1.7402748476784184,0.27133980406386066
9,8,1,-1681069053.1688151,1400,1.6587108166611828,0.3674938725490196
9,5,1,-1681069053.5824912,1400,1.7120180011045159,0.2555172714584787
9,14,1,-1681069056.2820163,1400,1.6777338756205737,0.37106746298788695
9,0,1,-1681069052.421966,1400,1.666176253507439,0.3315470456005138
10,23,1,-1681069052.7446856,1400,1.7386130770514994,0.30433823529411763
10,13,1,-1681069057.6718447,1400,1.8026166907788674,0.2794351983002833
10,1,1,-1681069053.2217622,1400,1.6723833011417855,0.31741415275994866
10,6,1,-1681069057.2544272,1400,1.7277262421077875,0.27055437622468975
10,0,1,-1681069052.4817204,1400,1.6448267297861128,0.3316072575465639
10,15,1,-1681069053.5377877,1400,1.7103960633642448,0.3712729357798165
10,18,1,-1681069055.2558448,1400,1.681125936770731,0.28493464961067855
11,23,1,-1681069052.911837,1400,1.6284632017098222,0.3700980392156863
11,16,1,-1681069055.59365,1400,1.7248226198064491,0.34769002161383283
11,21,1,-1681069058.2363377,1400,1.8431397879975182,0.24890625
11,14,1,-1681069053.8534572,1400,1.6641035402446864,0.40437836473755046
11,6,1,-1681069053.051376,1400,1.7126500286517152,0.27637165251469625
11,17,1,-1681069053.5997674,1400,1.748860944684144,0.2656847133757962
11,18,1,-1681069055.7415228,1400,1.6771053077779436,0.2953281423804227
12,11,1,-1681069056.0991657,1400,1.7055140037436385,0.2732732732732733
12,12,1,-1681069059.4159927,1400,1.61499899821662,0.3095901799687011
12,4,1,-1681069054.0488808,1400,1.6693264246899022,0.3754064651874522
12,16,1,-1681069056.869299,1400,1.69912573394583,0.3991579610951009
12,8,1,-1681069058.6062021,1400,1.639687493568709,0.397780987394958
12,21,1,-1681069059.7233734,1400,1.7285606704439436,0.2537276785714286
12,15,1,-1681069053.1791148,1400,1.702304149476031,0.37419724770642204
13,4,1,-1681069059.9975116,1400,1.6525158871196113,0.4105537490436113
13,19,1,-1681069057.826597,1400,1.7322220565272692,0.27133980406386066
13,21,1,-1681069057.6575463,1400,1.7197240768160138,0.2759375
13,5,1,-1681069054.24255,1400,1.709076230624133,0.2584176552686671
13,8,1,-1681069057.5020278,1400,1.5978960601054655,0.4330575980392157
13,9,1,-1681069053.374755,1400,1.730612880095261,0.28340445113788487
13,7,1,-1681069057.4983368,1400,1.7363051230257207,0.3178112648221344
14,3,1,-1681069057.8041625,1400,1.7299754148206907,0.280000892219843
14,16,1,-1681069058.0042565,1400,1.6817755008637045,0.42309077809798273
14,19,1,-1681069058.6316974,1400,1.7254744890120275,0.27222423802612483
14,8,1,-1681069060.190532,1400,1.5686980941716362,0.45949317226890757
14,7,1,-1681069059.9859881,1400,1.7227003893205142,0.33825345849802374
14,20,1,-1681069057.3764315,1400,1.7427282131347834,0.2794725769007545
14,18,1,-1681069060.8412542,1400,1.6726339655670361,0.31107480533926585
15,22,1,-1681069057.8264542,1400,1.776536770542142,0.27891140865737346
15,16,1,-1681069065.1993303,1400,1.6437860244632798,0.4400891570605187
15,5,1,-1681069055.2263834,1400,1.7042631659570975,0.2603148988136776
15,7,1,-1681069060.2751858,1400,1.7190725746833289,0.3626070487483531
15,6,1,-1681069058.9578528,1400,1.7137326727031805,0.28363814500326584
15,1,1,-1681069061.0535834,1400,1.6721577891489354,0.33275834403080873
15,0,1,-1681069059.2283776,1400,1.6288704992335963,0.3320688824662813
16,22,1,-1681069059.431418,1400,1.7473469418107983,0.27904897285399854
16,11,1,-1681069063.6119754,1400,1.6767968006499179,0.3012152777777778
16,13,1,-1681069055.3807092,1400,1.6889349142822936,0.28538863314447593
16,9,1,-1681069058.90838,1400,1.706257804569949,0.315114625167336
16,7,1,-1681069059.0336945,1400,1.7126618368509416,0.38125823451910407
16,14,1,-1681069065.378448,1400,1.6619612069983503,0.43175891655450876
16,15,1,-1681069059.7906032,1400,1.7054228139579843,0.3743310397553517
17,11,1,-1681069059.7813191,1400,1.6658640338314905,0.3693459084084084
17,16,1,-1681069060.1058009,1400,1.6084619490832348,0.4473613112391931
17,21,1,-1681069063.3750737,1400,1.7119687043769019,0.32810267857142855
17,13,1,-1681069066.085142,1400,1.6696564447103073,0.30156692634560905
17,5,1,-1681069059.631334,1400,1.6752738112431678,0.28949319609211444
17,17,1,-1681069061.428192,1400,1.7453570116857056,0.2669984076433121
17,9,1,-1681069062.73603,1400,1.6999358809297502,0.3225401606425703
18,21,1,-1681069066.2876291,1400,1.687169520173754,0.40640625
18,5,1,-1681069061.5628042,1400,1.6542909414886346,0.3808661898115841
18,3,1,-1681069067.1430871,1400,1.7224984429377814,0.2813169164882227
18,10,1,-1681069057.2099988,1400,1.7023725335897222,0.28698549257759787
18,6,1,-1681069060.2572362,1400,1.7079688976357608,0.29492570215545394
18,7,1,-1681069060.029574,1400,1.7016114577631392,0.39756258234519104
18,14,1,-1681069062.8106494,1400,1.6392569313299608,0.4407806191117093
19,12,1,-1681069064.7594998,1400,1.6065491186061376,0.3203491784037559
19,23,1,-1681069061.7528346,1400,1.614095853356754,0.4524754901960784
19,16,1,-1681069060.1625547,1400,1.5527140703428033,0.4554890129682997
19,3,1,-1681069067.2790468,1400,1.7085383035386146,0.29351802284082795
19,21,1,-1681069062.2523358,1400,1.6658687046595981,0.46308035714285717
19,1,1,-1681069062.863378,1400,1.6375682862028385,0.4265885750962773
19,6,1,-1681069069.6507044,1400,1.6949523039536878,0.3074379490529066
20,4,1,-1681069062.046151,1400,1.6634802615815842,0.45096117061973984
20,23,1,-1681069067.717682,1400,1.5897598972507552,0.4870343137254902
20,3,1,-1681069060.3850572,1400,1.6941897995892292,0.3258832976445396
20,21,1,-1681069069.884244,1400,1.6430854795660292,0.47544642857142855
20,5,1,-1681069061.966675,1400,1.6437329603755548,0.4547278436845778
20,8,1,-1681069066.320743,1400,1.5448191852963604,0.4812018557422969
