Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,28,1,-1681830160.973046,1400,1.3768409751355648,0.6217447916666666
1,7,1,-1681830164.1497793,1400,1.2596372671425342,0.946875
1,44,1,-1681830163.4848125,1400,1.0579183893125566,0.6429303278688525
1,31,1,-1681830163.8783467,1400,1.6580288688341775,0.6364583333333333
1,16,1,-1681830163.7430303,1400,0.8399928277119612,0.9278846153846154
1,1,1,-1681830163.2674685,1400,1.1348023716832552,0.6681338028169014
1,13,1,-1681830163.3786623,1400,0.5125055806576342,0.9565217391304348
1,30,1,-1681830163.8315706,1400,1.0939470892367156,0.6596467391304348
1,24,1,-1681830162.9995258,1400,0.7778063702514801,0.7482040229885057
1,6,1,-1681830163.704031,1400,1.260234004726597,0.7953431372549019
1,4,1,-1681830162.116907,1400,1.27301819078506,0.6016865079365079
1,8,1,-1681830163.1779392,1400,1.3005220923158858,0.5569444444444445
1,36,1,-1681830162.7092094,1400,1.1758041875994103,0.5384615384615384
1,41,1,-1681830162.727036,1400,1.4016146863379129,0.44740853658536583
1,40,1,-1681830162.6100104,1400,0.7242382492757204,0.775094696969697
2,38,1,-1681830165.6929672,1400,1.4982221196679508,0.609375
2,16,1,-1681830166.173506,1400,0.24086135205550072,0.9527243589743589
2,13,1,-1681830166.0530653,1400,0.14273085572041463,0.9737318840579711
2,10,1,-1681830169.413023,1400,1.1989358899922207,0.6610991379310345
2,48,1,-1681830165.1290684,1400,0.745461396632656,0.9042338709677419
2,42,1,-1681830166.5042272,1400,0.7647164800892705,0.7262228260869565
2,37,1,-1681830164.906257,1400,0.8988745787613829,0.8063380281690141
2,45,1,-1681830168.703308,1400,1.0364107407001129,0.740210843373494
2,19,1,-1681830165.2296596,1400,1.2535301604902889,0.6833584337349398
2,2,1,-1681830168.6140926,1400,1.052073981227546,0.7349137931034483
2,5,1,-1681830165.8832324,1400,0.6063097035833473,0.8087284482758621
2,27,1,-1681830168.499333,1400,1.4354010235804777,0.47596153846153844
2,3,1,-1681830166.5084734,1400,1.2910838094326333,0.586295871559633
2,23,1,-1681830167.824192,1400,0.7876100740846126,0.7449596774193549
2,41,1,-1681830165.2480154,1400,0.7013603129037996,0.7538109756097561
3,34,1,-1681830168.132383,1400,1.542922423283259,0.615625
3,38,1,-1681830168.860904,1400,0.5383313876741073,0.8556985294117647
3,15,1,-1681830170.67869,1400,1.026697264611721,0.83671875
3,48,1,-1681830169.6975582,1400,0.34746304322634974,0.9133064516129032
3,35,1,-1681830168.2781389,1400,1.2092221869928081,0.7507621951219512
3,16,1,-1681830170.7583656,1400,0.20984963232125992,0.9527243589743589
3,30,1,-1681830170.7663724,1400,0.5037496355564698,0.7581521739130435
3,0,1,-1681830166.63859,1400,0.8886985546205102,0.7298018292682927
3,44,1,-1681830167.4783843,1400,0.43229462181935546,0.8790983606557377
3,8,1,-1681830166.3744137,1400,0.7957550691233741,0.7111111111111111
3,37,1,-1681830167.6384335,1400,0.16218505616129283,0.9577464788732394
3,4,1,-1681830166.8057725,1400,0.39286243194152437,0.8978174603174603
3,40,1,-1681830169.58263,1400,0.16827712174166332,0.9580965909090909
3,23,1,-1681830165.6412177,1400,0.18867462750283942,0.9435483870967742
3,43,1,-1681830169.6763616,1400,0.9566431227875384,0.6864720394736842
4,30,1,-1681830173.1545331,1400,0.32349798666394275,0.9028532608695652
4,18,1,-1681830168.5162442,1400,1.5258000404746443,0.4635416666666667
4,35,1,-1681830174.428485,1400,0.46977426511485404,0.8239329268292683
4,15,1,-1681830169.778005,1400,0.4072985477745533,0.865625
4,19,1,-1681830170.9236052,1400,0.4229643131235996,0.8614457831325302
4,6,1,-1681830168.9341176,1400,0.2788795749930775,0.9632352941176471
4,46,1,-1681830174.4426672,1400,1.0772877195850015,0.666015625
4,1,1,-1681830167.1062758,1400,0.49754200833784024,0.8776408450704225
4,14,1,-1681830171.5471318,1400,0.9621269376696767,0.6304898648648649
4,45,1,-1681830170.0421867,1400,0.2288595658827977,0.9600903614457831
4,5,1,-1681830170.0550315,1400,0.10347079153269015,0.9787176724137931
4,4,1,-1681830174.034825,1400,0.16856983037931578,0.9543650793650794
4,3,1,-1681830172.1158519,1400,0.36446419918755874,0.9071100917431193
4,9,1,-1681830170.1528661,1400,1.1488969469892567,0.6371228448275862
4,25,1,-1681830170.7079992,1400,1.0177589084239715,0.686613475177305
5,7,1,-1681830173.8235512,1400,0.03338171392679214,1.0
5,39,1,-1681830172.8930922,1400,1.3172053200133302,0.5718085106382979
5,15,1,-1681830171.862196,1400,0.36073757633566855,0.86640625
5,30,1,-1681830177.0745828,1400,0.19708161946872008,0.9483695652173914
5,16,1,-1681830171.2947826,1400,0.19840742790928254,0.9527243589743589
5,1,1,-1681830176.2843728,1400,0.3008130132942132,0.9185739436619719
5,29,1,-1681830173.3642197,1400,1.0355628934171466,0.8791666666666667
5,44,1,-1681830176.3800406,1400,0.21779341898003562,0.9451844262295082
5,10,1,-1681830172.5075688,1400,0.5050408120813041,0.7467672413793104
5,22,1,-1681830171.6206713,1400,0.4382632003150514,0.9723360655737705
5,47,1,-1681830170.072217,1400,1.1607953044739399,0.5989010989010989
5,41,1,-1681830174.9926784,1400,0.3549816437610766,0.8892276422764228
5,33,1,-1681830171.7538095,1400,1.0762059096936827,0.6493055555555556
5,3,1,-1681830173.3640053,1400,0.16981291620556369,0.9584288990825688
5,23,1,-1681830178.5908728,1400,0.09696974639870948,0.9745463709677419
6,30,1,-1681830175.9401674,1400,0.11331781275246454,0.9755434782608695
6,31,1,-1681830173.4032989,1400,0.5153373271226883,0.796875
6,16,1,-1681830174.7173474,1400,0.1918762383552698,0.9527243589743589
6,1,1,-1681830175.7561617,1400,0.22131178454614023,0.9401408450704225
6,17,1,-1681830177.9635942,1400,1.3917552690575088,0.47644927536231885
6,37,1,-1681830173.1772866,1400,0.07568430745790541,0.9797535211267606
6,0,1,-1681830179.7136915,1400,0.23318728386628917,0.9455030487804879
6,36,1,-1681830172.1982563,1400,0.5674704840550056,0.8052884615384616
6,5,1,-1681830176.8114727,1400,0.055816529888723945,0.9854525862068966
6,42,1,-1681830174.1362276,1400,0.19255417358616125,0.9565217391304348
6,47,1,-1681830173.0306337,1400,0.35071309230157305,0.9072802197802198
6,20,1,-1681830170.6510386,1400,0.9145118179731071,0.73828125
6,23,1,-1681830171.421535,1400,0.07406695641487115,0.975554435483871
6,9,1,-1681830173.6781347,1400,0.3399408146867464,0.9019396551724138
6,2,1,-1681830177.6903093,1400,0.20639357661250338,0.9418103448275862
7,34,1,-1681830174.479822,1400,0.5717960506677627,0.840625
7,13,1,-1681830182.801415,1400,0.12825754152583904,0.9737318840579711
7,6,1,-1681830175.7420285,1400,0.11082206359680961,0.9761029411764706
7,37,1,-1681830177.022058,1400,0.05658066689863171,0.9841549295774648
7,3,1,-1681830173.6880891,1400,0.12794487309907007,0.9638761467889908
7,5,1,-1681830171.3041716,1400,0.04275834575247277,0.9878771551724138
7,45,1,-1681830172.3070335,1400,0.07638127706855176,0.9856927710843374
7,41,1,-1681830180.170851,1400,0.24819757262381112,0.9161585365853658
7,25,1,-1681830177.8350332,1400,0.1878043219499977,0.9510195035460993
7,2,1,-1681830175.0669494,1400,0.0937921807555289,0.974676724137931
7,20,1,-1681830174.1063035,1400,0.21130725886905566,0.94140625
7,9,1,-1681830176.524711,1400,0.15348067862013803,0.9558189655172413
7,23,1,-1681830178.514213,1400,0.06354971285608987,0.9785786290322581
7,4,1,-1681830180.2398214,1400,0.11593214066196529,0.9682539682539683
7,32,1,-1681830175.8151543,1400,0.8485346925510487,0.6756161971830986
8,31,1,-1681830180.1911948,1400,0.2540987928708394,0.9614583333333333
8,1,1,-1681830174.2088532,1400,0.18919613201853255,0.9414612676056338
8,15,1,-1681830179.3218567,1400,0.331351600214839,0.8671875
8,14,1,-1681830182.1071444,1400,0.4866274422084963,0.7829391891891891
8,29,1,-1681830184.6757998,1400,0.33983520302507614,0.8777777777777778
8,13,1,-1681830179.2909613,1400,0.1208512969315052,0.9737318840579711
8,46,1,-1681830173.111446,1400,0.5165756642818451,0.82080078125
8,2,1,-1681830175.392688,1400,0.06929498349701793,0.9806034482758621
8,24,1,-1681830176.152321,1400,0.14528797138696428,0.9712643678160919
8,8,1,-1681830178.2362924,1400,0.49489506516191695,0.8274305555555556
8,25,1,-1681830175.0747097,1400,0.0981497473697713,0.9703014184397163
8,5,1,-1681830178.3179061,1400,0.03817913946213907,0.9886853448275862
8,12,1,-1681830183.669384,1400,0.7766323547983012,0.7688327814569537
8,23,1,-1681830179.6253211,1400,0.05527405568488663,0.9828629032258065
8,32,1,-1681830176.6588988,1400,0.22661042790597594,0.940580985915493
9,38,1,-1681830176.6295838,1400,0.2885398444007425,0.9696691176470589
9,17,1,-1681830180.1249084,1400,0.9226769390313522,0.6073369565217391
9,35,1,-1681830182.1107385,1400,0.41618520130471487,0.8262195121951219
9,29,1,-1681830181.4447763,1400,0.19355863589379524,0.9284722222222223
9,39,1,-1681830187.457624,1400,0.6427247638398028,0.6542553191489362
9,0,1,-1681830179.9187388,1400,0.10052113484863828,0.977515243902439
9,21,1,-1681830181.3260005,1400,0.9458743135134379,0.7145833333333333
9,23,1,-1681830185.789245,1400,0.050335383252991785,0.984375
9,8,1,-1681830180.554037,1400,0.33500696851147543,0.89375
9,49,1,-1681830176.3767145,1400,1.1268176322031502,0.5823863636363636
9,32,1,-1681830173.5729933,1400,0.12030117137646171,0.9641285211267606
9,5,1,-1681830185.534391,1400,0.034952045611009515,0.9894935344827587
9,41,1,-1681830177.1120148,1400,0.20829450154328735,0.9341971544715447
9,11,1,-1681830183.2993243,1400,1.213027385148135,0.581095041322314
9,43,1,-1681830176.0291767,1400,0.22149008897280223,0.93359375
10,30,1,-1681830182.5810084,1400,0.08997221287015987,0.9836956521739131
10,31,1,-1681830182.5226803,1400,0.13641472284992537,0.98125
10,10,1,-1681830185.160439,1400,0.3130955536817682,0.9019396551724138
10,17,1,-1681830183.0815144,1400,0.6940026676309281,0.7341485507246377
10,29,1,-1681830177.7028897,1400,0.10105832202566994,0.9819444444444444
10,48,1,-1681830175.3295565,1400,0.324897812499154,0.9133064516129032
10,49,1,-1681830182.7153094,1400,0.5632587809755345,0.8061868686868687
10,13,1,-1681830187.1876645,1400,0.11671583883572316,0.9737318840579711
10,27,1,-1681830188.701157,1400,0.9268358682210629,0.6856971153846154
10,0,1,-1681830189.0472593,1400,0.07323275413364172,0.9824695121951219
10,36,1,-1681830177.8933475,1400,0.3001149741248188,0.8944978632478633
10,2,1,-1681830180.9247417,1400,0.06240701075675416,0.9846443965517241
10,41,1,-1681830184.5418231,1400,0.18652210726849433,0.9390243902439024
10,20,1,-1681830177.302475,1400,0.12461316789267585,0.964599609375
10,33,1,-1681830190.6240907,1400,0.33810515607948655,0.892824074074074
11,6,1,-1681830192.4453595,1400,0.07771439930679751,0.9785539215686274
11,28,1,-1681830184.2491503,1400,0.41637312062084675,0.9212239583333334
11,29,1,-1681830190.7870991,1400,0.06596635931895839,0.9854166666666667
11,30,1,-1681830192.2340322,1400,0.07282797388894402,0.9823369565217391
11,39,1,-1681830184.2924228,1400,0.5742274503758613,0.7253989361702128
11,35,1,-1681830186.4619265,1400,0.3635628623206441,0.8376524390243902
11,45,1,-1681830176.6647048,1400,0.05058228255934026,0.9894578313253012
11,46,1,-1681830186.7074373,1400,0.3041528039611876,0.9169921875
11,49,1,-1681830184.465955,1400,0.26785992921301816,0.9195075757575758
11,19,1,-1681830190.408774,1400,0.2240441279059433,0.9352409638554217
11,37,1,-1681830184.6225913,1400,0.04557739255923621,0.9867957746478874
11,42,1,-1681830188.1547894,1400,0.08888382482868822,0.9769021739130435
11,12,1,-1681830177.9722273,1400,0.13318574903471186,0.9677152317880795
11,11,1,-1681830181.648913,1400,0.44252822800608704,0.8786157024793388
11,32,1,-1681830187.5469208,1400,0.08896444631661747,0.9716109154929577
12,29,1,-1681830190.296414,1400,0.04845576133165094,0.9888888888888889
12,48,1,-1681830178.6960502,1400,0.3111083032262902,0.9133064516129032
12,14,1,-1681830183.4360054,1400,0.31009068481020025,0.8956925675675675
12,35,1,-1681830183.844112,1400,0.3108806115825002,0.8765243902439024
12,0,1,-1681830185.8828175,1400,0.0544677180715087,0.9878048780487805
12,30,1,-1681830188.7561476,1400,0.0605515750610958,0.9877717391304348
12,22,1,-1681830190.4095488,1400,0.13485353498063127,0.9723360655737705
12,17,1,-1681830192.3530369,1400,0.47525656741598377,0.8360507246376812
12,24,1,-1681830185.6282775,1400,0.07209388376481232,0.9827586206896551
12,49,1,-1681830192.2367492,1400,0.18229404129464216,0.9416035353535354
12,23,1,-1681830185.0482187,1400,0.045694825506108185,0.9856350806451613
12,47,1,-1681830194.041917,1400,0.1502549592610244,0.9625686813186813
12,42,1,-1681830191.0947678,1400,0.06559270053454068,0.9799592391304348
12,9,1,-1681830192.7161288,1400,0.11336489927409024,0.9674030172413793
12,33,1,-1681830188.279187,1400,0.20073308147214078,0.9368055555555556
13,16,1,-1681830187.5481184,1400,0.18571317406036916,0.9527243589743589
13,34,1,-1681830190.891177,1400,0.40778516232967377,0.871875
13,45,1,-1681830191.6870682,1400,0.045859498959259094,0.9883283132530121
13,8,1,-1681830191.5777802,1400,0.23119618909226525,0.9267361111111111
13,18,1,-1681830186.6266344,1400,0.7732415558011444,0.7748842592592593
13,13,1,-1681830180.4074078,1400,0.11109504808226357,0.9737318840579711
13,46,1,-1681830193.8171215,1400,0.22906929813325405,0.92578125
13,14,1,-1681830184.9366586,1400,0.19653685501701124,0.9391891891891891
13,9,1,-1681830194.677075,1400,0.09582319388422987,0.970635775862069
13,47,1,-1681830192.8287296,1400,0.10480727584889302,0.9708104395604396
13,42,1,-1681830183.7826848,1400,0.053825898475580565,0.9836956521739131
13,43,1,-1681830189.6450052,1400,0.12654444550801264,0.9592927631578947
13,11,1,-1681830185.844004,1400,0.26730702577297355,0.9070247933884298
13,41,1,-1681830189.2126577,1400,0.16148190094324633,0.9499491869918699
13,4,1,-1681830191.3342953,1400,0.09627474800107025,0.9737103174603174
14,15,1,-1681830188.176911,1400,0.27711534686386585,0.88359375
14,39,1,-1681830198.2690372,1400,0.46361496854335704,0.8071808510638298
14,6,1,-1681830195.061475,1400,0.06234648829216466,0.9803921568627451
14,18,1,-1681830196.9003148,1400,0.33063840010651835,0.9322916666666666
14,16,1,-1681830192.8681476,1400,0.18119875494486246,0.9527243589743589
14,29,1,-1681830182.5833392,1400,0.042488437394301096,0.9902777777777778
14,17,1,-1681830190.8061635,1400,0.3484271078006081,0.8845108695652174
14,28,1,-1681830191.9825325,1400,0.1958018884373208,0.9563802083333334
14,44,1,-1681830196.7373369,1400,0.13710124766240356,0.9656762295081968
14,19,1,-1681830186.243233,1400,0.16765606609812703,0.9506777108433735
14,41,1,-1681830192.4192653,1400,0.14400026514157047,0.9504573170731707
14,36,1,-1681830192.8119044,1400,0.22147751532686064,0.9222756410256411
14,4,1,-1681830194.418256,1400,0.08337420509714219,0.9771825396825397
14,33,1,-1681830191.2705564,1400,0.15678416758223815,0.9479166666666666
14,25,1,-1681830188.6293259,1400,0.07209114759420672,0.9804964539007093
15,7,1,-1681830199.1717148,1400,0.011049254168756305,1.0
15,15,1,-1681830200.4332275,1400,0.22900516204535962,0.9140625
15,29,1,-1681830190.2864418,1400,0.037460776811672584,0.9923611111111111
15,44,1,-1681830183.9996877,1400,0.10512264094269666,0.9718237704918032
15,0,1,-1681830195.267528,1400,0.04683808877882434,0.9881859756097561
15,13,1,-1681830196.393874,1400,0.10278327781976997,0.9737318840579711
15,22,1,-1681830193.0903113,1400,0.12225481571599109,0.9723360655737705
15,10,1,-1681830188.7489474,1400,0.16041111252431212,0.9595905172413793
15,21,1,-1681830193.8178434,1400,0.19926414716811408,0.9520833333333333
15,1,1,-1681830198.263572,1400,0.16261555419736345,0.9432218309859155
15,9,1,-1681830191.8038175,1400,0.08448993103129082,0.9733297413793104
15,2,1,-1681830193.2940104,1400,0.05526340226161069,0.9846443965517241
15,23,1,-1681830196.497567,1400,0.041305974407512096,0.9863911290322581
15,3,1,-1681830191.3936813,1400,0.10851527668467355,0.9693233944954128
15,33,1,-1681830194.8263166,1400,0.13061065813181577,0.9546296296296296
16,16,1,-1681830190.6253202,1400,0.17426462824910116,0.9535256410256411
16,26,1,-1681830192.5134258,1400,1.5585916294501378,0.6334134615384616
16,44,1,-1681830192.9907532,1400,0.0850123087951883,0.9748975409836066
16,46,1,-1681830196.0500476,1400,0.2062429577927105,0.9248046875
16,28,1,-1681830198.0653284,1400,0.13053616570929685,0.9602864583333334
16,30,1,-1681830194.0300639,1400,0.054841199667071516,0.9870923913043478
16,15,1,-1681830193.427322,1400,0.1925224106758833,0.9265625
16,14,1,-1681830191.6537046,1400,0.14896616571255633,0.9527027027027027
16,18,1,-1681830185.4219089,1400,0.1514533047598821,0.9675925925925926
16,19,1,-1681830201.8362632,1400,0.14318602927118898,0.9593373493975904
16,48,1,-1681830196.7977705,1400,0.2947417403901777,0.9133064516129032
16,42,1,-1681830195.6336198,1400,0.04781874585086885,0.9833559782608695
16,0,1,-1681830195.423357,1400,0.041126693712501994,0.9900914634146342
16,45,1,-1681830194.3211281,1400,0.03632439862577671,0.990210843373494
16,23,1,-1681830194.048619,1400,0.03668921234671988,0.9889112903225806
17,7,1,-1681830201.72856,1400,0.00757655908819288,1.0
17,26,1,-1681830187.4543567,1400,0.6667130566560305,0.6923076923076923
17,34,1,-1681830195.5058198,1400,0.2557337313890457,0.9385416666666667
17,48,1,-1681830195.246239,1400,0.2752303968994848,0.9133064516129032
17,16,1,-1681830202.8383167,1400,0.17052942423675305,0.9527243589743589
17,18,1,-1681830198.005695,1400,0.106529351323843,0.9751157407407407
17,15,1,-1681830194.393699,1400,0.1396927872672677,0.96328125
17,17,1,-1681830193.6003675,1400,0.28387374409298965,0.9012681159420289
17,1,1,-1681830197.2655354,1400,0.13815004383804094,0.948943661971831
17,19,1,-1681830201.1284146,1400,0.12549485564680704,0.963855421686747
17,24,1,-1681830201.1888356,1400,0.05043680334313848,0.9852729885057471
17,42,1,-1681830193.933508,1400,0.04286339856765192,0.9884510869565217
17,23,1,-1681830192.3661244,1400,0.03370140160193607,0.9896673387096774
17,33,1,-1681830195.4877217,1400,0.11415147091503497,0.9590277777777778
17,11,1,-1681830203.2944179,1400,0.19318527204931274,0.9424070247933884
18,7,1,-1681830195.6669457,1400,0.006018511392176152,1.0
18,31,1,-1681830201.116118,1400,0.09501872820158799,0.984375
18,15,1,-1681830203.682205,1400,0.11315927477553486,0.971875
18,16,1,-1681830195.7782907,1400,0.15984335532173133,0.9535256410256411
18,30,1,-1681830199.0247529,1400,0.05111747356536596,0.9884510869565217
18,29,1,-1681830194.20373,1400,0.033299142184356846,0.9923611111111111
18,18,1,-1681830195.4876564,1400,0.08911823460625277,0.9756944444444444
18,28,1,-1681830195.9254217,1400,0.09948186064139009,0.9700520833333334
18,49,1,-1681830196.405426,1400,0.1500795032038833,0.9510732323232324
18,21,1,-1681830198.6343875,1400,0.1023669348053989,0.9741071428571428
18,11,1,-1681830196.1395462,1400,0.1578710104131009,0.9519628099173554
18,47,1,-1681830204.3069086,1400,0.08688576976963125,0.9742445054945055
18,42,1,-1681830203.6752229,1400,0.03697498780978924,0.9891304347826086
18,12,1,-1681830205.1416461,1400,0.08786984449807579,0.9755794701986755
18,40,1,-1681830198.2425225,1400,0.08707786238554752,0.9760890151515151
19,7,1,-1681830193.6215253,1400,0.006085676653310656,1.0
19,18,1,-1681830206.6566913,1400,0.08082465893002572,0.9756944444444444
19,16,1,-1681830203.0869637,1400,0.15741089607278505,0.9527243589743589
19,39,1,-1681830205.0549364,1400,0.32485789980026003,0.8909574468085106
19,6,1,-1681830206.1085782,1400,0.053293124389122516,0.9816176470588235
