Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,14,1,-1681839042.9145234,1400,1.0702351778745651,0.6338682432432432
1,7,1,-1681839046.1416388,1400,1.2596372671425342,0.946875
1,16,1,-1681839045.819953,1400,0.8399928277119612,0.9278846153846154
1,15,1,-1681839045.8760273,1400,1.0617918029427529,0.83125
1,30,1,-1681839045.6083286,1400,1.0939470892367156,0.6596467391304348
1,24,1,-1681839045.1165462,1400,0.7778063702514801,0.7482040229885057
1,8,1,-1681839045.1457505,1400,1.3005220923158858,0.5569444444444445
1,20,1,-1681839044.6151643,1400,0.9518219658639282,0.778076171875
1,4,1,-1681839044.671815,1400,1.27301819078506,0.6016865079365079
1,12,1,-1681839044.4214947,1400,0.8617468367743966,0.7353062913907285
2,26,1,-1681839051.3873856,1400,1.8985140598737276,0.5625
2,31,1,-1681839051.6346135,1400,1.8035935680071513,0.675
2,21,1,-1681839050.1333764,1400,1.1720704373859223,0.6616071428571428
2,3,1,-1681839050.180798,1400,1.38584850195351,0.544151376146789
2,5,1,-1681839049.9396212,1400,0.7347114326368118,0.7702047413793104
2,9,1,-1681839049.958912,1400,1.2345704220492264,0.5870150862068966
2,23,1,-1681839049.6482015,1400,0.7888390618947244,0.7449596774193549
2,33,1,-1681839049.7113197,1400,1.1786403587570897,0.6391203703703704
2,25,1,-1681839049.323792,1400,1.1208055649243347,0.6298758865248227
2,32,1,-1681839049.3849163,1400,1.0367269979816087,0.6111355633802817
3,34,1,-1681839051.1155665,1400,1.4890051245689393,0.546875
3,15,1,-1681839051.1875143,1400,0.4088404566049576,0.86640625
3,30,1,-1681839052.6904073,1400,0.5119748620883279,0.7493206521739131
3,18,1,-1681839051.7477112,1400,1.4611468613147736,0.5879629629629629
3,0,1,-1681839052.6347804,1400,0.894415656240975,0.7488567073170732
3,19,1,-1681839051.858186,1400,1.1860919932284988,0.6329066265060241
3,8,1,-1681839051.3532865,1400,0.8042037205563651,0.7055555555555556
3,2,1,-1681839050.1095798,1400,0.8268847572135514,0.8054956896551724
3,23,1,-1681839050.3264575,1400,0.18465372075837466,0.9536290322580645
3,20,1,-1681839050.581524,1400,0.19586462865117937,0.949462890625
4,34,1,-1681839052.100897,1400,0.6287647942701976,0.7510416666666667
4,15,1,-1681839052.9950936,1400,0.3650296900421381,0.8640625
4,28,1,-1681839053.4000578,1400,1.4409123919904232,0.6061197916666666
4,6,1,-1681839052.4956036,1400,1.2082739811317593,0.8529411764705882
4,19,1,-1681839053.6063771,1400,0.45558599014598206,0.8493975903614458
4,0,1,-1681839051.174297,1400,0.19882098058374917,0.96875
4,2,1,-1681839053.5238342,1400,0.1643013203323915,0.955010775862069
4,4,1,-1681839052.7433665,1400,0.38465894971575054,0.8985615079365079
4,25,1,-1681839054.4453528,1400,0.23019482840037514,0.9386081560283688
4,12,1,-1681839054.4961326,1400,0.14520996503087857,0.9685430463576159
5,7,1,-1681839053.390781,1400,0.03304734211415052,1.0
5,16,1,-1681839056.3262248,1400,0.2395672402702845,0.9535256410256411
5,29,1,-1681839058.0194585,1400,0.9702329688602024,0.8729166666666667
5,22,1,-1681839059.4036558,1400,0.49777350870922943,0.9667008196721312
5,1,1,-1681839055.9622355,1400,1.192285743397726,0.6487676056338029
5,24,1,-1681839054.097193,1400,0.14514329528500294,0.9705459770114943
5,3,1,-1681839054.4535668,1400,0.45540280831516333,0.8744266055045872
5,5,1,-1681839054.2459202,1400,0.11288147856449258,0.9768318965517241
5,20,1,-1681839057.9691231,1400,0.10486326953105163,0.97021484375
5,32,1,-1681839052.9314463,1400,0.27374223950253407,0.9271566901408451
6,31,1,-1681839055.9121785,1400,0.5991639047861099,0.7583333333333333
6,16,1,-1681839061.0257206,1400,0.20916006074119836,0.9535256410256411
6,15,1,-1681839059.7719078,1400,0.3242913704365492,0.865625
6,18,1,-1681839057.814967,1400,0.5880522214704089,0.8848379629629629
6,0,1,-1681839055.255247,1400,0.08662330132068657,0.9870426829268293
6,24,1,-1681839059.0195312,1400,0.06836562777130768,0.9838362068965517
6,21,1,-1681839058.7118971,1400,0.28292049368222555,0.9306547619047619
6,2,1,-1681839059.6867182,1400,0.08432272706052353,0.9771012931034483
6,5,1,-1681839059.934027,1400,0.05540808034129441,0.9849137931034483
6,4,1,-1681839055.936278,1400,0.16738376645223488,0.9541170634920635
7,26,1,-1681839064.4674113,1400,0.7512565209315374,0.6550480769230769
7,31,1,-1681839064.7192912,1400,0.3236414805054665,0.9135416666666667
7,18,1,-1681839062.2941313,1400,0.21112002832470117,0.9704861111111112
7,17,1,-1681839057.578446,1400,1.3745952438617097,0.49682971014492755
7,3,1,-1681839059.6091323,1400,0.21015967729441618,0.9521215596330275
7,2,1,-1681839060.0277967,1400,0.06394040855129474,0.9822198275862069
7,9,1,-1681839058.1835592,1400,0.3591053447975167,0.8938577586206896
7,11,1,-1681839059.3703897,1400,1.3005843916215187,0.5397727272727273
7,20,1,-1681839060.3925202,1400,0.08608532194921281,0.976806640625
7,25,1,-1681839055.7625046,1400,0.10870306438218194,0.9683067375886525
8,7,1,-1681839059.5846534,1400,0.012782891048118472,1.0
8,6,1,-1681839064.274296,1400,0.2975951241804104,0.9644607843137255
8,22,1,-1681839059.4346068,1400,0.14064699170164396,0.9723360655737705
8,1,1,-1681839061.4385972,1400,0.5115812072451685,0.8644366197183099
8,14,1,-1681839063.3813953,1400,0.5269469437566964,0.737331081081081
8,24,1,-1681839064.4987068,1400,0.05173677378387629,0.9838362068965517
8,8,1,-1681839063.1220171,1400,0.5049649371041192,0.8114583333333333
8,2,1,-1681839059.4114037,1400,0.052452770981070554,0.986260775862069
8,23,1,-1681839058.7852747,1400,0.09665873090946867,0.9720262096774194
8,4,1,-1681839059.6179023,1400,0.12016475308568232,0.9655257936507936
9,29,1,-1681839060.758897,1400,0.30805878274970583,0.8798611111111111
9,16,1,-1681839064.5728447,1400,0.19814120959012937,0.9527243589743589
9,10,1,-1681839065.4022748,1400,1.0442437935492088,0.6632543103448276
9,17,1,-1681839064.5802584,1400,0.8531844978747161,0.6793478260869565
9,0,1,-1681839067.0107625,1400,0.05707262077073499,0.9878048780487805
9,8,1,-1681839068.8799038,1400,0.32939890979064834,0.8892361111111111
9,21,1,-1681839063.80447,1400,0.13410935451587042,0.968452380952381
9,27,1,-1681839059.900919,1400,1.3168375899012272,0.5069110576923077
9,5,1,-1681839067.741804,1400,0.044655881725765505,0.9886853448275862
9,23,1,-1681839064.8710926,1400,0.07396528649053746,0.9763104838709677
10,26,1,-1681839065.876991,1400,0.6362976191135553,0.6790865384615384
10,15,1,-1681839070.1756513,1400,0.2864910937845707,0.87734375
10,30,1,-1681839070.1576064,1400,0.31666574141253595,0.9137228260869565
10,28,1,-1681839066.689048,1400,0.5329524390399456,0.853515625
10,6,1,-1681839066.9270484,1400,0.12094772124991697,0.9736519607843137
10,14,1,-1681839066.674097,1400,0.3472300061100238,0.8766891891891891
10,0,1,-1681839067.7507281,1400,0.044876358312804523,0.9897103658536586
10,8,1,-1681839064.3536582,1400,0.22499274942609998,0.9274305555555555
10,27,1,-1681839066.1289973,1400,0.8017518861362567,0.7202524038461539
10,2,1,-1681839062.077319,1400,0.05221135147590319,0.9867995689655172
11,34,1,-1681839071.7251651,1400,0.46641586323579154,0.8729166666666667
11,15,1,-1681839065.760838,1400,0.23105181846767664,0.9015625
11,16,1,-1681839067.1659348,1400,0.18988692722259423,0.9527243589743589
11,29,1,-1681839064.77895,1400,0.16283608832293087,0.9506944444444444
11,28,1,-1681839066.9416986,1400,0.2745187288771073,0.9518229166666666
11,19,1,-1681839071.1355283,1400,0.24141321241496558,0.9262048192771084
11,5,1,-1681839067.58932,1400,0.04020456186945325,0.9876077586206896
11,20,1,-1681839062.3485453,1400,0.07142312182259047,0.97802734375
11,25,1,-1681839070.4548886,1400,0.07969462538653231,0.9762854609929078
11,12,1,-1681839067.183604,1400,0.08859792826018784,0.9768211920529801
12,15,1,-1681839072.3889859,1400,0.1784400587901473,0.93515625
12,30,1,-1681839072.3111134,1400,0.18194846193427625,0.9633152173913043
12,22,1,-1681839072.018458,1400,0.12703457691508238,0.9723360655737705
12,17,1,-1681839068.9807918,1400,0.5838589897190315,0.7957427536231884
12,0,1,-1681839072.0980823,1400,0.039002574003506,0.9927591463414634
12,8,1,-1681839065.7765687,1400,0.1757078227483564,0.9440972222222223
12,9,1,-1681839066.15699,1400,0.15775860836408262,0.9563577586206896
12,11,1,-1681839062.8249543,1400,0.522657942057641,0.8429752066115702
12,20,1,-1681839069.3227878,1400,0.06226276114830398,0.980712890625
12,12,1,-1681839069.400206,1400,0.07347845900433743,0.9797185430463576
13,7,1,-1681839071.4427402,1400,0.007771053072065115,1.0
13,16,1,-1681839074.2938688,1400,0.18839240637727273,0.9527243589743589
13,18,1,-1681839074.3878043,1400,0.11911172226623253,0.9745370370370371
13,14,1,-1681839070.3404686,1400,0.19736203198900093,0.9467905405405406
13,21,1,-1681839067.0414515,1400,0.09437605057443892,0.9723214285714286
13,27,1,-1681839066.568953,1400,0.41494767339183736,0.8653846153846154
13,11,1,-1681839075.3163426,1400,0.2811447167076355,0.9054752066115702
