Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,3,1,2.150614,3514152,0.710061,0.805556
1,2,1,1.010529,3514152,0.938238,0.74858
1,7,1,1.152082,3514152,1.076424,0.706495
1,18,1,1.235529,3514152,1.108418,0.542245
1,8,1,1.423167,3514152,0.859115,0.789187
1,12,1,1.630505,3514152,1.400259,0.573057
1,4,1,1.918539,3514152,0.733288,0.788542
1,14,1,2.039871,3514152,0.390546,0.932023
2,5,1,0.49279,3514152,1.663535,0.473684
2,10,1,1.04979,3514152,1.719307,0.394022
2,2,1,1.019836,3514152,0.634175,0.78267
2,18,1,1.204248,3514152,0.935769,0.597222
2,12,1,1.634273,3514152,1.327658,0.590794
2,16,1,1.634357,3514152,1.194679,0.647917
2,1,1,1.771606,3514152,1.44068,0.373843
2,11,1,1.986594,3514152,0.664261,0.688179
3,7,1,1.21582,3514152,0.846053,0.755515
3,18,1,1.282135,3514152,0.968634,0.604167
3,17,1,1.693987,3514152,1.5526,0.428209
3,19,1,1.726203,3514152,1.317409,0.466721
3,9,1,1.878035,3514152,1.086898,0.698552
3,4,1,2.006749,3514152,0.724912,0.772569
3,11,1,2.014809,3514152,0.917132,0.612432
3,14,1,2.116058,3514152,0.443632,0.912049
4,2,1,1.012339,3514152,0.697069,0.776278
4,15,1,1.193716,3514152,1.336692,0.484069
4,7,1,1.171864,3514152,0.947869,0.717525
4,13,1,1.765486,3514152,0.861837,0.575949
4,12,1,1.650039,3514152,1.298127,0.579814
4,1,1,1.789461,3514152,1.376043,0.430556
4,9,1,1.806145,3514152,1.076493,0.695122
4,3,1,2.257053,3514152,0.696475,0.786748
5,7,1,1.168596,3514152,0.952636,0.721814
5,8,1,1.414403,3514152,0.845944,0.779762
5,16,1,1.689695,3514152,1.06839,0.669583
5,12,1,1.661061,3514152,1.235278,0.611064
5,19,1,1.723402,3514152,1.258052,0.476055
5,13,1,1.773323,3514152,0.680653,0.649921
5,11,1,2.024533,3514152,0.56183,0.774117
5,0,1,2.812891,3514152,1.165305,0.51959
6,2,1,1.011084,3514152,0.691197,0.785511
6,18,1,1.244263,3514152,0.747469,0.733218
6,10,1,1.064741,3514152,1.370994,0.495245
6,15,1,1.138067,3514152,1.404953,0.43076
6,8,1,1.393643,3514152,0.629859,0.827381
6,19,1,1.674666,3514152,1.124443,0.534091
6,1,1,1.766155,3514152,1.265602,0.513889
6,0,1,2.705662,3514152,1.07734,0.569729
7,10,1,1.114915,3514152,1.280072,0.54144
7,2,1,1.016832,3514152,0.632372,0.799006
7,8,1,1.426138,3514152,0.598105,0.830357
7,12,1,1.640134,3514152,1.175098,0.64147
7,16,1,1.635318,3514152,1.039022,0.6625
7,1,1,1.839152,3514152,1.05649,0.597994
7,13,1,1.705692,3514152,0.654237,0.708861
7,4,1,1.913279,3514152,0.564089,0.804514
8,7,1,1.170629,3514152,0.734809,0.781863
8,18,1,1.246661,3514152,0.681661,0.78588
8,12,1,1.638795,3514152,1.024726,0.675253
8,1,1,1.807988,3514152,1.082287,0.596065
8,11,1,2.017493,3514152,0.487135,0.808764
8,4,1,1.942795,3514152,0.531966,0.802083
8,6,1,2.100182,3514152,0.468718,0.860795
8,0,1,2.735675,3514152,1.002052,0.602379
9,5,1,0.470158,3514152,1.154443,0.648026
9,10,1,1.071075,3514152,1.212727,0.603261
9,8,1,1.403457,3514152,0.624008,0.804563
9,13,1,1.693985,3514152,0.629107,0.745253
