Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
6,0,1,-1681343606.6708148,88192,0.8948486667386321,0.846656976744186
6,29,1,-1681343607.3113878,88192,0.7171337468815702,0.8459821428571429
6,12,1,-1681343614.8933394,88192,1.307138482729594,0.6229166666666667
6,21,1,-1681343600.0045602,88192,1.0967434773842493,0.51875
6,42,1,-1681343607.8141596,88192,0.9468494589512165,0.8288461538461539
6,27,1,-1681343610.6752143,88192,1.2771714395946927,0.41215277777777776
6,39,1,-1681343604.9550738,88192,1.5954194416602452,0.4127604166666667
6,31,1,-1681343602.4701946,88192,1.2467122390432266,0.620752427184466
6,47,1,-1681343602.6606877,88192,1.3394137002129591,0.3881202290076336
6,5,1,-1681343601.4630108,88192,1.4429219683935477,0.45591085271317827
6,2,1,-1681343608.000908,88192,1.6201373845338822,0.3322265625
6,7,1,-1681343599.8714707,88192,0.9799301490917073,0.7351398601398601
6,8,1,-1681343590.3688471,88192,1.2592820672139728,0.4152397260273973
6,28,1,-1681343602.9751625,88192,1.4940824378759434,0.3719951923076923
6,4,1,-1681343606.969151,88192,1.4539657680294182,0.42681962025316456
6,6,1,-1681343599.1931047,88192,1.594136387573005,0.3019753886010363
6,26,1,-1681343599.3595126,88192,1.6797919343499577,0.3026403743315508
6,9,1,-1681343604.3495631,88192,1.5381771182092492,0.33952294685990336
6,1,1,-1681343595.9119108,88192,1.5054286144397877,0.3090277777777778
6,10,1,-1681343604.1586998,88192,1.298520924229371,0.5238486842105263
6,24,1,-1681343596.0304914,88192,1.618062755986714,0.2984865470852018
6,14,1,-1681343606.5487924,88192,1.5716794804921226,0.32258597883597884
1,36,1,-1681343706.0330458,88192,0.9644376716296661,0.6816502463054187
7,17,1,-1681343605.6298988,88192,2.126563036441803,0.678125
1,17,1,-1681343726.1517098,88192,2.168194019794464,0.678125
1,16,1,-1681343723.1557455,88192,1.2153377383947372,0.5768229166666666
1,43,1,-1681343720.9009726,88192,0.43430604102302406,0.9775219298245614
1,0,1,-1681343723.5362136,88192,0.9819771578145582,0.8473837209302325
7,38,1,-1681343614.731127,88192,1.4753833903985865,0.49203431372549017
