Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,30,90624,28,0.8033258489200047,0.44642857142857145
1,25,90624,28,2.3174179712931315,0.06666666666666667
1,15,90624,28,2.3118386452014628,0.0
1,26,90624,28,2.3202906449635825,0.0
1,2,90624,28,2.32761229168285,0.07670454545454546
1,5,90624,28,2.28277656010219,0.17857142857142858
1,31,90624,28,1.0296551287174225,0.390625
1,10,90624,28,2.319590775171916,0.0
1,23,90624,28,2.269243291446141,0.006696428571428571
1,28,90624,28,0.7522838659908461,0.6440217391304348
1,32,90624,28,2.2536731958389282,0.18990384615384615
1,6,90624,28,1.083324909210205,0.6764705882352942
1,0,90624,28,2.2362445036570233,0.45208333333333334
1,33,90624,28,2.3392211198806763,0.0
1,11,90624,28,2.29000061750412,0.06076388888888889
1,7,90624,28,0.14412879049777985,1.0
1,14,90624,28,2.3133979493921455,0.0
1,24,90624,28,0.9280302091078325,0.3977272727272727
1,16,90624,28,2.5544580979780718,0.11079545454545454
1,20,90624,28,2.3100867718458176,0.0
1,34,90624,28,2.314636993408203,0.0
1,29,90624,28,2.3124233830359673,0.0
1,8,90624,28,1.3577031107509838,0.38786764705882354
1,12,90624,28,2.2976271339825223,0.04017857142857143
1,4,90624,28,1.3835425632340568,0.47767857142857145
1,3,90624,28,2.2484891513983407,0.16927083333333334
1,21,90624,28,2.306185245513916,0.005040322580645161
1,17,90624,28,2.3186836619126168,0.003289473684210526
1,13,90624,28,0.824029411872228,0.6104166666666667
1,27,90624,28,2.295398029787787,0.020474137931034482
1,22,90624,28,2.2905010155269077,0.017857142857142856
1,9,90624,28,2.2867501258850096,0.28125
1,1,90624,28,1.228229750286449,0.4914772727272727
1,18,90624,28,2.3229868412017822,0.0
1,19,90624,28,2.303675674623059,0.19959677419354838
2,31,90624,28,1.8196147084236145,0.890625
2,30,90624,28,1.857179386275155,0.18303571428571427
2,14,90624,28,2.2908489487387915,0.0
2,34,90624,28,2.314636993408203,0.0
2,26,90624,28,2.2872964806026883,0.013888888888888888
2,22,90624,28,2.27910354023888,0.38839285714285715
2,29,90624,28,2.2747041948380007,0.34475806451612906
2,20,90624,28,2.318698361515999,0.001953125
2,17,90624,28,2.3186836619126168,0.003289473684210526
2,16,90624,28,1.6838163462552158,0.11363636363636363
2,15,90624,28,2.251375308403602,0.36538461538461536
2,6,90624,28,1.7264923558515661,0.43933823529411764
2,10,90624,28,1.336216918627421,0.4395833333333333
2,23,90624,28,1.5628261821610587,0.017857142857142856
2,9,90624,28,2.292524480819702,0.0
2,32,90624,28,2.2575660943984985,0.6442307692307693
2,2,90624,28,1.5887099667028948,0.4914772727272727
2,19,90624,28,1.6331482894958989,0.37399193548387094
2,11,90624,28,2.326050559679667,0.0
2,33,90624,28,2.304566992653741,0.04600694444444445
2,28,90624,28,1.7290985273278279,0.36277173913043476
2,25,90624,28,1.4038562138875326,0.42291666666666666
2,3,90624,28,1.6318434327840805,0.6197916666666666
2,8,90624,28,1.9835764099569881,0.03676470588235294
2,5,90624,28,1.0917678815977914,0.7165178571428571
2,0,90624,28,2.348226809501648,0.0
2,1,90624,28,1.896273217417977,0.375
2,4,90624,28,1.9802833114351546,0.1875
2,12,90624,28,2.267883700983865,0.5412946428571429
2,18,90624,28,2.284857255441171,0.0
2,24,90624,28,1.6652150316671892,0.8181818181818182
2,21,90624,28,2.3260888361161753,0.0
2,7,90624,28,1.5527092576026917,1.0
2,13,90624,28,1.533164421717326,0.6125
2,27,90624,28,1.8148680103236232,0.1336206896551724
3,34,88192,28,1.7601816415786744,0.6
3,31,88192,28,1.8957826693852742,0.84375
3,7,88192,28,1.6018683791160584,1.0
3,30,88192,28,1.5329694237027849,0.18303571428571427
3,6,88192,28,1.9269871220869177,0.8327205882352942
3,17,88192,28,2.3433253639622738,0.0
3,20,88192,28,2.317201241850853,0.0
3,10,88192,28,1.680275821685791,0.5541666666666667
3,15,88192,28,1.8296556931275587,0.37259615384615385
3,4,88192,28,1.7824616602488927,0.5334821428571429
3,1,88192,28,1.921058107506145,0.44176136363636365
