Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
1,0.5418400239282989,0
1,0.1472120007885595,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
2,0.5218377491248337,0
2,0.5809490528821024,1
2,0.024709019024276378,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
3,0.5223896910979346,0
3,0.5209274760850261,1
3,0.48940805389141306,2
3,0.09854021566471163,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
4,0.516015418611911,0
4,0.5732620356306286,1
4,0.5790958450698893,2
4,0.6362452651515151,3
4,0.046194757706729254,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
5,0.5847459308559877,0
5,0.5288852156476745,1
5,0.6275694594814053,2
5,0.6041090392303847,3
5,0.681344696969697,4
5,0.0009057971014492754,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
6,0.6878858404971505,0
6,0.6290502361656151,1
6,0.5749907448622166,2
6,0.527583318473278,3
6,0.5688530734632683,4
6,0,5
6,0.14198369565217392,6
6,0,7
6,0,8
6,0,9
6,0,10
7,0.7985931166974367,0
7,0.6848266104022683,1
7,0.6731248719704157,2
7,0.5115494903973319,3
7,0.5287469513667535,4
7,0.9429347826086957,5
7,0,6
7,0.0,7
7,0,8
7,0,9
7,0,10
8,0.7968610841422039,0
8,0.8148249054866702,1
8,0.6597361722909968,2
8,0.7306666763927794,3
8,0.38088037634408606,4
8,0.6000239463601532,5
8,0,6
8,0,7
8,0.029431100981767183,8
8,0,9
8,0,10
9,0.8214878291903457,0
9,0.748307863222636,1
9,0.8260211071027659,2
9,0.576573021885522,3
9,0.775906716853408,4
9,0.5625,5
9,0.4709051724137931,6
9,0,7
9,0,8
9,0,9
9,0,10
10,0.832297456802338,0
10,0.7790733687710438,1
10,0.7664025458668314,2
10,0.9185564241722329,3
10,0.5963278619528619,4
10,0.801470588235294,5
10,0.5786290322580645,6
10,0,7
10,0,8
10,0,9
10,0,10
