Round,Cid,Size of parameters,Loss,Accuracy
1,37,88192,2.262183299431434,0.002403846153846154
1,32,88192,2.3273952190692606,0.008413461538461538
1,12,88192,2.3269532237734114,0.0
1,18,88192,2.2916961246066623,0.0
1,19,88192,2.3449964830952306,0.0
1,16,88192,1.9891727837649258,0.09943181818181818
1,21,88192,2.2882619980842835,0.40725806451612906
1,43,88192,2.308895746866862,0.29375
1,3,88192,2.2847414116064706,0.30078125
1,24,88192,2.2983157851479272,0.0
1,34,88192,2.3008509635925294,0.2625
1,47,88192,2.3085519075393677,0.0
1,28,88192,2.2925307232400645,0.04483695652173913
1,40,88192,2.332866247962503,0.07720588235294118
1,0,88192,2.3049118916193643,0.0
1,29,88192,2.2666734803107476,0.6330645161290323
1,9,88192,2.309220027923584,0.0
1,1,88192,2.31366304917769,0.002840909090909091
1,48,88192,1.6056047513567169,0.4709051724137931
1,36,88192,1.3627683520317078,0.2869318181818182
1,39,88192,2.3001778693426225,0.0
1,8,88192,1.4082548407947315,0.36764705882352944
1,27,88192,2.324307186850186,0.0
1,20,88192,2.284308359026909,0.00390625
1,35,88192,2.3313807964324953,0.0
1,10,88192,2.301707665125529,0.0
1,7,88192,2.3016629219055176,0.0
1,17,88192,2.285615130474693,0.41776315789473684
1,13,88192,2.298852570851644,0.0
1,4,88192,1.6888038941792078,0.2924107142857143
1,38,88192,2.2993138404119584,0.18898809523809523
1,46,88192,2.301925687228932,0.011029411764705883
1,45,88192,2.3147490554385715,0.13020833333333334
1,6,88192,2.3153264242060043,0.0
1,22,88192,2.290691398438953,0.03720238095238095
1,31,88192,2.345513661702474,0.0
1,25,88192,2.281436808904012,0.46875
1,5,88192,2.3284096717834473,0.0
1,42,88192,2.3174891074498496,0.010416666666666666
1,26,88192,2.2582699722713895,0.4513888888888889
1,30,88192,2.258714130946568,0.6205357142857143
1,44,88192,2.3018425040774875,0.0
1,23,88192,2.2992944547108243,0.002232142857142857
1,14,88192,2.2714992219751533,0.07954545454545454
1,11,88192,2.3021890123685202,0.2552083333333333
1,41,88192,2.2841799736022947,0.2265625
1,15,88192,2.278961365039532,0.4543269230769231
1,2,88192,2.3201463981108232,0.0014204545454545455
1,49,88192,2.3064362899116846,0.004076086956521739
1,33,88192,2.310111847188738,0.012152777777777778
2,34,88192,2.3193854331970214,0.0
2,31,88192,2.304217298825582,0.0
2,10,88192,0.7821605245272318,0.4479166666666667
2,44,88192,2.3388242456648083,0.0
2,15,88192,2.311350840788621,0.34375
2,25,88192,2.2963256359100344,0.0020833333333333333
2,45,88192,2.35383669535319,0.0
2,28,88192,2.256933440332827,0.2105978260869565
2,35,88192,2.359807856877645,0.14166666666666666
2,46,88192,2.3278249852797566,0.0
2,38,88192,2.333771194730486,0.0
2,17,88192,2.322555943539268,0.2944078947368421
2,22,88192,2.321125938778832,0.0
2,39,88192,2.3221209389822826,0.0
2,32,88192,2.2742505073547363,0.0
2,29,88192,2.2759923012025896,0.6118951612903226
2,36,88192,1.5506091659719294,0.5127840909090909
2,21,88192,2.2687858919943533,0.21673387096774194
2,33,88192,2.302284922864702,0.0008680555555555555
2,41,88192,2.358691209554672,0.0
2,7,88192,2.3175336599349974,0.0
2,26,88192,2.3781499332851834,0.0
2,43,88192,2.308895746866862,0.29375
2,5,88192,0.5987229560102735,0.7142857142857143
2,30,88192,2.287672962461199,0.0
2,42,88192,2.2845458984375,0.2708333333333333
2,8,88192,1.7917900295818554,0.2775735294117647
2,48,88192,1.618870500860543,0.4709051724137931
2,37,88192,2.33730857188885,0.09615384615384616
2,40,88192,2.3330639951369343,0.0
2,16,88192,2.1385603818026455,0.10795454545454546
2,19,88192,2.299843918892645,0.005040322580645161
2,24,88192,2.2983157851479272,0.0
2,9,88192,2.2882817935943605,0.38875
2,18,88192,2.278792204680266,0.2638888888888889
2,4,88192,1.809543447835105,0.19642857142857142
2,3,88192,1.541839341322581,0.3580729166666667
2,23,88192,1.24187137399401,0.015625
2,13,88192,2.3325506528218587,0.0010416666666666667
2,11,88192,2.287677870856391,0.3255208333333333
2,1,88192,2.31366304917769,0.002840909090909091
2,47,88192,1.3816567328241136,0.06076388888888889
2,20,88192,2.326190412044525,0.13671875
2,27,88192,2.297568674745231,0.19719827586206898
2,14,88192,2.374830115925182,0.0
2,0,88192,2.312617071469625,0.0
2,6,88192,2.277587049147662,0.5569852941176471
2,49,88192,2.2778984982034434,0.19701086956521738
2,12,88192,2.267218087400709,0.004464285714285714
2,2,88192,2.277764081954956,0.10085227272727272
3,34,88192,1.851568913459778,0.46875
3,26,88192,2.281372547149658,0.0
3,40,88192,2.3035391639260685,0.014705882352941176
3,30,88192,2.380040100642613,0.0
3,14,88192,2.3061135682192715,0.0
3,43,88192,2.268709405263265,0.15
3,37,88192,1.659234542113084,0.10817307692307693
3,20,88192,2.3230797350406647,0.0
3,39,88192,2.3779674144018266,0.0
3,27,88192,2.324307186850186,0.0
3,45,88192,2.297436979081896,0.0
3,10,88192,1.363193146387736,0.4395833333333333
3,17,88192,2.2983272828553853,0.001644736842105263
3,24,88192,2.318734949285334,0.0
3,22,88192,2.3112906955537342,0.21279761904761904
3,1,88192,2.312009399587458,0.0
3,32,88192,2.3124983677497277,0.0
3,36,88192,1.8334992798891934,0.28551136363636365
3,21,88192,2.2934357812327724,0.3528225806451613
