Round,Cid,Size of parameters,Loss,Accuracy
1,21,21000,2.271955966949463,0.109375
1,28,21000,2.3123987913131714,0.1875
1,9,21000,2.2999603748321533,0.15625
1,11,21000,2.3172789812088013,0.1875
1,7,21000,2.314225673675537,0.09375
1,0,21000,2.35284686088562,0.140625
1,13,21000,2.339481830596924,0.125
1,24,21000,2.286539077758789,0.015625
1,3,21000,2.2875856161117554,0.03125
1,5,21000,2.2983099222183228,0.09375
1,17,21000,2.307340979576111,0.171875
1,14,21000,2.275493025779724,0.03125
1,23,21000,2.3139361143112183,0.03125
1,29,21000,2.303731679916382,0.0
1,27,21000,2.281359076499939,0.0625
1,10,21000,2.29310142993927,0.03125
1,25,21000,2.2860063314437866,0.03125
1,19,21000,2.3059557676315308,0.09375
1,6,21000,2.3267054557800293,0.0
1,4,21000,2.2823550701141357,0.0
1,20,21000,2.2899760007858276,0.015625
1,16,21000,2.3021517992019653,0.0
1,22,21000,2.294227361679077,0.0625
1,26,21000,2.2898162603378296,0.09375
1,2,21000,2.278711199760437,0.046875
1,12,21000,2.279054045677185,0.0
1,8,21000,2.2907047271728516,0.0
1,18,21000,2.2808034420013428,0.171875
1,1,21000,2.3895628452301025,0.0
1,15,21000,2.301866888999939,0.125
2,5,21000,2.3006826639175415,0.171875
2,4,21000,2.30377197265625,0.0
2,11,21000,2.290614366531372,0.1875
2,16,21000,2.2786035537719727,0.03125
2,27,21000,2.2931185960769653,0.0
2,17,21000,2.268135666847229,0.140625
2,26,21000,2.3087435960769653,0.15625
2,21,21000,2.2926583290100098,0.0
2,29,21000,2.29460608959198,0.1875
2,14,21000,2.302680492401123,0.0
2,13,21000,2.314346432685852,0.234375
2,25,21000,2.3029284477233887,0.0
2,22,21000,2.3639044761657715,0.0
2,19,21000,2.2970848083496094,0.171875
2,7,21000,2.2368383407592773,0.21875
2,18,21000,2.30560564994812,0.0
2,24,21000,2.3057003021240234,0.0
2,6,21000,2.3113245964050293,0.21875
2,20,21000,2.350437641143799,0.0
2,3,21000,2.307807207107544,0.0
2,10,21000,2.328974723815918,0.15625
2,1,21000,2.322683572769165,0.09375
2,2,21000,2.2978893518447876,0.0
2,23,21000,2.334686279296875,0.125
2,0,21000,2.314887046813965,0.140625
2,8,21000,2.303395986557007,0.0
2,15,21000,2.3023927211761475,0.15625
2,28,21000,2.311515688896179,0.0
2,9,21000,2.2872726917266846,0.21875
2,12,21000,2.3006606101989746,0.0
3,12,21000,2.2953109741210938,0.0
3,25,21000,2.300549864768982,0.0
3,23,21000,2.3417612314224243,0.0
3,18,21000,2.29412305355072,0.015625
3,14,21000,2.2985938787460327,0.0
3,4,21000,2.2876391410827637,0.0
3,3,21000,2.305322289466858,0.0
3,11,21000,2.289644479751587,0.1875
3,24,21000,2.2992637157440186,0.0
3,1,21000,2.299513339996338,0.09375
3,6,21000,2.309300184249878,0.21875
3,15,21000,2.2925790548324585,0.171875
3,13,21000,2.335251569747925,0.0
3,8,21000,2.297466993331909,0.0
3,26,21000,2.3060462474823,0.125
3,9,21000,2.2870752811431885,0.1875
3,17,21000,2.2980483770370483,0.171875
3,27,21000,2.292950749397278,0.0
3,16,21000,2.288527250289917,0.0625
3,19,21000,2.2913793325424194,0.1875
3,10,21000,2.29310142993927,0.03125
3,20,21000,2.309141755104065,0.203125
3,22,21000,2.253815531730652,0.0625
3,29,21000,2.2854552268981934,0.1875
3,7,21000,2.277095317840576,0.21875
3,2,21000,2.2921881675720215,0.078125
3,5,21000,2.301106095314026,0.171875
3,0,21000,2.2618929147720337,0.296875
3,21,21000,2.290477991104126,0.0
3,28,21000,2.3022834062576294,0.109375
4,16,21000,2.297439694404602,0.0
4,7,21000,2.2787930965423584,0.21875
4,5,21000,2.3059524297714233,0.265625
4,28,21000,2.305440664291382,0.109375
4,8,21000,2.306875705718994,0.0
