Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,15,1,-1680915978.0437307,21000,2.2525334093305798,0.1423611111111111
1,12,1,-1680915981.0424924,21000,2.2895898520946503,0.04296875
1,4,1,-1680915981.8434763,21000,2.2961763654436385,0.008928571428571428
1,14,1,-1680915981.7859209,21000,2.290097236633301,0.0390625
1,2,1,-1680915981.7960267,21000,2.289448320865631,0.0546875
1,27,1,-1680915981.6110454,21000,2.291584677166409,0.024305555555555556
1,25,1,-1680915981.2762082,21000,2.2898745006985135,0.05555555555555555
1,8,1,-1680915981.607591,21000,2.2937361853463307,0.008928571428571428
1,3,1,-1680915981.5218298,21000,2.2957867554255893,0.026785714285714284
1,21,1,-1680915981.3829358,21000,2.289137601852417,0.02734375
1,18,1,-1680915981.5978382,21000,2.2815571361117892,0.1111111111111111
1,24,1,-1680915981.77313,21000,2.2912633657455443,0.05
2,19,1,-1680915981.8595285,21000,2.266054481267929,0.1796875
2,1,1,-1680915981.6068988,21000,2.3073718888419017,0.044642857142857144
2,21,1,-1680915981.539152,21000,2.260675758123398,0.20703125
2,11,1,-1680915981.785601,21000,2.2723555862903595,0.18359375
2,8,1,-1680915981.867073,21000,2.266893591199602,0.08035714285714286
2,5,1,-1680915981.296332,21000,2.298415571451187,0.00390625
2,26,1,-1680915982.0409453,21000,2.2443531354268393,0.3020833333333333
2,2,1,-1680915981.6108315,21000,2.26165771484375,0.16015625
2,6,1,-1680915982.0751958,21000,2.2805558272770474,0.07142857142857142
2,9,1,-1680915981.9673615,21000,2.2834833349500383,0.11607142857142858
2,27,1,-1680915982.1206758,21000,2.25963470670912,0.17708333333333334
2,29,1,-1680915981.5372198,21000,2.3012660874260797,0.020833333333333332
3,15,1,-1680915981.7189908,21000,2.3066480689578586,0.13541666666666666
3,17,1,-1680915981.4360616,21000,2.288065724902683,0.05555555555555555
3,7,1,-1680915981.9824817,21000,2.252439260482788,0.25
3,4,1,-1680915982.00487,21000,2.2959485394614085,0.026785714285714284
3,20,1,-1680915982.2403202,21000,2.288733196258545,0.1625
3,0,1,-1680915981.714305,21000,2.2539250254631042,0.2578125
3,28,1,-1680915982.195519,21000,2.228126972913742,0.265625
3,2,1,-1680915982.120069,21000,2.287783205509186,0.10546875
3,24,1,-1680915981.7217407,21000,2.291673254966736,0.028125
3,11,1,-1680915982.2477164,21000,2.274530202150345,0.1875
3,19,1,-1680915981.9921365,21000,2.273480087518692,0.19140625
3,18,1,-1680915981.4510112,21000,2.2845217651791043,0.11805555555555555
4,9,1,-1680915982.1007347,21000,2.2876159123011996,0.21428571428571427
4,3,1,-1680915981.5686064,21000,2.296790395464216,0.0
4,7,1,-1680915981.8453867,21000,2.301577568054199,0.16517857142857142
4,17,1,-1680915982.1897144,21000,2.2766273286607532,0.20833333333333334
4,0,1,-1680915981.8992307,21000,2.26842600107193,0.265625
4,25,1,-1680915982.074319,21000,2.289734575483534,0.1076388888888889
4,12,1,-1680915982.2507951,21000,2.2941286265850067,0.03515625
4,4,1,-1680915982.411572,21000,2.2908088820321217,0.0625
4,2,1,-1680915982.4673827,21000,2.2827188670635223,0.16796875
4,23,1,-1680915982.1062448,21000,2.3123471207088895,0.23958333333333334
4,22,1,-1680915982.3732255,21000,2.301569859186808,0.04513888888888889
4,15,1,-1680915982.3626509,21000,2.295010725657145,0.1388888888888889
5,20,1,-1680915982.2118957,21000,2.301071619987488,0.228125
5,11,1,-1680915982.451184,21000,2.2749756276607513,0.1875
5,7,1,-1680915982.5355039,21000,2.2992220606122697,0.16517857142857142
5,0,1,-1680915982.375317,21000,2.2642868161201477,0.26171875
5,23,1,-1680915982.5853212,21000,2.3263590335845947,0.13194444444444445
5,22,1,-1680915982.5084147,21000,2.3020649486117892,0.17708333333333334
5,16,1,-1680915982.2195265,21000,2.253520303302341,0.2534722222222222
5,19,1,-1680915982.3828216,21000,2.271602362394333,0.19921875
5,8,1,-1680915982.0812938,21000,2.293534960065569,0.08035714285714286
