Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,15,89592,232,2.34126694385822,0.1201923076923077
1,26,89592,232,2.0805889897876315,0.10069444444444445
1,30,89592,232,1.7723464965820312,0.13839285714285715
1,23,89592,232,1.68219427551542,0.47767857142857145
1,37,89592,232,2.273932456970215,0.0
1,42,89592,232,2.965108593304952,0.0
1,25,89592,232,2.15898167292277,0.08541666666666667
1,10,89592,232,2.644818735122681,0.0
1,5,89592,232,2.814522351537432,0.0
1,35,89592,232,1.575956137975057,0.80625
1,2,89592,232,2.383938496763056,0.3096590909090909
1,11,89592,232,2.1975367897086673,0.1449652777777778
1,28,89592,232,2.2855363306791885,0.3546195652173913
1,32,89592,232,2.950389210994427,0.0
1,41,89592,232,1.7009470999240874,0.47109375
1,46,89592,232,2.5183899683110855,0.26286764705882354
1,31,89592,232,2.8188708225886026,0.0
1,16,89592,232,3.2937991835854272,0.0
1,1,89592,232,1.8135704614899375,0.46448863636363635
1,0,89592,232,2.186078341801961,0.0
1,22,89592,232,2.0676640555972146,0.35119047619047616
1,18,89592,232,2.5736682768221253,0.1724537037037037
1,7,89592,232,1.655198097229004,0.509375
1,9,89592,232,2.149895067214966,0.0575
1,24,89592,232,2.7922947948629204,0.18323863636363635
1,38,89592,232,2.3528572831835066,0.41369047619047616
1,19,89592,232,2.345822826508553,0.03326612903225806
1,49,89592,232,2.6555667027183203,0.3070652173913043
1,12,89592,232,2.4038807153701782,0.34263392857142855
1,29,89592,232,2.656283570874122,0.0
1,20,89592,232,2.2357633858919144,0.0859375
1,14,89592,232,2.71307355707342,0.014204545454545454
1,3,89592,232,2.5770614246527352,0.3541666666666667
1,8,89592,232,2.2810586480533375,0.06433823529411764
1,40,89592,232,2.2914772033691406,0.12867647058823528
1,43,89592,232,2.380078125,0.00625
1,34,89592,232,2.9232481479644776,0.0
1,36,89592,232,1.598639195615595,0.6647727272727273
1,44,89592,232,1.709498405456543,0.4583333333333333
1,4,89592,232,2.6539063964571272,0.0
1,17,89592,232,2.4145915006336414,0.05098684210526316
1,48,89592,232,2.3725172404585213,0.08620689655172414
1,21,89592,232,2.7564627739690963,0.0
1,13,89592,232,2.22188180287679,0.06458333333333334
1,27,89592,232,2.652323032247609,0.15193965517241378
1,39,89592,232,2.1870388189951577,0.11011904761904762
1,45,89592,232,2.181482175985972,0.3645833333333333
1,47,89592,232,2.3332330650753446,0.0
1,6,89592,232,3.153224692625158,0.0
1,33,89592,232,2.339170409573449,0.2604166666666667
2,31,89592,240,1.571456213792165,0.7864583333333334
2,30,89592,240,1.2396821464811052,0.625
2,36,89592,240,1.0498752187598834,0.5170454545454546
2,35,89592,236,1.172856124242147,0.7666666666666667
2,29,89592,236,2.4288353612346034,0.0
2,14,89592,236,1.9124099232933738,0.0
2,10,89592,236,1.9352724313735963,0.008333333333333333
2,20,89592,236,2.058087185025215,0.01953125
2,47,89592,236,2.307472268740336,0.003472222222222222
2,42,89592,236,1.8525339563687642,0.013020833333333334
2,45,89592,236,1.5604147182570562,0.3628472222222222
2,17,89592,236,2.7132614411805807,0.0
2,22,89592,236,2.13230992498852,0.0
2,34,89592,236,1.8470044374465941,0.0
2,9,89592,236,2.1559503650665284,0.0075
2,26,89592,236,2.1065484947628446,0.003472222222222222
2,19,89592,236,2.4848793706586285,0.0
2,33,89592,236,1.8763319849967957,0.2595486111111111
2,48,89592,236,2.284522196342205,0.0010775862068965517
2,32,89592,236,1.851306874018449,0.019230769230769232
2,23,89592,236,2.2912000588008334,0.0
2,6,89592,240,1.7442963684306425,0.4724264705882353
2,16,89592,236,3.2187827933918345,0.0
2,44,89592,240,1.2346932225757175,0.7326388888888888
2,15,89592,236,2.6142151905940127,0.0
2,2,89592,236,1.5754525553096423,0.3224431818181818
2,1,89592,240,1.670542381026528,0.39204545454545453
2,37,89592,236,2.300148285352267,0.0
2,39,89592,236,2.0670620316550847,0.0
2,28,89592,240,1.4106862182202546,0.6372282608695652
2,38,89592,236,1.8445293676285517,0.4166666666666667
2,21,89592,236,2.5841059915481077,0.0
2,0,89592,236,2.531421589851379,0.0
2,18,89592,236,1.7245048152075872,0.1909722222222222
2,11,89592,236,2.397925522592333,0.0
2,49,89592,236,2.1355389045632402,0.3111413043478261
2,46,89592,236,2.1360099385766422,0.22242647058823528
2,8,89592,240,1.4855171301785637,0.6194852941176471
