Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,28,1,-1681830809.9625552,89592,1.2511069687704246,0.66796875
1,7,1,-1681830813.1742504,89592,1.2596372671425342,0.946875
1,16,1,-1681830812.8631756,89592,0.8399928277119612,0.9278846153846154
1,31,1,-1681830812.9437551,89592,1.6580288688341775,0.6364583333333333
1,6,1,-1681830812.5478585,89592,1.260234004726597,0.7953431372549019
1,1,1,-1681830812.0705917,89592,1.1348023716832552,0.6681338028169014
1,24,1,-1681830812.0846817,89592,0.7778063702514801,0.7482040229885057
1,8,1,-1681830812.0772448,89592,1.3005220923158858,0.5569444444444445
1,30,1,-1681830812.8812442,89592,1.0939470892367156,0.6596467391304348
1,13,1,-1681830812.3479738,89592,0.5125055806576342,0.9565217391304348
1,44,1,-1681830812.654711,89592,1.0579183893125566,0.6429303278688525
1,36,1,-1681830811.3236957,89592,1.1758041875994103,0.5384615384615384
1,4,1,-1681830811.6583679,89592,1.27301819078506,0.6016865079365079
1,41,1,-1681830811.4495788,89592,1.4016146863379129,0.44740853658536583
1,40,1,-1681830811.4182496,89592,0.7242382492757204,0.775094696969697
2,38,1,-1681830815.7124486,89592,0.7083372333470512,0.7582720588235294
2,48,1,-1681830815.2258942,89592,0.41151026684430336,0.8981854838709677
2,16,1,-1681830816.0600052,89592,0.3567103982353822,0.9302884615384616
2,10,1,-1681830818.5408616,89592,0.6082389711819846,0.7489224137931034
2,42,1,-1681830814.3145401,89592,0.4853974442281153,0.8240489130434783
2,27,1,-1681830818.0155995,89592,1.0580885719794493,0.5961538461538461
2,2,1,-1681830817.7780771,89592,0.47266932525511446,0.8615301724137931
2,13,1,-1681830815.7961087,89592,0.20801262220070846,0.9592391304347826
2,19,1,-1681830814.2338133,89592,0.7614009509603661,0.7202560240963856
2,37,1,-1681830814.3175058,89592,0.44422679300039586,0.8648767605633803
2,45,1,-1681830818.0046425,89592,0.4460947260440114,0.8335843373493976
2,23,1,-1681830817.6951067,89592,0.37185447350625067,0.8558467741935484
2,5,1,-1681830814.557896,89592,0.3097268966636781,0.8900862068965517
2,3,1,-1681830815.51033,89592,0.8096018816352984,0.7256307339449541
2,41,1,-1681830814.7446578,89592,0.952557640831645,0.6191565040650406
3,35,1,-1681830816.673529,89592,0.36139934873435553,0.8711890243902439
3,34,1,-1681830817.7107487,89592,0.6538377344608307,0.6708333333333333
3,16,1,-1681830817.710506,89592,0.29612589531984085,0.9286858974358975
3,38,1,-1681830819.6720455,89592,0.4277347882880884,0.8814338235294118
3,48,1,-1681830817.700463,89592,0.36029007622311193,0.8996975806451613
3,30,1,-1681830818.4728642,89592,0.5753983032444249,0.7588315217391305
3,15,1,-1681830819.8713014,89592,0.4929000463336706,0.84765625
3,0,1,-1681830819.388406,89592,0.31977940487062056,0.8913871951219512
3,44,1,-1681830815.5052602,89592,0.5230410802559774,0.7925204918032787
3,37,1,-1681830820.1869786,89592,0.24997456272093344,0.9286971830985915
3,8,1,-1681830819.2850182,89592,0.7988010413116879,0.6927083333333334
3,4,1,-1681830814.529656,89592,0.5500155155147824,0.810515873015873
3,23,1,-1681830818.0190198,89592,0.26078352356149304,0.9049899193548387
3,40,1,-1681830818.0436928,89592,0.23550326114689762,0.9318181818181818
3,43,1,-1681830815.1754174,89592,0.4528892776977859,0.8357319078947368
4,35,1,-1681830820.287687,89592,0.38007597061919,0.8620426829268293
