Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,25,89592,232,2.360669821500778,0.0
1,30,89592,232,1.9092345386743546,0.484375
1,15,89592,232,2.284263904278095,0.02403846153846154
1,18,89592,232,2.4393681406974794,0.075
1,23,89592,232,2.92781396706899,0.0
1,31,89592,232,3.0043774518099697,0.050189393939393936
1,32,89592,232,2.6248059822962833,0.06009615384615385
1,2,89592,232,2.9064304079328265,0.0008928571428571428
1,11,89592,232,1.9505678461148188,0.11658653846153846
1,26,89592,232,2.7142975396580167,0.2907986111111111
1,29,89592,232,2.2089664936065674,0.0
1,27,89592,232,3.0166512012481688,0.0
1,22,89592,232,2.99407844543457,0.0
1,33,89592,232,2.751939233144124,0.2375
1,3,89592,232,2.511848631359282,0.020833333333333332
1,14,89592,232,2.1319282584720187,0.1996527777777778
1,13,89592,232,2.928842465082804,0.0
1,4,89592,232,2.724943220615387,0.08854166666666667
1,8,89592,232,2.242095105788287,0.06893382352941177
1,10,89592,232,2.964801400899887,0.08203125
1,7,89592,232,2.031617697079976,0.06875
1,17,89592,232,2.4201691448688507,0.00390625
1,21,89592,232,2.7891562581062317,0.0390625
1,20,89592,232,2.034300148487091,0.0859375
1,16,89592,232,3.0315821170806885,0.0
1,19,89592,232,3.7783198129563105,0.0
1,34,89592,232,2.76381901177493,0.1690340909090909
1,12,89592,232,2.5000333468119305,0.1
1,1,89592,232,2.134446382522583,0.4457236842105263
1,0,89592,232,2.0366487304369607,0.08333333333333333
1,28,89592,232,2.5395047022746158,0.046875
1,24,89592,232,2.0908013922827586,0.16071428571428573
1,5,89592,232,2.67295690625906,0.015625
1,9,89592,232,2.2682226830058627,0.4375
1,6,89592,232,2.517162355883368,0.17349137931034483
2,29,89592,236,3.347301403681437,0.0
2,22,89592,236,2.9946195125579833,0.0
2,25,89592,236,1.4031915962696075,0.9453125
2,17,89592,236,3.16155007481575,0.0
2,16,89592,240,1.4531562626361847,0.8828125
2,19,89592,236,2.7357526279631115,0.0
2,30,89592,240,1.9774646237492561,0.513671875
2,15,89592,240,1.3882023004385142,0.8605769230769231
2,7,89592,240,2.4954543749491376,0.010416666666666666
2,28,89592,236,3.170549411040086,0.0
2,32,89592,236,2.1144459751936107,0.16105769230769232
2,34,89592,236,2.3877659927714956,0.11647727272727272
2,10,89592,236,2.6825358495116234,0.09375
2,33,89592,236,1.882512887318929,0.03333333333333333
2,31,89592,236,2.6450733777248496,0.17708333333333334
2,8,89592,240,2.3812035392312443,0.23805147058823528
2,26,89592,236,2.267378330230713,0.008680555555555556
2,21,89592,236,2.475699758529663,0.3015625
2,9,89592,236,2.434224843978882,0.0008680555555555555
2,5,89592,236,2.8782575204968452,0.0048828125
2,13,89592,236,2.5495600965287952,0.012152777777777778
2,18,89592,236,2.578119122982025,0.009375
2,12,89592,240,1.6046186685562134,0.375
2,23,89592,236,3.0765872399012246,0.0
2,24,89592,240,1.7044667175837926,0.3325892857142857
2,4,89592,240,2.450298468271891,0.046875
2,0,89592,236,1.8443278272946675,0.015625
2,27,89592,236,3.06528369585673,0.0
2,20,89592,240,1.2989877760410309,0.79296875
2,3,89592,236,1.9065324862798054,0.20833333333333334
2,14,89592,240,2.155034859975179,0.2881944444444444
2,1,89592,236,2.436176525919061,0.004934210526315789
2,11,89592,236,2.9568424775050235,0.0
2,6,89592,236,2.677095528306632,0.125
2,2,89592,236,2.347176824297224,0.23660714285714285
3,4,89592,240,1.3951750695705414,0.4036458333333333
3,17,89592,236,1.8676703423261642,0.2109375
3,13,89592,236,2.4501419994566174,0.052083333333333336
3,20,89592,236,2.7369563281536102,0.0
3,21,89592,240,1.5844732522964478,0.3609375
3,25,89592,240,1.880808100104332,0.28125
3,34,89592,236,1.9143175699494102,0.3991477272727273
3,7,89592,240,1.5068759361902873,0.4791666666666667
3,27,89592,236,3.010641590754191,0.0
3,1,89592,236,2.428873526422601,0.008223684210526315
3,30,89592,236,2.537408694624901,0.0
3,18,89592,236,1.798371136188507,0.01875
3,15,89592,236,2.9203369800861063,0.0
3,0,89592,236,2.7928232153256736,0.0
3,11,89592,236,2.2455954551696777,0.0
3,10,89592,236,1.5777230970561504,0.505859375
3,32,89592,240,1.7883750246121333,0.5216346153846154
3,31,89592,240,1.8682188662615689,0.26420454545454547
3,6,89592,236,2.646184403320839,0.0
3,2,89592,236,2.3078953061785015,0.12589285714285714
3,29,89592,236,2.8130135536193848,0.0
3,9,89592,240,2.089401493469874,0.17447916666666666
3,16,89592,240,1.1620618551969528,0.88671875
3,19,89592,236,1.1283516600018455,0.9077380952380952
3,23,89592,236,2.287694195906321,0.3880208333333333
3,28,89592,236,2.5415831070679884,0.0
3,22,89592,236,1.5365079402923585,0.49375
3,26,89592,240,2.05456186665429,0.12586805555555555
3,33,89592,240,1.5932888348897298,0.7
3,12,89592,240,1.6445516665776572,0.5625
3,3,89592,240,2.2142753146943592,0.07738095238095238
3,5,89592,240,1.878668911755085,0.2861328125
3,14,89592,240,2.0356991953319974,0.2465277777777778
3,8,89592,236,2.0361032976823696,0.017463235294117647
3,24,89592,240,2.0641195433480397,0.04799107142857143
4,17,89592,236,1.2510728389024734,0.90625
4,4,89592,236,1.9561275740464528,0.4010416666666667
4,29,89592,236,3.0382344722747803,0.25
4,16,89592,240,1.8986970037221909,0.1484375
4,12,89592,236,2.7695427099863688,0.016666666666666666
4,23,89592,240,2.0282618006070456,0.3671875
4,21,89592,240,1.5229175686836243,0.4828125
4,14,89592,240,1.9190784096717834,0.2482638888888889
4,19,89592,236,1.3140580597377958,0.6964285714285714
4,13,89592,236,3.351972222328186,0.020833333333333332
4,30,89592,240,1.586078442633152,0.46875
4,5,89592,240,1.6046641804277897,0.4287109375
4,34,89592,236,1.7474338845773176,0.2755681818181818
4,11,89592,236,1.5031888393255382,0.59375
4,33,89592,240,1.9843203941980998,0.06458333333333334
4,28,89592,236,2.44499685214116,0.20072115384615385
4,26,89592,240,1.871874021159278,0.3446180555555556
4,8,89592,240,2.1033511933158424,0.2270220588235294
4,9,89592,240,1.6472808652453952,0.3142361111111111
4,2,89592,236,2.1353342022214616,0.2785714285714286
4,10,89592,236,1.9036694429814816,0.345703125
4,25,89592,236,2.1141214668750763,0.0
4,7,89592,240,1.5527706225713094,0.39375
4,20,89592,240,1.5904912054538727,0.390625
4,6,89592,236,1.8995434333538186,0.3448275862068966
4,27,89592,236,2.5739517052968344,0.11875
4,18,89592,240,1.8971024334430695,0.321875
4,22,89592,236,1.2569220304489135,0.825
4,0,89592,236,2.4188204407691956,0.005208333333333333
4,24,89592,240,1.650752604007721,0.4765625
4,3,89592,240,1.5883897259121849,0.36755952380952384
4,1,89592,236,2.521801935999017,0.2565789473684211
4,15,89592,236,2.5422371167403,0.0
4,32,89592,240,1.9978609681129456,0.26322115384615385
4,31,89592,240,1.7292857495221226,0.4034090909090909
5,0,89592,240,1.7917008300622304,0.24739583333333334
5,25,89592,240,1.143681988120079,0.90234375
5,16,89592,236,1.9474724382162094,0.1796875
5,22,89592,236,2.8284131050109864,0.05
5,4,89592,240,2.0761285424232483,0.3932291666666667
5,20,89592,236,2.097330793738365,0.19140625
5,23,89592,240,1.7496422827243805,0.484375
5,11,89592,236,1.6989856178943927,0.31490384615384615
5,30,89592,240,1.347415566444397,0.513671875
5,12,89592,240,1.5383270740509034,0.5145833333333333
5,1,89592,236,2.1614188771498832,0.0805921052631579
5,33,89592,240,1.2728405872980753,0.6916666666666667
5,3,89592,236,2.3696401232764837,0.14732142857142858
5,19,89592,240,2.3371682507651195,0.07886904761904762
5,18,89592,240,0.7585751503705979,0.7859375
5,14,89592,240,1.7639876868989732,0.2795138888888889
5,5,89592,236,2.1912775970995426,0.1025390625
5,6,89592,240,2.031412194515097,0.2704741379310345
5,32,89592,236,1.8623953048999493,0.39783653846153844
5,26,89592,240,1.6873041954305437,0.4053819444444444
5,21,89592,240,1.5217954158782958,0.471875
5,7,89592,236,2.148119242986043,0.0625
5,24,89592,236,1.7588405736855097,0.43191964285714285
5,17,89592,236,2.2834141850471497,0.046875
5,15,89592,240,1.8840164404649,0.4855769230769231
5,34,89592,240,2.0011830600825222,0.4588068181818182
5,28,89592,240,1.8966688880553613,0.39302884615384615
5,29,89592,236,2.6379889647165933,0.010416666666666666
5,31,89592,240,1.7936510136633208,0.32670454545454547
5,2,89592,240,1.9474199431283132,0.3107142857142857
5,27,89592,236,2.940057357152303,0.010416666666666666
5,13,89592,236,2.478475915061103,0.1284722222222222
5,9,89592,240,1.7252117262946234,0.3385416666666667
5,8,89592,240,1.486747377059039,0.5009191176470589
5,10,89592,236,2.6967578753829002,0.1611328125
6,12,89592,240,1.4958377599716186,0.4895833333333333
6,17,89592,236,2.2577980160713196,0.0
6,0,89592,236,2.338643193244934,0.0
6,20,89592,240,1.576785832643509,0.671875
6,25,89592,240,1.0242465361952782,0.8671875
6,19,89592,240,1.0843477163996016,0.7916666666666666
6,14,89592,240,1.784613099363115,0.3211805555555556
6,30,89592,240,1.2746056616306305,0.533203125
6,33,89592,240,1.2357834815979003,0.68125
6,7,89592,240,1.8018816868464151,0.5270833333333333
