Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,16,1,-1681918420.3148227,89592,1.2239724857111771,0.5677083333333334
1,1,1,-1681918413.138412,89592,1.5021704296586376,0.310515873015873
1,41,1,-1681918418.9879687,89592,0.9215427520631374,0.6889367816091954
1,4,1,-1681918419.2141438,89592,1.5584379313867303,0.41139240506329117
1,30,1,-1681918419.4929373,89592,1.0117003399133682,0.5015625
1,13,1,-1681918418.1618223,89592,1.504963326293069,0.34607263513513514
1,31,1,-1681918418.018812,89592,1.3088027944842588,0.6107402912621359
1,40,1,-1681918417.6243029,89592,1.4262641600200108,0.35232142857142856
1,7,1,-1681918418.3700504,89592,0.9239459006519585,0.7355769230769231
1,8,1,-1681918417.2498457,89592,1.2818488548063252,0.4186643835616438
1,28,1,-1681918417.4633007,89592,1.4788965391807067,0.37560096153846156
1,6,1,-1681918417.1473675,89592,1.6000739261894028,0.30408031088082904
1,24,1,-1681918415.351819,89592,1.619522389275076,0.29260089686098656
1,36,1,-1681918416.4957957,89592,0.9735868132760372,0.676878078817734
1,44,1,-1681918416.0503976,89592,1.5798681424029413,0.37008568548387094
2,16,1,-1681918424.0776796,89592,0.765373152991136,0.603515625
2,27,1,-1681918431.541286,89592,1.0971616162194147,0.4322916666666667
2,39,1,-1681918424.9169753,89592,1.3389318225284417,0.4182942708333333
2,5,1,-1681918430.4335644,89592,1.2791056323421093,0.45058139534883723
2,23,1,-1681918430.6755648,89592,0.7588450485660184,0.5813172043010753
2,25,1,-1681918424.7609708,89592,0.8161280098951088,0.5144457547169812
2,13,1,-1681918421.537295,89592,1.3524964757867761,0.34142736486486486
2,45,1,-1681918423.4877677,89592,1.1361430784066517,0.46046401515151514
2,10,1,-1681918421.281431,89592,1.2127659926289007,0.5243421052631579
2,48,1,-1681918428.8277633,89592,0.7744022001420832,0.710621387283237
2,2,1,-1681918429.449519,89592,1.4971303410828114,0.376953125
2,3,1,-1681918422.2474248,89592,1.112626455858082,0.5267589820359282
2,19,1,-1681918421.6672633,89592,0.6219742656710313,0.6933489304812834
3,38,1,-1681918433.789137,89592,1.1449534974846185,0.47058823529411764
3,12,1,-1681918426.276432,89592,0.9424893707036972,0.6510416666666666
3,4,1,-1681918429.408279,89592,1.2672161165672013,0.46677215189873417
3,0,1,-1681918430.7404764,89592,0.481237908262153,0.8699127906976745
3,16,1,-1681918428.045069,89592,0.7932540016869704,0.6015625
3,15,1,-1681918433.23557,89592,0.9108759656785026,0.6798115079365079
3,30,1,-1681918430.817999,89592,0.8008376652002335,0.511875
3,23,1,-1681918435.3709104,89592,0.740900404350732,0.5961021505376344
3,47,1,-1681918426.8216116,89592,1.179399221453048,0.4136450381679389
3,8,1,-1681918431.3035703,89592,1.1176262436664268,0.4477739726027397
3,14,1,-1681918426.5929937,89592,1.4110554778386677,0.36689814814814814
3,34,1,-1681918428.3832695,89592,0.9510840543763555,0.7137748756218906
4,17,1,-1681918430.879971,89592,0.7072978705167771,0.784375
4,42,1,-1681918432.760535,89592,0.6199506589999566,0.8427884615384615
4,4,1,-1681918433.5970142,89592,1.2421619771402093,0.4754746835443038
4,30,1,-1681918429.211056,89592,0.7769565987586975,0.5228125
4,29,1,-1681918436.3739576,89592,0.4270751046548997,0.8459821428571429
4,25,1,-1681918434.077331,89592,0.7970524390913406,0.5176886792452831
4,15,1,-1681918432.2423549,89592,0.893529526771061,0.6753472222222222
4,5,1,-1681918436.9222264,89592,1.2643765941146732,0.4646317829457364
4,6,1,-1681918440.435671,89592,1.3939618069890867,0.38876295336787564
4,19,1,-1681918430.3099482,89592,0.5573671989262423,0.7473262032085561
4,9,1,-1681918434.6674192,89592,1.2735810144511974,0.4870169082125604
4,1,1,-1681918436.0497317,89592,1.2860395599294592,0.39533730158730157
5,16,1,-1681918433.8712914,89592,0.7935734192530314,0.6438802083333334
5,29,1,-1681918439.524857,89592,0.4143662662910564,0.8610491071428571
5,22,1,-1681918453.620532,89592,0.5624801689578641,0.8004032258064516
5,37,1,-1681918437.033299,89592,0.9652826488018036,0.5703125
5,49,1,-1681918431.9578388,89592,0.794823462007851,0.6401076158940397
5,15,1,-1681918437.2632365,89592,0.8707034817290684,0.6812996031746031
5,11,1,-1681918433.6406443,89592,1.0161316652986454,0.5339237967914439
5,1,1,-1681918435.1087732,89592,1.2118605883033187,0.435515873015873
5,3,1,-1681918448.1620212,89592,1.1028059492568056,0.5241392215568862
5,33,1,-1681918435.13989,89592,1.2857616848723834,0.44665697674418603
5,10,1,-1681918436.5642495,89592,1.120365567270078,0.5539473684210526
5,32,1,-1681918442.4454741,89592,1.0907877569502973,0.5228723404255319
6,0,1,-1681918445.0671992,89592,0.3783272383517997,0.8771802325581395
6,21,1,-1681918450.0421314,89592,0.7666099657615025,0.6973958333333333
6,43,1,-1681918436.289628,89592,0.0517328295779104,0.9824561403508771
6,16,1,-1681918443.8482924,89592,0.7314096769938866,0.6744791666666666
6,15,1,-1681918444.6974974,89592,0.8549832767910428,0.6810515873015873
6,5,1,-1681918446.0715227,89592,1.1882417756457662,0.4876453488372093
6,31,1,-1681918442.2152307,89592,0.9808395551246347,0.6162014563106796
6,2,1,-1681918444.8798177,89592,1.357000932842493,0.49765625
6,18,1,-1681918437.9763308,89592,0.5253594750943391,0.7817595108695652
6,9,1,-1681918449.0632858,89592,1.1776588801024617,0.5259661835748792
6,24,1,-1681918435.300114,89592,1.2897717476960255,0.46678811659192826
7,16,1,-1681918453.3107123,89592,0.7350571391483148,0.666015625
7,25,1,-1681918447.7547786,89592,0.7671592376142178,0.527122641509434
7,31,1,-1681918448.53368,89592,0.9442861410020624,0.629247572815534
7,4,1,-1681918446.2509308,89592,1.0600650129438955,0.5763449367088608
7,20,1,-1681918444.8563614,89592,0.6623148228345292,0.7029494382022472
7,3,1,-1681918446.465509,89592,1.0621593212653062,0.5398577844311377
7,18,1,-1681918437.279769,89592,0.4914463070099768,0.7892323369565217
7,11,1,-1681918438.921545,89592,0.9520177398135955,0.5741978609625669
7,1,1,-1681918463.1887152,89592,1.1387028511239108,0.4816468253968254
7,6,1,-1681918442.7058372,89592,1.3016375605924142,0.4488341968911917
7,9,1,-1681918459.1509788,89592,1.1258781791309227,0.5502717391304348
8,16,1,-1681918452.8318815,89592,0.7204903805007538,0.68359375
8,12,1,-1681918462.7539866,89592,0.793252154191335,0.6796875
8,4,1,-1681918456.344853,89592,1.0395527300955374,0.5921677215189873
8,23,1,-1681918447.7559226,89592,0.7439924959213503,0.6182795698924731
8,31,1,-1681918457.592489,89592,0.9365041973521409,0.6307645631067961
8,25,1,-1681918461.5249777,89592,0.7641366939499693,0.53125
8,7,1,-1681918455.2983463,89592,0.6775345435509315,0.7541520979020979
8,8,1,-1681918444.5409255,89592,0.9622617890573528,0.578125
8,2,1,-1681918447.883751,89592,1.32248295545578,0.50390625
8,14,1,-1681918466.847267,89592,1.2449048773321525,0.4705687830687831
8,24,1,-1681918437.5685308,89592,1.2091519380898754,0.5067264573991032
9,17,1,-1681918466.2201273,89592,0.6218817204236984,0.784375
