Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,0,1276408,548,2.333042,0.284539
1,18,0,452,1.723268,0.33125
1,17,1276408,548,2.493763,0.103516
1,13,1276408,548,2.290211,0.286184
1,12,1276408,548,2.35625,0.15125
1,8,1276408,548,2.372189,0.090278
1,1,1276408,548,2.505548,0.009868
1,4,0,452,1.658059,0.410156
1,14,1276408,548,2.294822,0.289062
1,15,1276408,548,2.539134,0.015625
1,19,1276408,548,2.522544,0.09375
1,6,1276408,548,2.404522,0.190104
1,7,1276408,548,2.341207,0.078125
1,5,1276408,548,2.270928,0.291667
1,11,1276408,548,2.478372,0.021875
1,9,1276408,548,2.50678,0.085526
1,10,1276408,548,2.504088,0.103125
1,2,1276408,548,2.450896,0.09375
1,16,1276408,548,2.395669,0.05787
1,3,1276408,548,2.308745,0.248438
2,6,1276408,552,2.231643,0.143229
2,2,0,456,1.951053,0.331845
2,14,1276408,552,2.424375,0.125
2,15,1276408,552,2.084399,0.151042
2,5,1276408,552,2.329961,0.085417
2,19,1276408,552,2.305888,0.082031
2,0,1276408,552,2.395875,0.046053
2,9,1276408,552,2.248149,0.169408
2,10,1276408,552,2.431028,0.051562
2,1,0,456,1.408484,0.46875
2,11,1276408,552,2.103101,0.20625
2,3,1276408,552,2.524399,0.067187
2,13,1276408,552,2.375391,0.049342
2,17,1276408,552,2.135296,0.224609
2,18,1275008,532,1.795267,0.33125
2,4,1275008,532,1.720099,0.402344
2,8,1276408,552,2.181274,0.180556
2,7,1276408,552,2.350412,0.173295
2,12,1276408,552,2.311073,0.04875
2,16,1276408,552,1.92838,0.37963
3,19,1276408,552,2.65457,0.101562
3,14,1276408,552,2.409247,0.260417
3,7,0,456,1.504904,0.5
3,11,1276408,552,2.475117,0.214062
3,13,1276408,552,2.217689,0.271382
3,3,1276408,552,2.100591,0.159375
3,10,1276408,552,2.366613,0.207813
3,15,1276408,552,2.879067,0.065104
3,8,1276408,552,2.4073,0.180556
3,1,1275008,532,1.462287,0.465461
3,18,0,456,1.599492,0.40625
3,12,1276408,552,2.324236,0.135
3,6,1276408,552,2.538281,0.171875
3,5,1276408,552,2.320861,0.264583
3,9,1276408,552,2.538252,0.134868
3,17,1276408,552,2.762892,0.09375
3,16,1276408,552,2.698809,0.175926
3,0,1276408,552,2.104857,0.129934
3,2,1275008,532,1.909643,0.342262
3,4,1203328,516,1.797312,0.407552
