Server round,Layer,Similarity
1,0,"{'mean': 0.9994227303185166, 'ci': array([0.00020717])}"
1,1,"{'mean': 0.9025346704310884, 'ci': 0.04506905536369821}"
1,2,"{'mean': 0.9998289529119074, 'ci': array([6.24266266e-05])}"
1,3,"{'mean': 0.8987560914299948, 'ci': 0.018172132167924904}"
1,4,"{'mean': 0.9989922763857868, 'ci': 8.468868037303512e-05}"
1,5,"{'mean': 0.9234624705892915, 'ci': 0.022635441551602242}"
1,6,"{'mean': 0.9421771000900364, 'ci': 0.01922992680426372}"
1,7,"{'mean': 0.48815869919126365, 'ci': 0.06242466648050804}"
2,0,"{'mean': 0.9992173979444965, 'ci': array([0.00022106])}"
2,1,"{'mean': 0.9856599115362581, 'ci': 0.0070403654152332296}"
2,2,"{'mean': 0.999822349645637, 'ci': array([4.61223188e-05])}"
2,3,"{'mean': 0.914541536868945, 'ci': 0.0002687148179383314}"
2,4,"{'mean': 0.9984434638870501, 'ci': 0.0005762134234846839}"
2,5,"{'mean': 0.8493580720401958, 'ci': 0.02254186439848338}"
2,6,"{'mean': 0.9527014211033005, 'ci': 0.0383280914060955}"
2,7,"{'mean': 0.26467456387206717, 'ci': 0.12305128535831467}"
3,0,"{'mean': 0.9995451257929745, 'ci': array([9.55652541e-05])}"
3,1,"{'mean': 0.9939607287128336, 'ci': 0.003812961700628281}"
3,2,"{'mean': 0.9999879718614532, 'ci': array([2.56261922e-06])}"
3,3,"{'mean': 0.9650838501670588, 'ci': 0.018708052820451626}"
3,4,"{'mean': 0.9989956689992282, 'ci': 0.00017748949446350082}"
3,5,"{'mean': 0.93072860956032, 'ci': 0.012690422129072232}"
3,6,"{'mean': 0.9698668888808617, 'ci': 0.007764490023796089}"
3,7,"{'mean': 0.6164661036116161, 'ci': 0.024525784349004986}"
