Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.7379234384442718,0
1,0.04120082815734989,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.6692271710274428,0
2,0.8058054503367004,1
2,0.004048959994683679,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.7718381470079839,0
3,0.6274976325757575,1
3,0.8227719907407407,2
3,0.11452528990563529,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.7288168139730641,0
4,0.75606556788622,1
4,0.547337962962963,2
4,0.8203125,3
4,0.03275518341307815,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.6751280263061584,0
5,0.7129313973063973,1
5,0.6969810788170163,2
5,0.478125,3
5,0,4
5,0.05539772727272727,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.6958523030788656,0
6,0.7143888650521231,1
6,0.7423611111111111,2
6,0.7358875210437711,3
6,0.53125,4
6,0,5
6,0.125,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.7846409545011518,0
7,0.6841082094988346,1
7,0.6752147957454021,2
7,0.7691358024691358,3
7,0.6903211805555556,4
7,0.546875,5
7,0,6
7,0.10286458333333333,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.8369406861254687,0
8,0.7882644288277512,1
8,0.6278803661616162,2
8,0.5934758771929824,3
8,0.7677083333333333,4
8,0.6851128472222222,5
8,0.53125,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.8218761782946745,0
9,0.8248781383547008,1
9,0.7071022727272727,2
9,0.5265151515151515,3
9,0.6018366228070176,4
9,0.768287037037037,5
9,0.421875,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.7420770770003227,0
10,0.8210556653491435,1
10,0.8192997685185185,2
10,0.8110795454545454,3
10,0,4
10,0.6246801900584795,5
10,0.7140625,6
10,0.4270833333333333,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.8080319260417944,0
11,0.6879310650363282,1
11,0.7523371881175889,2
11,0.7243923611111112,3
11,0.5681818181818182,4
11,0,5
11,0.6788194444444444,6
11,0.7109375,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.7861263792819498,0
12,0.7892010949576739,1
12,0.729812032052986,2
12,0.5234375,3
12,0.73828125,4
12,0.625,5
12,0,6
12,0,7
12,0.7125,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.7918691437400319,0
13,0.7548780948067634,1
13,0.8052804423281396,2
13,0.7266571969696969,3
13,0,4
13,0.7048611111111112,5
13,0.7130681818181818,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.8293507828013036,0
14,0.7467105263157895,1
14,0.770871074879227,2
14,0.7543916758040936,3
14,0.6291193181818182,4
14,0,5
14,0.6979166666666666,6
14,0.6164772727272727,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.7734217171717171,0
15,0.8578497312872312,1
15,0.8333881578947369,2
15,0.7299592391304348,3
15,0.7000653464469254,4
15,0,5
15,0,6
15,0.71875,7
15,0.7272727272727273,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.8113889028106467,0
16,0.7616214225589225,1
16,0.8567313762626263,2
16,0,3
16,0,4
16,0.7090975544922914,5
16,0,6
16,0,7
16,0.7378472222222222,8
16,0.6960227272727273,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.795810104525422,0
17,0.7774142331433996,1
17,0.7862121212121213,2
17,0.8606376262626263,3
17,0,4
17,0,5
17,0.625,6
17,0,7
17,0,8
17,0.7274305555555556,9
17,0.7073863636363636,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.7949992715617715,0
18,0.803239542883064,1
18,0.6328125,2
18,0.7548690025252526,3
18,0.8384232954545454,4
18,0,5
18,0,6
18,0.6134868421052632,7
18,0,8
18,0,9
18,0.7361111111111112,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.7717384852801521,0
19,0.796194365530303,1
19,0.8158082108268034,2
19,0,3
19,0.6676136363636364,4
19,0.837890625,5
19,0,6
19,0,7
19,0.6118421052631579,8
19,0,9
19,0,10
19,0.7256944444444444,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.7691860006313131,0
20,0.765244391025641,1
20,0.916015625,2
20,0.8205647652150798,3
20,0,4
20,0,5
20,0,6
20,0,7
20,0,8
20,0.6480263157894737,9
20,0,10
20,0,11
20,0.7482638888888888,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
