Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,17,3514152,548,2.439101,0.0
1,6,3514152,548,2.993628,0.0
1,19,3514152,548,2.408684,0.0
1,0,3514152,548,2.652164,0.0
1,11,3514152,548,1.986383,0.543478
1,12,3514152,548,2.881589,0.020833
1,16,3514152,548,2.953808,0.0
1,4,3514152,492,0.48559,0.822443
1,1,3514152,548,2.243768,0.0
1,13,3514152,548,2.679813,0.0
1,3,3514152,492,0.552421,0.825231
1,14,3514152,548,2.413704,0.0
1,15,3514152,548,2.58281,0.0
1,7,3514152,492,0.654773,0.783854
1,5,3514152,548,2.507144,0.007812
1,10,3514152,548,2.799848,0.0
1,8,3514152,492,0.705358,0.820312
1,18,3514152,492,0.986583,0.365385
1,9,3514152,548,2.839086,0.004687
1,2,3514152,492,0.536776,0.798295
2,5,3514152,496,1.288375,0.539062
2,9,3514152,552,2.237175,0.004687
2,16,3514152,496,0.956984,0.670139
2,15,3514152,552,2.542565,0.0
2,11,3514152,496,0.544232,0.73913
2,18,3514152,496,0.706961,0.663462
2,10,3514152,552,2.301216,0.0
2,19,3514152,552,2.420557,0.0
2,1,3514152,496,1.144937,0.517188
2,14,3514152,552,2.80773,0.0
2,6,3514152,552,2.772346,0.0
2,17,3514152,552,2.376566,0.003472
2,7,3514152,500,1.219179,0.757812
2,13,3514152,552,2.275027,0.0
2,2,3514152,496,0.514854,0.801136
2,12,3514152,552,2.602887,0.022569
2,8,3514152,500,1.018098,0.820312
2,4,3514152,500,0.793416,0.821023
2,0,3514152,552,2.368039,0.000947
2,3,3514152,500,1.118247,0.825231
3,19,3514152,552,2.312395,0.0
3,13,3514152,552,2.243845,0.199013
3,15,3514152,552,2.024079,0.46875
3,5,3514152,500,1.777927,0.5
3,10,3514152,552,2.636633,0.0
3,2,3514152,500,0.981471,0.801136
3,12,3514152,552,2.548969,0.109375
3,9,3514152,552,2.704236,0.001563
3,6,3514152,552,2.715158,0.0
3,18,3514152,496,0.648306,0.694712
3,0,3514152,552,2.303503,0.119318
3,1,3514152,500,1.540531,0.503125
3,7,3514152,496,0.577065,0.835938
3,8,3514152,500,1.727224,0.820312
3,11,3514152,496,0.437827,0.828804
3,16,3514152,500,1.233806,0.670139
3,4,3514152,496,0.477933,0.821023
3,17,3514152,496,1.574232,0.442708
3,3,3514152,500,1.662954,0.825231
3,14,3514152,496,0.201593,0.953125
4,10,3514152,552,2.330146,0.102273
4,5,3514152,500,2.047017,0.53125
4,8,3514152,500,1.913682,0.820312
4,19,3514152,552,2.512116,0.037829
4,18,3514152,500,1.22872,0.612981
4,11,3514152,500,0.841379,0.819293
4,6,3514152,552,2.61198,0.0
4,0,3514152,552,2.331179,0.0
4,9,3514152,496,0.943314,0.754687
4,12,3514152,496,1.166616,0.619792
4,2,3514152,496,0.418834,0.821023
4,13,3514152,552,2.227209,0.0
4,16,3514152,500,1.705566,0.678819
4,17,3514152,500,1.685506,0.458333
4,4,3514152,500,0.799903,0.825284
4,15,3514152,496,1.234998,0.471354
4,7,3514152,496,0.581919,0.84375
4,1,3514152,500,1.884335,0.454688
4,14,3514152,500,0.555836,0.951823
4,3,3514152,496,0.514116,0.826389
5,2,3514152,500,0.820033,0.821023
5,10,3514152,552,2.286183,0.110795
5,5,3514152,500,2.13653,0.523438
5,7,3514152,500,1.26907,0.796875
5,15,3514152,500,1.586525,0.476562
5,1,3514152,500,2.062429,0.457813
5,19,3514152,496,1.089299,0.3125
5,12,3514152,500,1.364761,0.623264
5,6,3514152,552,2.944773,0.0
5,16,3514152,496,0.896062,0.678819
5,8,3514152,496,0.591009,0.820312
5,11,3514152,496,0.439408,0.826087
5,4,3514152,500,1.516079,0.825284
5,18,3514152,500,1.765327,0.588942
5,17,3514152,500,2.01216,0.420139
5,9,3514152,500,1.318839,0.720313
5,14,3514152,500,1.216504,0.951823
5,3,3514152,500,1.020342,0.822917
5,13,3514152,496,0.581325,0.690789
5,0,3514152,496,0.970421,0.591856
6,10,3514152,552,2.319647,0.238636
6,5,3514152,500,2.110639,0.53125
6,6,3514152,552,3.335517,0.001302
6,16,3514152,500,1.143106,0.675347
6,15,3514152,496,1.206619,0.473958
6,17,3514152,500,2.076039,0.4375
6,11,3514152,500,0.643778,0.808424
6,7,3514152,500,1.686813,0.791667
6,2,3514152,496,0.394663,0.852273
6,19,3514152,500,1.253549,0.324013
6,8,3514152,496,0.515141,0.833984
6,12,3514152,500,1.689371,0.630208
6,13,3514152,500,0.695417,0.748355
6,3,3514152,500,1.505797,0.822917
6,1,3514152,496,0.913325,0.654687
6,9,3514152,500,1.648483,0.715625
6,14,3514152,500,1.403676,0.951823
6,18,3514152,496,0.442539,0.870192
6,0,3514152,496,0.917844,0.622159
6,4,3514152,500,1.669059,0.823864
7,18,3514152,500,0.943571,0.822115
7,5,3514152,500,2.144111,0.53125
7,1,3514152,496,0.896309,0.6625
7,10,3514152,496,0.850734,0.71875
7,8,3514152,500,0.823821,0.853516
7,19,3514152,500,1.583343,0.294408
7,7,3514152,500,1.823823,0.773438
7,16,3514152,500,1.555659,0.678819
7,2,3514152,496,0.460698,0.829545
7,6,3514152,552,2.56752,0.098958
7,17,3514152,500,2.095367,0.425347
7,11,3514152,500,1.209599,0.711957
7,3,3514152,500,1.733498,0.824074
7,15,3514152,500,1.436094,0.458333
7,4,3514152,496,0.477814,0.825284
7,9,3514152,500,1.727276,0.7125
7,13,3514152,496,0.419949,0.814145
7,12,3514152,496,0.921247,0.697917
7,14,3514152,500,1.604877,0.951823
7,0,3514152,500,1.242777,0.607955
8,4,3514152,496,0.545183,0.826705
8,10,3514152,500,1.198313,0.678977
8,5,3514152,500,2.165431,0.546875
8,12,3514152,496,0.865725,0.699653
8,7,3514152,496,0.469452,0.867188
8,2,3514152,500,0.472928,0.823864
8,9,3514152,500,1.761329,0.7125
8,8,3514152,500,1.290634,0.832031
8,18,3514152,496,0.38103,0.865385
8,6,3514152,496,0.350461,0.885417
8,17,3514152,500,2.119231,0.414931
8,15,3514152,500,1.745503,0.476562
8,13,3514152,500,0.761912,0.810855
8,19,3514152,500,1.720705,0.501645
8,1,3514152,500,1.272754,0.64375
8,14,3514152,500,1.552721,0.953125
8,16,3514152,500,1.680731,0.684028
8,3,3514152,500,1.79588,0.824074
8,11,3514152,496,0.315232,0.875
8,0,3514152,500,1.672893,0.613636
9,5,3514152,496,1.086247,0.625
9,18,3514152,500,0.740896,0.882212
9,8,3514152,496,0.450612,0.857422
9,10,3514152,500,1.528079,0.639205
9,19,3514152,500,1.733997,0.292763
9,17,3514152,500,2.10729,0.418403
9,2,3514152,500,0.93166,0.8125
9,6,3514152,500,0.541774,0.884115
9,9,3514152,500,1.769461,0.714063
9,12,3514152,500,1.044053,0.680556
9,3,3514152,500,1.758728,0.822917
9,15,3514152,500,1.843209,0.382812
9,7,3514152,500,0.71081,0.838542
9,16,3514152,500,1.730713,0.675347
9,4,3514152,496,0.44994,0.821023
9,1,3514152,500,1.654551,0.628125
9,13,3514152,496,0.406082,0.819079
9,11,3514152,496,0.300521,0.891304
9,0,3514152,500,1.759502,0.576705
9,14,3514152,496,0.185852,0.953125
10,5,3514152,500,1.18825,0.65625
10,7,3514152,500,1.178037,0.869792
10,8,3514152,500,0.564985,0.855469
10,10,3514152,500,1.619999,0.713068
10,12,3514152,500,1.38049,0.699653
10,2,3514152,500,0.998407,0.832386
10,4,3514152,500,0.605923,0.822443
10,17,3514152,500,2.060489,0.493056
10,14,3514152,500,0.342046,0.953125
10,11,3514152,500,0.385514,0.883152
10,6,3514152,500,0.942181,0.885417
10,18,3514152,496,0.407225,0.872596
10,19,3514152,500,1.780648,0.378289
10,13,3514152,496,0.369092,0.840461
10,1,3514152,496,0.834718,0.70625
10,15,3514152,496,1.071605,0.565104
10,9,3514152,500,1.774932,0.709375
10,3,3514152,496,0.452917,0.822917
10,16,3514152,500,1.708891,0.682292
10,0,3514152,496,0.97524,0.604167
11,5,3514152,500,1.522182,0.523438
11,7,3514152,500,1.247203,0.789062
11,15,3514152,500,1.148236,0.526042
11,10,3514152,500,1.712629,0.571023
11,16,3514152,500,1.693748,0.677083
11,19,3514152,496,0.790045,0.648026
11,2,3514152,496,0.376647,0.897727
11,8,3514152,500,0.943808,0.826172
11,1,3514152,500,1.229147,0.625
11,6,3514152,496,0.356842,0.888021
11,11,3514152,500,0.748005,0.824728
11,13,3514152,500,0.550845,0.835526
11,17,3514152,496,1.007492,0.633681
11,18,3514152,496,0.420182,0.841346
11,12,3514152,500,1.531202,0.642361
11,14,3514152,496,0.217685,0.951823
11,4,3514152,500,1.135057,0.819602
11,9,3514152,500,1.735036,0.709375
11,3,3514152,500,0.67034,0.825231
11,0,3514152,500,1.087323,0.623106
12,5,3514152,500,1.587949,0.546875
12,10,3514152,500,1.692279,0.627841
12,17,3514152,500,1.245622,0.602431
12,2,3514152,500,0.690099,0.911932
12,8,3514152,496,0.432428,0.876953
12,15,3514152,496,1.065444,0.585938
12,12,3514152,500,1.545442,0.644097
12,14,3514152,500,0.580196,0.951823
12,1,3514152,500,1.522279,0.603125
12,16,3514152,496,0.887057,0.675347
12,4,3514152,496,0.430438,0.822443
12,6,3514152,496,0.350818,0.885417
12,7,3514152,500,1.248312,0.799479
12,18,3514152,500,0.711016,0.786058
12,9,3514152,500,1.702226,0.709375
12,19,3514152,500,1.007396,0.621711
12,13,3514152,500,0.881833,0.84375
12,11,3514152,496,0.34689,0.866848
12,3,3514152,500,1.014273,0.825231
12,0,3514152,500,1.365922,0.645833
13,5,3514152,496,1.145372,0.5625
13,2,3514152,500,1.013161,0.911932
13,7,3514152,496,0.402965,0.875
13,8,3514152,496,0.410815,0.882812
13,15,3514152,500,1.329518,0.567708
13,11,3514152,500,0.501131,0.838315
13,16,3514152,500,0.947586,0.678819
13,18,3514152,500,0.997434,0.793269
13,19,3514152,500,1.264555,0.611842
13,17,3514152,500,1.51272,0.579861
13,10,3514152,500,1.662678,0.667614
13,4,3514152,496,0.398351,0.826705
13,13,3514152,496,0.328898,0.855263
13,9,3514152,496,0.656664,0.8
13,12,3514152,500,1.521384,0.666667
13,6,3514152,500,0.450692,0.885417
13,14,3514152,500,1.070347,0.954427
13,3,3514152,500,1.092707,0.825231
13,1,3514152,500,1.585723,0.679688
13,0,3514152,500,1.451194,0.643939
14,5,3514152,500,1.249254,0.585938
14,15,3514152,500,1.537183,0.546875
14,10,3514152,500,1.634614,0.690341
14,16,3514152,496,0.813116,0.677083
14,12,3514152,500,1.486291,0.692708
14,7,3514152,496,0.410293,0.877604
14,8,3514152,496,0.395928,0.875
14,1,3514152,500,1.630293,0.65625
14,19,3514152,500,1.360788,0.613487
14,6,3514152,500,0.659479,0.888021
14,14,3514152,500,1.166065,0.951823
14,4,3514152,496,0.472431,0.822443
14,17,3514152,500,1.578279,0.605903
14,13,3514152,500,0.416058,0.858553
14,18,3514152,496,0.299836,0.884615
