Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,11,89592,412,2.594562,0.002604
1,19,89592,412,2.262396,0.138393
1,0,89592,412,2.324678,0.013393
1,15,89592,412,2.525365,0.008224
1,17,89592,412,2.172544,0.012868
1,12,89592,412,2.663189,0.0
1,13,89592,412,2.115838,0.0
1,5,89592,412,2.611189,0.0
1,14,89592,412,2.318199,0.028533
1,18,73080,372,1.244643,0.520833
1,8,73080,372,1.94412,0.319853
1,9,89592,412,2.780503,0.0
1,1,89592,412,2.496002,0.047794
1,16,89592,412,2.402386,0.0
1,3,73080,372,1.598887,0.306641
1,6,89592,412,1.868302,0.478516
1,10,89592,412,2.439023,0.035
1,7,73080,372,1.581832,0.428571
1,4,73080,372,1.510255,0.385417
1,2,73080,372,1.810391,0.366776
2,19,89592,416,2.436618,0.013393
2,1,73080,376,1.691662,0.527574
2,13,89592,416,2.335898,0.142857
2,12,89592,416,2.121596,0.159722
2,3,73080,380,1.951548,0.294922
2,11,73080,376,1.231066,0.619792
2,18,73080,376,1.22471,0.510417
2,7,73080,380,1.805332,0.363095
2,16,73080,376,0.495379,0.870536
2,2,73080,376,1.720526,0.419408
2,15,89592,416,2.170037,0.238487
2,14,89592,416,2.421028,0.0
2,0,89592,416,2.380981,0.046131
2,10,89592,416,2.170915,0.245
2,9,89592,416,2.145156,0.110197
2,17,89592,416,2.357579,0.029412
2,8,73080,380,2.069036,0.193015
2,4,73080,380,1.847472,0.380208
2,6,89592,416,2.449951,0.005859
2,5,73080,376,0.789721,0.65483
3,13,89592,416,1.635377,0.535714
3,17,73080,376,1.525856,0.485294
3,19,89592,416,2.10603,0.232143
3,0,89592,416,1.951244,0.278274
3,5,73080,380,1.131779,0.65625
3,9,89592,416,2.260919,0.008224
3,3,73080,380,2.036918,0.296875
3,4,73080,376,1.402821,0.451389
3,18,73080,376,1.121871,0.589583
3,12,89592,416,2.252244,0.076389
3,15,89592,416,2.347527,0.111842
3,8,73080,380,2.123238,0.277574
3,10,89592,416,2.1203,0.27375
3,16,73080,380,0.996233,0.873512
3,7,73080,376,1.414376,0.486607
3,1,73080,380,1.899836,0.512868
3,11,73080,376,1.044121,0.697917
3,2,73080,380,1.958624,0.394737
3,6,89592,416,1.995474,0.288086
3,14,73080,376,1.135738,0.543478
4,13,89592,416,2.055844,0.236607
4,11,73080,380,1.377553,0.682292
4,19,89592,416,1.90343,0.151786
4,1,73080,380,2.043838,0.450368
4,12,73080,376,1.369937,0.520833
4,18,73080,380,1.294729,0.572917
4,0,89592,416,2.115743,0.136905
4,9,73080,376,1.10249,0.578947
4,3,73080,376,1.331382,0.460938
4,7,73080,376,1.32409,0.5
4,16,73080,380,1.23798,0.715774
4,8,73080,380,2.18742,0.226103
4,10,89592,416,1.842079,0.19625
4,17,73080,380,1.657953,0.514706
4,14,73080,380,1.3741,0.436141
4,5,73080,380,1.561635,0.65483
4,15,73080,376,1.561375,0.351974
4,4,73080,380,1.605296,0.432292
4,2,73080,376,1.532158,0.467105
4,6,89592,416,2.219755,0.120117
5,19,73080,376,1.404176,0.46875
5,11,73080,376,0.89889,0.744792
5,3,73080,380,1.571928,0.472656
5,13,73080,376,1.36975,0.53125
5,1,73080,380,2.046549,0.487132
5,4,73080,380,1.800571,0.414931
5,2,73080,380,1.729191,0.462171
5,7,73080,380,1.509383,0.520833
5,15,73080,380,1.657837,0.330592
5,8,73080,376,1.475304,0.501838
5,5,73080,380,1.725846,0.319602
5,9,73080,380,1.354028,0.526316
5,12,73080,380,1.682677,0.463542
5,18,73080,380,1.633418,0.583333
5,16,73080,376,0.338267,0.892857
5,14,73080,380,1.519424,0.403533
