Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,7,1,1.744604,89592,1.809797,0.300735
1,18,1,1.306988,89592,1.487986,0.510064
1,3,1,1.448843,89592,1.797847,0.286458
1,8,1,1.554282,89592,2.05482,0.223661
1,4,1,1.639695,89592,1.816786,0.290417
1,2,1,1.685043,89592,1.953237,0.289773
2,11,1,1.195074,89592,1.438526,0.556373
2,18,1,1.341568,89592,1.240229,0.570445
2,1,1,1.603223,89592,1.711795,0.417411
2,2,1,1.726385,89592,1.784224,0.372159
2,5,1,1.926456,89592,0.88493,0.660815
2,16,1,1.888897,89592,0.798028,0.694196
3,11,1,1.171621,89592,1.364013,0.575368
3,18,1,1.314196,89592,1.291594,0.545551
3,17,1,1.512231,89592,1.705318,0.428768
3,4,1,1.687764,89592,1.60896,0.364167
3,7,1,1.861363,89592,1.661985,0.380515
3,14,1,2.011383,89592,1.37464,0.39572
4,3,1,1.624326,89592,1.550319,0.399621
4,9,1,1.76044,89592,1.24433,0.569311
4,12,1,1.679165,89592,1.521754,0.424167
4,2,1,1.726579,89592,1.615577,0.453734
4,15,1,1.72813,89592,1.711004,0.282452
4,7,1,1.881495,89592,1.427162,0.476103
5,13,1,0.681229,89592,1.387505,0.534375
5,19,1,0.817421,89592,1.460155,0.443966
5,11,1,1.135496,89592,1.171651,0.647672
5,8,1,1.533874,89592,1.620316,0.414286
5,16,1,1.773188,89592,0.5934,0.817336
5,0,1,1.805993,89592,1.483632,0.436756
6,18,1,1.307033,89592,1.141065,0.600636
6,1,1,1.556934,89592,1.38517,0.533482
6,8,1,1.69308,89592,1.574234,0.444196
6,2,1,1.706946,89592,1.58726,0.450893
6,15,1,1.862021,89592,1.545283,0.374599
6,0,1,1.864838,89592,1.364803,0.499628
7,13,1,0.700925,89592,1.146528,0.591667
7,1,1,1.584423,89592,1.261214,0.579464
7,2,1,1.741769,89592,1.406849,0.512175
7,12,1,1.661323,89592,1.262498,0.554167
7,4,1,1.663865,89592,1.410997,0.4575
7,10,1,2.176611,89592,1.120973,0.578125
8,18,1,1.30412,89592,1.201429,0.559852
8,11,1,1.289726,89592,1.125785,0.645833
8,4,1,1.675744,89592,1.283211,0.51125
8,12,1,1.658469,89592,1.193653,0.572917
8,7,1,1.971273,89592,1.294579,0.533824
8,6,1,2.657912,89592,1.222362,0.580078
9,13,1,0.695262,89592,1.065788,0.663542
9,11,1,1.134583,89592,1.047616,0.677696
9,4,1,1.614901,89592,1.312124,0.495
9,8,1,1.511474,89592,1.434805,0.488839
9,5,1,1.849429,89592,0.816458,0.659761
9,14,1,1.95622,89592,0.994333,0.599524
10,13,1,0.822299,89592,1.256633,0.594792
10,18,1,1.290641,89592,1.062885,0.638242
10,15,1,1.718441,89592,1.416674,0.423478
