Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.3880152184228955,0
1,0.05466596882603155,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.6004258362036999,0
2,0.3530515070611578,1
2,0.09863561438829918,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.5388831906554893,0
3,0.6174143999705145,1
3,0.26711856617647056,2
3,0.25377106911158104,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.49309580374547474,0
4,0.5442833546462064,1
4,0.6672144236482471,2
4,0.15625,3
4,0.17120684523809523,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.6268783555088703,0
5,0.49745239835700367,1
5,0.5192357558965616,2
5,0.5617897727272727,3
5,0,4
5,0.26224609374999996,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.49451785100004914,0
6,0.7023809523809523,1
6,0.5354976797462406,2
6,0.49317248034479494,3
6,0.6548295454545454,4
6,0,5
6,0.39904296875,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.5855457526577883,0
7,0.48370743034055724,1
7,0.7258184523809524,2
7,0.5527735354010025,3
7,0.5145460358056266,4
7,0.6548295454545454,5
7,0,6
7,0.087890625,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.6407428075396826,0
8,0.5931442116320212,1
8,0.4290812816354612,2
8,0.7299107142857143,3
8,0.5560238486842105,4
8,0.48533407928388744,5
8,0.6534090909090909,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.6432758029924749,0
9,0.6290046812996032,1
9,0.5501148090815273,2
9,0.3728070175438597,3
9,0.7061011904761905,4
9,0.548571134868421,5
9,0.5,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.6232215611025111,0
10,0.6361271764964219,1
10,0.6070550181878307,2
10,0.5533223684210526,3
10,0,4
10,0.6971726190476191,5
10,0.6266447368421053,6
10,0.5422794117647058,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.6531504500875484,0
11,0.6064782245134896,1
11,0.6294598094919786,2
11,0.5876736111111112,3
11,0.5425,4
11,0,5
11,0.8497023809523809,6
11,0.6365131578947368,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.6723123311367676,0
12,0.6517548506816915,1
12,0.6464597557773109,2
12,0.65625,3
12,0.5832093253968254,4
12,0.54875,5
12,0,6
12,0,7
12,0.5986842105263158,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.6517594677424399,0
13,0.7118828565554511,1
13,0.6512151863033543,2
13,0.6176780608076564,3
13,0,4
13,0.5920138888888888,5
13,0.5475,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.6644524563297541,0
14,0.7042677717019822,1
14,0.6473809850146198,2
14,0.6270338369901737,3
14,0.6128764005602241,4
14,0,5
14,0.5868055555555556,6
14,0.5625,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.7296617415390892,0
15,0.6241148021708682,1
15,0.6828007518796992,2
15,0.6178728070175439,3
15,0.6161635706914345,4
15,0,5
15,0,6
15,0.5954861111111112,7
15,0.6025,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.6771737285923142,0
16,0.7335615457068861,1
16,0.5929281434796141,2
16,0,3
16,0,4
16,0.6188587277016069,5
16,0,6
16,0,7
16,0.5763888888888888,8
16,0.58,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.7319098143643421,0
17,0.6180235745614034,1
17,0.6911604059237332,2
17,0.5954228913787737,3
17,0,4
17,0,5
17,0.6116071428571429,6
17,0,7
17,0,8
17,0.5850694444444444,9
17,0.58125,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.7034690313460694,0
18,0.7362216816551183,1
18,0.4769736842105263,2
18,0.6802209164915967,3
18,0.5433006535947713,4
18,0,5
18,0,6
18,0.6116071428571429,7
18,0,8
18,0,9
18,0.5902777777777778,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.7208422020123839,0
19,0.7060245212215321,1
19,0.7075648680524842,2
19,0,3
19,0.6354166666666666,4
19,0.5513174019607843,5
19,0,6
19,0,7
19,0.59375,8
19,0,9
19,0,10
19,0.6197916666666666,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.6637002078293439,0
20,0.7290680458038479,1
20,0.687694099378882,2
20,0.7046048024472947,3
20,0,4
20,0,5
20,0,6
20,0,7
20,0,8
20,0.5892857142857143,9
20,0,10
20,0,11
20,0.5989583333333334,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
