Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,7,1,1.777107,89592,1.809797,0.300735
1,18,1,1.307632,89592,1.487986,0.510064
1,3,1,1.474528,89592,1.797847,0.286458
1,8,1,1.533849,89592,2.05482,0.223661
1,4,1,1.636122,89592,1.816786,0.290417
1,2,1,1.693368,89592,1.953237,0.289773
2,11,1,1.159607,89592,1.438568,0.556373
2,18,1,1.337869,89592,1.24024,0.570445
2,1,1,1.562436,89592,1.711713,0.417411
2,2,1,1.725389,89592,1.784438,0.372159
2,16,1,1.839457,89592,0.797973,0.694196
2,5,1,1.907281,89592,0.88493,0.660815
3,11,1,1.308516,89592,1.362531,0.573529
3,18,1,1.319305,89592,1.292205,0.545551
3,17,1,1.5056,89592,1.70585,0.428309
3,4,1,1.672689,89592,1.608421,0.364167
3,14,1,1.997293,89592,1.394424,0.38553
3,7,1,2.0092,89592,1.601367,0.407721
4,3,1,1.492081,89592,1.544598,0.413826
4,12,1,1.690801,89592,1.529436,0.420417
4,2,1,1.711336,89592,1.689768,0.418831
4,9,1,1.747987,89592,1.279679,0.534455
4,15,1,1.779268,89592,1.684779,0.286859
4,7,1,1.867812,89592,1.482221,0.465809
5,19,1,0.677281,89592,1.47656,0.448276
5,13,1,0.686125,89592,1.258638,0.561458
5,11,1,1.15056,89592,1.167108,0.662377
5,8,1,1.51585,89592,1.620085,0.406696
5,16,1,1.785452,89592,0.579006,0.815476
5,0,1,1.81188,89592,1.465615,0.448661
6,18,1,1.333753,89592,1.151673,0.592161
6,8,1,1.59023,89592,1.533757,0.45625
6,1,1,1.575851,89592,1.408139,0.514732
6,2,1,1.734021,89592,1.533882,0.468344
6,15,1,1.724089,89592,1.548494,0.358173
6,0,1,1.843327,89592,1.336681,0.504092
7,13,1,0.689567,89592,1.144194,0.6
7,4,1,1.680566,89592,1.359045,0.485417
7,1,1,1.564854,89592,1.266633,0.566071
7,2,1,1.72557,89592,1.430009,0.515422
7,12,1,1.651965,89592,1.279367,0.54625
7,10,1,2.122207,89592,1.143538,0.570466
8,11,1,1.150407,89592,1.154428,0.650123
8,18,1,1.295254,89592,1.205425,0.567797
8,12,1,1.649798,89592,1.197301,0.585417
8,4,1,1.666544,89592,1.279056,0.515417
8,7,1,1.843868,89592,1.283675,0.538971
8,6,1,2.647968,89592,1.245039,0.558594
9,13,1,0.693193,89592,1.066256,0.638542
9,11,1,1.146041,89592,1.056808,0.677083
9,4,1,1.652393,89592,1.310539,0.49875
9,8,1,1.541317,89592,1.413576,0.505804
9,5,1,1.870259,89592,0.821894,0.66257
9,14,1,1.97869,89592,1.009176,0.617867
10,13,1,0.684024,89592,1.252638,0.594792
10,18,1,1.275054,89592,1.042151,0.64036
10,1,1,1.52943,89592,1.227256,0.579911
10,3,1,1.428469,89592,1.184692,0.577652
10,15,1,1.666777,89592,1.408831,0.421074
10,0,1,1.801355,89592,1.195531,0.568824
11,19,1,0.676493,89592,1.243393,0.56681
11,18,1,1.297783,89592,0.884157,0.70339
11,17,1,1.506143,89592,1.20888,0.608456
11,2,1,1.684512,89592,1.307562,0.548701
11,14,1,1.979384,89592,0.917562,0.655571
11,6,1,2.643558,89592,1.093699,0.627441
12,11,1,1.155798,89592,0.978586,0.681373
12,8,1,1.547375,89592,1.346056,0.528125
12,4,1,1.656203,89592,1.264812,0.51625
12,16,1,1.83266,89592,0.516538,0.83817
12,15,1,1.723193,89592,1.371216,0.449519
12,6,1,2.662803,89592,1.018356,0.647705
