Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.3880152184228955,0
1,0.05466596882603155,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.6007322087527195,0
2,0.39417472718253965,1
2,0.09867508807250971,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.5384966199644109,0
3,0.6188080495356036,1
3,0.31721047794117646,2
3,0.2120280845342523,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.4687535353139794,0
4,0.5478533496732026,1
4,0.6776894469909176,2
4,0.34375,3
4,0.16290401785714287,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.5849636729691876,0
5,0.48396544747284875,1
5,0.5208062482239273,2
5,0.5691427139037433,3
5,0,4
5,0.17427734375,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.5170708634330926,0
6,0.646298363095238,1
6,0.541480246841061,2
6,0.5239059391872691,3
6,0.6519886363636364,4
6,0,5
6,0.3953125,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.5860008579455174,0
7,0.5263899638802889,1
7,0.6653025793650794,2
7,0.5357240758145364,3
7,0.5560262148337596,4
7,0.6534090909090909,5
7,0,6
7,0.087890625,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.628967220568783,0
8,0.6130218929677134,1
8,0.4642841785837142,2
8,0.6636904761904762,3
8,0.558850740131579,4
8,0.5805626598465473,5
8,0.6534090909090909,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.6419024124526843,0
9,0.6323141431051588,1
9,0.6142440660474716,2
9,0.4705122180451128,3
9,0.6770833333333334,4
9,0.5939555921052632,5
9,0.5441176470588235,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.6133269371345028,0
10,0.6420109422227389,1
10,0.617104828042328,2
10,0.5952302631578947,3
10,0,4
10,0.6510416666666667,5
10,0.6069078947368421,6
10,0.5606617647058824,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.6566920324157982,0
11,0.6014931054658705,1
11,0.6371121602049911,2
11,0.6010664682539683,3
11,0.63125,4
11,0,5
11,0.8258928571428571,6
11,0.6546052631578947,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.6633420877945476,0
12,0.6539127630457218,1
12,0.6436271774334733,2
12,0.6576704545454546,3
12,0.6122271825396826,4
12,0.65,5
12,0,6
12,0,7
12,0.587171052631579,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.6509652654921618,0
13,0.720129180372807,1
13,0.6564064412950535,2
13,0.6318259074463118,3
13,0,4
13,0.5590277777777778,5
13,0.65875,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.681349449502023,0
14,0.6943993506493507,1
14,0.6589455409356725,2
14,0.6434918718631617,3
14,0.6197478991596639,4
14,0,5
14,0.6111111111111112,6
14,0.625,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.7160198467768201,0
15,0.6451111694677871,1
15,0.7279135338345865,2
15,0.6467242324561404,3
15,0.6193470809376382,4
15,0,5
15,0,6
15,0.5902777777777778,7
15,0.6425,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.6887606385756057,0
16,0.721845015797821,1
16,0.6017983582321818,2
16,0,3
16,0,4
16,0.6245346822939702,5
16,0,6
16,0,7
16,0.625,8
16,0.63375,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.7496139629097254,0
17,0.6574629934210526,1
17,0.6899121151054295,2
17,0.610264939309057,3
17,0,4
17,0,5
17,0.6205357142857143,6
17,0,7
17,0,8
17,0.609375,9
17,0.66,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.6796280766712153,0
18,0.7430711045383066,1
18,0.5411184210526315,2
18,0.6596191862161532,3
18,0.5853247549019608,4
18,0,5
18,0,6
18,0.6116071428571429,7
18,0,8
18,0,9
18,0.6024305555555556,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.7027157690104552,0
19,0.6714410996612085,1
19,0.7040217731829573,2
19,0,3
19,0.6264880952380952,4
19,0.5820057189542484,5
19,0,6
19,0,7
19,0.6294642857142857,8
19,0,9
19,0,10
19,0.5920138888888888,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.6684504092040857,0
20,0.7162945795094353,1
20,0.6620729813664596,2
20,0.7127282821023146,3
20,0,4
20,0,5
20,0,6
20,0,7
20,0,8
20,0.6160714285714286,9
20,0,10
20,0,11
20,0.5902777777777778,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
