Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,6,1276408,412,2.438001,0.039062
1,0,1276408,412,2.244396,0.330592
1,19,1276408,412,2.345175,0.015625
1,11,1276408,412,2.286471,0.028125
1,12,1276408,412,2.25268,0.08
1,17,1276408,412,2.401347,0.130859
1,7,1147776,356,1.529096,0.502841
1,9,1276408,412,2.316565,0.036184
1,16,1276408,412,2.351857,0.024306
1,3,1147776,356,1.711354,0.359375
1,8,1147776,356,2.044267,0.241319
1,13,1276408,412,2.476617,0.059211
1,4,1147776,356,1.658059,0.410156
1,15,1276408,412,2.411107,0.002604
1,5,1276408,412,2.418448,0.0375
1,2,1147776,356,1.982477,0.297619
1,14,1276408,412,2.38948,0.015625
1,18,1147776,356,1.695862,0.3375
1,1,1276408,412,2.436593,0.003289
1,10,1276408,412,2.300097,0.04375
2,6,1276408,416,2.135953,0.148438
2,17,1276408,416,2.275435,0.164062
2,14,1276408,416,2.156774,0.179688
2,1,1147776,360,1.429155,0.452303
2,15,1276408,416,2.187718,0.106771
2,19,1276408,416,2.168718,0.230469
2,8,1147776,364,2.150464,0.246528
2,3,1147776,364,1.939011,0.360938
2,12,1276408,416,2.009841,0.1975
2,11,1147776,360,1.596213,0.442188
2,7,1147776,364,1.81878,0.478693
2,0,1276408,416,2.358473,0.059211
2,13,1276408,416,2.156912,0.057566
2,9,1276408,416,2.206149,0.194079
2,18,1147776,360,1.632605,0.370312
2,5,1147776,360,1.723166,0.322917
2,10,1276408,416,2.396134,0.0875
2,4,1147776,364,2.038513,0.338542
2,2,1147776,360,1.852718,0.349702
2,16,1147776,360,1.651995,0.413194
3,6,1276408,416,2.185973,0.182292
3,5,1147776,364,1.818689,0.3125
3,1,1147776,364,1.719414,0.473684
3,7,1147776,360,1.503651,0.504261
3,13,1276408,416,2.152606,0.259868
3,12,1276408,416,1.97207,0.22875
3,10,1276408,416,2.145106,0.171875
3,14,1147776,360,1.704814,0.466146
3,9,1276408,416,2.135366,0.141447
3,0,1276408,416,2.225238,0.118421
3,19,1276408,416,2.067221,0.183594
3,2,1147776,364,2.039943,0.334821
3,8,1147776,364,2.218618,0.246528
3,15,1276408,416,2.245315,0.125
3,3,1147776,364,2.105221,0.357812
3,17,1147776,360,1.719572,0.376953
3,4,1147776,360,1.554546,0.410156
3,18,1147776,360,1.539624,0.415625
3,16,1147776,364,1.913988,0.387731
3,11,1147776,360,1.40489,0.54375
4,15,1147776,360,1.392944,0.539062
4,5,1147776,364,2.18632,0.160417
4,19,1276408,416,1.774231,0.398438
4,6,1276408,416,2.139687,0.179688
4,17,1147776,364,1.910721,0.367188
4,3,1147776,360,1.380041,0.50625
4,18,1147776,364,1.842012,0.4
4,14,1147776,364,1.932434,0.432292
4,13,1276408,416,2.212075,0.070724
4,9,1147776,360,1.703442,0.376645
4,7,1147776,360,1.576152,0.460227
4,8,1147776,364,2.233327,0.237847
4,10,1276408,416,1.95927,0.242188
4,0,1276408,416,2.196726,0.09375
4,16,1147776,364,2.156063,0.356481
4,2,1147776,360,1.638556,0.443452
4,11,1147776,364,1.760977,0.485938
4,1,1147776,364,1.950898,0.46875
4,12,1147776,360,1.469892,0.47875
4,4,1147776,364,1.755757,0.455729
5,19,1147776,360,1.571376,0.460938
5,15,1147776,364,1.690211,0.541667
5,17,1147776,364,2.070922,0.373047
5,5,1147776,364,2.15575,0.264583
5,12,1147776,364,1.753015,0.39
5,6,1276408,416,1.566339,0.471354
5,18,1147776,364,2.065258,0.339062
5,1,1147776,364,2.073786,0.363487
5,4,1147776,364,2.068996,0.464844
5,7,1147776,364,1.796842,0.511364
5,8,1147776,360,1.574481,0.4375
5,10,1276408,416,1.872594,0.248438
5,3,1147776,364,1.710654,0.4875
5,14,1147776,364,2.096946,0.427083
5,0,1147776,360,1.320958,0.565789
5,11,1147776,360,1.155242,0.625
5,16,1147776,360,1.439519,0.512731
5,2,1147776,364,1.923654,0.452381
5,13,1147776,360,1.373338,0.514803
5,9,1147776,364,1.907422,0.398026
6,15,1147776,360,1.276636,0.575521
6,14,1147776,364,2.184772,0.335938
6,6,1276408,416,1.651889,0.416667
6,3,1147776,364,1.953484,0.432812
6,13,1147776,364,1.376588,0.536184
6,8,1147776,360,1.700491,0.388889
6,0,1147776,360,1.264788,0.546053
6,19,1147776,364,1.858521,0.460938
6,17,1147776,364,2.155125,0.302734
6,18,1147776,360,1.397435,0.479687
6,7,1147776,364,1.99676,0.507102
6,5,1147776,364,2.178475,0.252083
6,16,1147776,364,1.765781,0.483796
6,11,1147776,364,1.520938,0.625
6,10,1276408,416,1.715937,0.2875
6,1,1147776,360,1.122911,0.588816
6,4,1147776,364,2.122135,0.367188
6,9,1147776,364,2.097333,0.371711
6,12,1147776,364,2.02837,0.335
6,2,1147776,360,1.443512,0.497024
7,0,1147776,364,1.638472,0.495066
7,5,1147776,364,2.243208,0.191667
7,14,1147776,364,2.188801,0.395833
7,19,1147776,364,2.099682,0.378906
7,1,1147776,360,0.98259,0.634868
7,7,1147776,364,2.078556,0.491477
7,8,1147776,364,1.818834,0.336806
7,3,1147776,364,2.040171,0.41875
7,9,1147776,364,2.188104,0.305921
7,6,1276408,416,1.525746,0.458333
7,15,1147776,364,1.442495,0.570312
7,4,1147776,360,1.188011,0.575521
7,10,1147776,360,1.41937,0.454688
7,13,1147776,360,1.024923,0.633224
7,17,1147776,364,2.174712,0.269531
7,2,1147776,360,1.534571,0.453869
7,18,1147776,364,1.65179,0.464062
7,11,1147776,364,1.878127,0.603125
7,16,1147776,364,2.032048,0.4375
7,12,1147776,360,1.154669,0.56875
8,6,1147776,360,1.26323,0.552083
8,5,1147776,364,2.192968,0.197917
8,1,1147776,364,1.241133,0.629934
8,15,1147776,364,1.770398,0.549479
8,11,1147776,360,1.060049,0.65625
8,13,1147776,364,1.479296,0.595395
8,19,1147776,364,2.147297,0.40625
8,9,1147776,364,2.180223,0.266447
8,0,1147776,364,1.910515,0.424342
8,3,1147776,364,2.065607,0.395313
8,8,1147776,364,2.008144,0.399306
8,18,1147776,360,1.333291,0.490625
8,17,1147776,364,2.155987,0.351562
8,10,1147776,364,1.597153,0.435937
8,12,1147776,360,1.160848,0.58625
8,14,1147776,364,2.198818,0.385417
8,7,1147776,360,1.227043,0.571023
8,2,1147776,364,1.764797,0.479167
8,16,1147776,364,2.038584,0.483796
8,4,1147776,360,1.175151,0.575521
9,19,1147776,364,2.181657,0.332031
9,5,1147776,360,1.162699,0.583333
9,14,1147776,360,1.373836,0.5
9,10,1147776,364,1.869901,0.435937
9,2,1147776,364,1.99106,0.441964
9,3,1147776,364,2.11086,0.382812
9,13,1147776,360,0.989178,0.621711
9,9,1147776,364,2.207369,0.291118
9,11,1147776,360,1.061658,0.654687
9,18,1147776,364,1.526098,0.490625
9,0,1147776,364,1.973233,0.493421
9,17,1147776,364,2.180751,0.226562
9,6,1147776,364,1.465375,0.554688
9,7,1147776,364,1.439491,0.571023
9,12,1147776,364,1.514221,0.57
9,15,1147776,364,1.887946,0.533854
9,16,1147776,364,2.069185,0.472222
9,1,1147776,364,1.58943,0.592105
9,8,1147776,360,1.416412,0.484375
9,4,1147776,360,1.130268,0.589844
10,14,1147776,364,1.574479,0.523438
10,6,1147776,364,1.770421,0.546875
10,5,1147776,364,1.332285,0.58125
10,13,1147776,360,0.908264,0.677632
10,19,1147776,364,2.186408,0.324219
10,17,1147776,364,2.187861,0.357422
10,2,1147776,364,2.081555,0.459821
10,3,1147776,360,1.148651,0.607812
10,10,1147776,364,1.963914,0.420312
10,16,1147776,364,2.113777,0.424769
10,7,1147776,364,1.678028,0.508523
10,8,1147776,364,1.646759,0.461806
10,9,1147776,364,2.207057,0.317434
10,15,1147776,360,1.119232,0.625
10,11,1147776,364,1.26955,0.635938
10,1,1147776,360,0.94717,0.646382
10,4,1147776,364,1.350017,0.58724
10,0,1147776,360,1.119661,0.611842
10,18,1147776,360,1.24545,0.540625
10,12,1147776,364,1.827104,0.5375
11,15,1147776,364,1.364831,0.638021
11,19,1147776,360,1.360772,0.550781
11,6,1147776,360,1.203479,0.598958
11,1,1147776,364,1.181924,0.621711
11,5,1147776,364,1.64774,0.547917
11,0,1147776,364,1.369924,0.572368
11,10,1147776,364,1.920034,0.371875
11,3,1147776,364,1.463325,0.575
11,14,1147776,360,1.293225,0.515625
11,2,1147776,360,1.362762,0.529762
11,7,1147776,364,1.84492,0.505682
11,8,1147776,364,1.867198,0.4375
11,11,1147776,364,1.617958,0.517188
