Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,6,89592,412,2.367495,0.096354
1,18,5504,356,1.981401,0.238971
1,17,89592,412,2.337328,0.125
1,0,89592,412,2.592159,0.0375
1,19,89592,412,2.222784,0.25625
1,12,89592,412,2.349689,0.138393
1,9,89592,412,2.134139,0.239583
1,7,5504,356,1.542153,0.360795
1,15,89592,412,2.239478,0.180556
1,13,89592,412,2.395755,0.108553
1,10,89592,412,2.480228,0.144886
1,2,5504,356,2.140644,0.208984
1,3,5504,356,1.776293,0.20625
1,5,89592,412,2.313922,0.09233
1,8,5504,356,1.889019,0.332813
1,16,89592,412,2.372183,0.095588
1,11,89592,412,2.231327,0.205882
1,1,89592,412,2.369574,0.0175
1,4,5504,356,1.873899,0.32337
1,14,89592,412,2.263985,0.039062
2,16,5504,360,1.906931,0.3125
2,10,89592,416,2.684761,0.099432
2,2,5504,360,1.967951,0.248047
2,6,89592,416,2.067417,0.268229
2,12,89592,416,2.115501,0.334821
2,13,89592,416,2.065582,0.330592
2,18,5504,360,1.88881,0.273897
2,19,89592,416,2.364452,0.060417
2,11,5504,360,1.948803,0.332721
2,17,89592,416,2.257037,0.152574
2,14,89592,416,1.994537,0.2
2,3,5504,364,1.990278,0.284375
2,15,89592,416,2.144675,0.175347
2,8,5504,364,2.07746,0.296875
2,0,89592,416,2.702375,0.065625
2,4,5504,364,2.028256,0.32337
2,7,5504,364,1.726769,0.353693
2,9,89592,416,2.010215,0.302083
2,1,5504,360,1.47254,0.445
2,5,5504,360,1.746988,0.370739
3,19,89592,416,1.970991,0.229167
3,10,89592,416,2.175401,0.201705
3,8,5504,364,2.191368,0.296875
3,12,89592,416,2.017755,0.220982
3,3,5504,364,2.142897,0.314063
3,18,5504,360,1.773158,0.345588
3,6,89592,416,2.057716,0.236979
3,9,89592,416,1.955077,0.22619
3,7,5504,360,1.308635,0.542614
3,13,89592,416,2.125238,0.126645
3,4,5504,360,1.649281,0.34375
3,2,5504,364,2.111924,0.261719
3,11,5504,360,1.939841,0.306985
3,14,5504,360,1.446736,0.425
3,15,89592,416,2.090513,0.206597
3,16,5504,364,2.077873,0.297794
3,17,5504,360,1.852024,0.382353
3,5,5504,364,1.947374,0.352273
3,0,89592,416,2.115677,0.234375
3,1,5504,364,1.752826,0.45375
4,14,5504,364,1.707281,0.426563
4,6,89592,416,2.340241,0.200521
4,12,5504,360,1.515523,0.477679
4,16,5504,364,2.178374,0.310662
4,15,5504,360,1.807521,0.348958
4,2,5504,360,1.787693,0.339844
4,11,5504,364,2.102073,0.301471
4,18,5504,364,2.030133,0.336397
4,3,5504,360,1.522027,0.376563
4,1,5504,364,2.026608,0.45125
4,0,89592,416,2.914539,0.104688
4,9,5504,360,1.296278,0.550595
4,19,89592,416,2.135777,0.272917
4,4,5504,364,1.886322,0.442935
4,8,5504,364,2.230622,0.228125
4,7,5504,360,1.350836,0.545455
4,17,5504,364,2.054083,0.345588
4,13,89592,416,2.087953,0.325658
4,5,5504,364,2.113582,0.291193
4,10,89592,416,2.593591,0.213068
5,12,5504,364,1.836255,0.464286
5,10,89592,416,1.62408,0.502841
5,14,5504,364,1.985322,0.417187
5,6,89592,416,1.768783,0.338542
5,19,5504,360,1.521375,0.489583
5,17,5504,364,2.156383,0.373162
5,15,5504,364,1.90122,0.348958
5,18,5504,364,2.195169,0.308824
5,9,5504,364,1.647368,0.544643
5,8,5504,360,1.461857,0.501563
5,13,5504,360,1.744651,0.429276
5,2,5504,364,1.978208,0.355469
5,5,5504,364,2.161416,0.271307
5,7,5504,364,1.557001,0.573864
5,0,5504,360,1.264761,0.609375
5,3,5504,364,1.753504,0.429688
5,4,5504,364,2.081374,0.422554
5,16,5504,360,1.722283,0.345588
5,11,5504,360,1.661656,0.439338
5,1,5504,364,2.108142,0.43875
6,19,5504,364,1.819419,0.470833
6,6,89592,416,1.767969,0.325521
6,12,5504,364,2.048037,0.470982
6,18,5504,360,1.532376,0.411765
6,11,5504,364,1.868296,0.431985
6,17,5504,364,2.198214,0.327206
6,16,5504,364,1.867198,0.356618
6,8,5504,360,1.475171,0.476562
6,3,5504,364,1.969286,0.473438
6,10,89592,416,2.070927,0.201705
6,9,5504,364,1.89487,0.525298
6,15,5504,360,1.701393,0.385417
6,1,5504,360,1.191587,0.5725
6,14,5504,364,2.056407,0.360938
6,4,5504,364,2.125975,0.36413
6,5,5504,364,2.161817,0.360795
6,2,5504,360,1.706847,0.375
6,13,5504,364,1.764771,0.429276
6,0,5504,360,1.247988,0.628125
6,7,5504,364,1.860738,0.515625
7,10,5504,360,1.339373,0.553977
7,6,89592,416,1.644542,0.401042
7,12,5504,360,1.421577,0.495536
7,19,5504,364,2.007946,0.383333
7,17,5504,364,2.205315,0.375
7,18,5504,364,1.752356,0.419118
7,16,5504,364,2.031766,0.360294
7,11,5504,364,2.051646,0.426471
7,7,5504,364,1.955481,0.552557
7,4,5504,360,1.419358,0.463315
