Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.3465702411014911,0
1,0.05844371127471456,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.39347391917293234,0
2,0.38062460542929294,1
2,0.13983977521929825,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.4407413983585859,0
3,0.37986285157337785,1
3,0.3575520833333333,2
3,0.1701744106359649,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.46014610389610394,0
4,0.4332552083333333,1
4,0.41762914230019493,2
4,0.2743055555555556,3
4,0.2029906798245614,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.5061763929499675,0
5,0.475003382034632,1
5,0.4274088541666667,2
5,0.4625,3
5,0,4
5,0.35260416666666666,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.5180011661097188,0
6,0.5347397356237816,1
6,0.48783941387559804,2
6,0.44769965277777785,3
6,0.4708333333333333,4
6,0,5
6,0.36692708333333335,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.5493870744569759,0
7,0.5237984283625731,1
7,0.5391878858024691,2
7,0.4869467703349282,3
7,0.45377604166666663,4
7,0.4791666666666667,5
7,0,6
7,0.4661458333333333,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.5692313762626263,0
8,0.5560189536340852,1
8,0.5486720272904484,2
8,0.5275607638888888,3
8,0.48688322368421055,4
8,0.4508463541666667,5
8,0.4895833333333333,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.5877124451754386,0
9,0.5555847537878787,1
9,0.5433414264828739,2
9,0.6019736842105263,3
9,0.5174334490740741,4
9,0.48293585526315785,5
9,0.3828125,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.6150858918128654,0
10,0.5784548611111111,1
10,0.588727904040404,2
10,0.5029761904761905,3
10,0,4
10,0.5068721064814814,5
10,0.4457236842105263,6
10,0.40625,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.539710441468254,0
11,0.6274506578947368,1
11,0.5946831597222222,2
11,0.5843465909090908,3
11,0.490625,4
11,0,5
11,0.5393518518518519,6
11,0.4457236842105263,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.5907455632716049,0
12,0.5486272321428571,1
12,0.6396998355263158,2
12,0.5875,3
12,0.5738352272727273,4
12,0.4890625,5
12,0,6
12,0,7
12,0.46381578947368424,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.5820098601143009,0
13,0.6216290509259259,1
13,0.5568563988095239,2
13,0.642077850877193,3
13,0,4
13,0.59875,5
13,0.49375,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.5816055520482604,0
14,0.6105263157894737,1
14,0.6604166666666667,2
14,0.5598260788690477,3
14,0.6685855263157895,4
14,0,5
14,0.5875,6
14,0.515625,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.6356730222547108,0
15,0.5786268939393939,1
15,0.609375,2
15,0.6747395833333334,3
15,0.5498511904761905,4
15,0,5
15,0,6
15,0.62125,7
15,0.4984375,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.6103389985380118,0
16,0.6444551047758285,1
16,0.5857402146464646,2
16,0,3
16,0,4
16,0.5476810515873015,5
16,0,6
16,0,7
16,0.59875,8
16,0.4953125,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.614316045466676,0
17,0.6041666666666666,1
17,0.6514309210526316,2
17,0.5843592171717172,3
17,0,4
17,0,5
17,0.5703125,6
17,0,7
17,0,8
17,0.59375,9
17,0.5125,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.6201309974747475,0
18,0.6204683076325072,1
18,0.6328125,2
18,0.6784082602339181,3
18,0.5876736111111112,4
18,0,5
18,0,6
18,0.57421875,7
18,0,8
18,0,9
18,0.59875,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.6429692576348277,0
19,0.6305160984848486,1
19,0.6244576284461153,2
19,0,3
19,0.6792763157894737,4
19,0.5904947916666666,5
19,0,6
19,0,7
19,0.56640625,8
19,0,9
19,0,10
19,0.6025,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.6178865131578948,0
20,0.6524189814814815,1
20,0.646188446969697,2
20,0.6297444783834587,3
20,0,4
20,0,5
20,0,6
20,0,7
20,0,8
20,0.5703125,9
20,0,10
20,0,11
20,0.5975,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
