Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,7,1,1.819124,1276408,1.797931,0.379213
1,8,1,1.626054,1276408,2.1299,0.20397
1,18,1,1.73502,1276408,1.855441,0.340625
1,3,1,1.824737,1276408,1.810714,0.387425
1,2,1,1.879134,1276408,2.088776,0.260776
1,4,1,2.053312,1276408,1.819943,0.320964
2,5,1,1.384777,1276408,1.848983,0.26127
2,18,1,1.853689,1276408,1.727049,0.383203
2,1,1,1.764046,1276408,1.715911,0.380757
2,11,1,1.845696,1276408,1.655546,0.418596
2,2,1,1.987297,1276408,2.002095,0.283405
2,16,1,2.42095,1276408,1.876817,0.336869
3,14,1,1.122673,1276408,1.751474,0.44987
3,17,1,1.643788,1276408,1.808525,0.340385
3,18,1,1.866627,1276408,1.712307,0.371875
3,11,1,1.890359,1276408,1.519391,0.483796
3,7,1,2.03921,1276408,1.574243,0.491573
3,4,1,2.159363,1276408,1.575293,0.411458
4,15,1,1.216361,1276408,1.554067,0.466797
4,9,1,1.746706,1276408,1.784392,0.386364
4,3,1,1.846047,1276408,1.53141,0.458208
4,7,1,1.965249,1276408,1.499178,0.504565
4,2,1,2.043397,1276408,1.797872,0.362787
4,12,1,2.185177,1276408,1.527338,0.450937
5,19,1,0.767268,1276408,1.50671,0.497159
5,13,1,1.679357,1276408,1.312263,0.512336
5,0,1,1.680664,1276408,1.448794,0.483553
5,8,1,1.781735,1276408,1.742365,0.36951
5,11,1,1.910609,1276408,1.306334,0.568673
5,16,1,2.330022,1276408,1.538124,0.459862
6,15,1,1.086986,1276408,1.456067,0.498698
6,1,1,1.694118,1276408,1.234829,0.543174
6,8,1,1.708056,1276408,1.669262,0.390203
6,18,1,1.821673,1276408,1.475706,0.454688
6,0,1,1.72044,1276408,1.312834,0.535362
6,2,1,1.954695,1276408,1.616316,0.424569
7,1,1,1.710812,1276408,1.158558,0.57977
7,13,1,1.715708,1276408,1.097564,0.60403
7,2,1,1.958173,1276408,1.562057,0.454741
7,10,1,1.828977,1276408,1.478426,0.466435
7,4,1,2.10857,1276408,1.312916,0.509115
7,12,1,2.191283,1276408,1.378624,0.493125
8,6,1,1.147497,1276408,1.389806,0.525
8,11,1,1.801323,1276408,1.151684,0.615741
8,18,1,1.807307,1276408,1.367619,0.484375
8,7,1,2.016549,1276408,1.317424,0.547402
8,4,1,2.138467,1276408,1.21035,0.555664
8,12,1,2.235241,1276408,1.279007,0.528125
9,14,1,1.08148,1276408,1.299566,0.556641
9,5,1,1.511055,1276408,1.210151,0.564037
9,8,1,1.669251,1276408,1.511748,0.451436
9,13,1,1.65974,1276408,1.078654,0.615132
9,11,1,1.780541,1276408,1.086287,0.645833
9,4,1,2.063331,1276408,1.155659,0.59375
10,15,1,1.238862,1276408,1.195594,0.572266
10,13,1,1.711174,1276408,1.023744,0.642681
10,0,1,1.707045,1276408,1.21628,0.563734
10,1,1,1.691158,1276408,1.104009,0.585938
10,3,1,1.843201,1276408,1.23692,0.569277
10,18,1,1.787655,1276408,1.327496,0.508203
11,19,1,0.751893,1276408,1.45178,0.502841
11,14,1,1.073219,1276408,1.264806,0.558594
11,6,1,1.124419,1276408,1.335252,0.531875
11,17,1,1.4191,1276408,1.392858,0.474038
11,18,1,1.725714,1276408,1.238913,0.547266
11,2,1,1.855022,1276408,1.419901,0.505747
12,15,1,1.10025,1276408,1.12035,0.604167
12,6,1,1.135219,1276408,1.235504,0.568125
12,8,1,1.761349,1276408,1.439043,0.479307
12,11,1,1.787261,1276408,1.025458,0.66821
12,4,1,2.079209,1276408,1.116594,0.582031
12,16,1,2.333821,1276408,1.254587,0.567947
13,5,1,1.444714,1276408,1.112711,0.60502
13,13,1,1.738692,1276408,0.970236,0.650493
13,8,1,1.691703,1276408,1.401526,0.494932
13,9,1,1.750821,1276408,1.390599,0.515422
13,7,1,2.004434,1276408,1.207444,0.593399
13,4,1,2.155335,1276408,1.086872,0.601562
14,8,1,1.671976,1276408,1.372235,0.507601
14,3,1,1.858521,1276408,1.169181,0.606175
14,18,1,1.804745,1276408,1.227106,0.55
14,7,1,1.985572,1276408,1.145175,0.607795
14,4,1,2.161687,1276408,1.044594,0.617513
14,16,1,2.392113,1276408,1.209171,0.590883
15,6,1,1.132106,1276408,1.239843,0.57125
15,14,1,1.086286,1276408,1.123504,0.623047
15,5,1,1.376041,1276408,1.056843,0.634221
15,0,1,1.666264,1276408,1.11575,0.602385
15,1,1,1.672625,1276408,0.963184,0.659539
15,16,1,2.252177,1276408,1.196125,0.59117
16,15,1,1.094367,1276408,1.106599,0.61263
16,9,1,1.717756,1276408,1.290802,0.556006
16,11,1,1.800635,1276408,0.940837,0.691744
16,13,1,1.688408,1276408,0.897846,0.682977
16,3,1,1.813349,1276408,1.142408,0.606551
16,18,1,1.736688,1276408,1.22721,0.538672
17,17,1,1.453758,1276408,1.231269,0.528846
17,9,1,1.690798,1276408,1.272546,0.559659
17,13,1,1.705725,1276408,0.87813,0.689145
17,11,1,1.787628,1276408,0.911025,0.697917
17,2,1,1.903579,1276408,1.250707,0.560704
17,16,1,2.314238,1276408,1.133194,0.605218
18,14,1,1.097328,1276408,1.082138,0.625651
18,5,1,1.38736,1276408,0.993149,0.657275
18,18,1,1.765358,1276408,1.193691,0.564844
18,10,1,1.814958,1276408,1.206957,0.555556
18,3,1,1.840827,1276408,1.108789,0.617846
18,7,1,1.975794,1276408,1.126434,0.61552
19,15,1,1.092003,1276408,1.050206,0.623698
19,6,1,1.140376,1276408,1.182869,0.59875
19,1,1,1.68418,1276408,0.894384,0.687911
19,18,1,1.772798,1276408,1.125164,0.578516
19,3,1,1.814606,1276408,1.059974,0.634036
19,16,1,2.303954,1276408,1.123551,0.625
20,5,1,1.504077,1276408,0.993263,0.653176
20,8,1,1.66557,1276408,1.313239,0.515203
20,0,1,1.69287,1276408,1.041336,0.621711
20,10,1,1.798053,1276408,1.160902,0.592978
20,3,1,1.976019,1276408,1.085603,0.628765
20,4,1,2.087839,1276408,0.963692,0.663411
