Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,7,1,1.809366,1276408,1.797931,0.379213
1,8,1,1.641265,1276408,2.1299,0.20397
1,18,1,1.756609,1276408,1.855441,0.340625
1,3,1,1.834113,1276408,1.810714,0.387425
1,2,1,1.90544,1276408,2.088776,0.260776
1,4,1,2.076131,1276408,1.819943,0.320964
2,5,1,1.394009,1276408,1.848985,0.26127
2,1,1,1.717754,1276408,1.715957,0.380757
2,11,1,1.814353,1276408,1.655567,0.418981
2,18,1,1.786932,1276408,1.726762,0.383203
2,2,1,1.972523,1276408,2.002098,0.284124
2,16,1,2.322954,1276408,1.875953,0.336009
