Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,3,1,1.625828,1276408,2.181475,0.178006
1,4,1,1.447891,1276408,2.174393,0.194712
1,8,1,1.537524,1276408,2.058667,0.321558
1,7,1,1.748801,1276408,1.940574,0.320602
1,2,1,1.707447,1276408,2.111863,0.203926
1,18,1,1.771325,1276408,1.903352,0.248071
2,11,1,1.644326,1276408,2.09233,0.216549
2,2,1,1.802631,1276408,1.98424,0.272035
2,16,1,1.843196,1276408,1.763639,0.334766
2,18,1,1.875388,1276408,1.796439,0.347608
2,1,1,1.893997,1276408,1.962879,0.29744
2,5,1,1.999949,1276408,1.916894,0.293188
3,17,1,1.062521,1276408,1.817875,0.343071
3,4,1,1.470483,1276408,1.972619,0.265385
3,11,1,1.597626,1276408,1.96603,0.272887
3,7,1,1.81616,1276408,1.698163,0.366512
3,14,1,1.902249,1276408,1.822564,0.310918
3,18,1,1.807129,1276408,1.706532,0.368056
4,12,1,1.256312,1276408,1.793281,0.35
4,15,1,1.721813,1276408,1.847709,0.353333
4,2,1,1.759786,1276408,1.781983,0.340545
4,3,1,1.792967,1276408,1.848473,0.351661
4,7,1,1.805892,1276408,1.587317,0.420139
4,9,1,1.855248,1276408,1.853506,0.331325
5,19,1,1.066859,1276408,1.684135,0.414894
5,8,1,1.544827,1276408,1.604738,0.450634
5,0,1,1.594562,1276408,1.578786,0.463468
5,11,1,1.592882,1276408,1.789833,0.334067
5,16,1,1.744138,1276408,1.524181,0.473438
5,13,1,1.877347,1276408,1.63645,0.415441
6,8,1,1.570287,1276408,1.576647,0.451993
6,15,1,1.681721,1276408,1.722796,0.394583
6,2,1,1.737448,1276408,1.685067,0.371394
6,18,1,1.803399,1276408,1.448646,0.493827
6,1,1,1.852279,1276408,1.621254,0.439006
6,0,1,1.731081,1276408,1.502036,0.503961
7,12,1,1.252397,1276408,1.5568,0.442045
7,4,1,1.464319,1276408,1.590635,0.420673
7,2,1,1.726731,1276408,1.63527,0.390224
7,1,1,1.847187,1276408,1.532112,0.461596
7,13,1,1.882996,1276408,1.518206,0.451103
7,10,1,1.888333,1276408,1.538371,0.436773
8,12,1,1.297314,1276408,1.475898,0.471023
8,4,1,1.508161,1276408,1.537008,0.433654
8,11,1,1.649012,1276408,1.588792,0.411972
8,7,1,1.869887,1276408,1.370409,0.518904
8,18,1,1.872756,1276408,1.27476,0.572531
8,6,1,1.93524,1276408,1.434132,0.466544
9,4,1,1.478405,1276408,1.514294,0.445673
9,8,1,1.556712,1276408,1.41303,0.497283
9,11,1,1.600976,1276408,1.542481,0.434859
9,14,1,1.771414,1276408,1.46865,0.466377
9,13,1,1.880714,1276408,1.425111,0.470588
9,5,1,1.97013,1276408,1.435511,0.472612
10,15,1,1.702687,1276408,1.476118,0.477083
10,0,1,1.728262,1276408,1.341239,0.533451
10,18,1,1.783124,1276408,1.162233,0.596451
10,1,1,1.82722,1276408,1.461935,0.480798
10,3,1,1.743074,1276408,1.522827,0.453323
10,13,1,2.009368,1276408,1.378564,0.509559
11,17,1,1.037039,1276408,1.407938,0.506114
11,19,1,1.072445,1276408,1.315658,0.537899
11,2,1,1.706293,1276408,1.45285,0.473558
11,14,1,1.748393,1276408,1.38802,0.504747
11,18,1,1.758899,1276408,1.15264,0.603395
11,6,1,1.86317,1276408,1.292305,0.513235
12,4,1,1.471098,1276408,1.426665,0.469712
12,8,1,1.531865,1276408,1.31094,0.53125
12,11,1,1.576033,1276408,1.45779,0.470511
12,15,1,1.665731,1276408,1.438133,0.48375
12,16,1,1.772139,1276408,1.165497,0.584766
12,6,1,1.969453,1276408,1.329108,0.506618
13,4,1,1.477191,1276408,1.353486,0.498077
13,8,1,1.563301,1276408,1.232873,0.561141
13,9,1,1.828,1276408,1.412483,0.499247
13,13,1,1.884895,1276408,1.305941,0.523529
13,7,1,1.804209,1276408,1.219597,0.571373
13,5,1,1.952144,1276408,1.350199,0.512992
14,4,1,1.472466,1276408,1.332263,0.490385
14,8,1,1.533465,1276408,1.250854,0.558877
14,3,1,1.754001,1276408,1.375615,0.511076
14,7,1,1.796166,1276408,1.177196,0.584491
14,18,1,1.8018,1276408,1.092307,0.615355
14,16,1,1.767469,1276408,1.162776,0.596875
15,0,1,1.605539,1276408,1.203796,0.576585
15,14,1,1.810301,1276408,1.296042,0.532437
15,16,1,1.807286,1276408,1.101361,0.616797
15,1,1,1.888372,1276408,1.310169,0.534639
15,6,1,1.938731,1276408,1.216504,0.546324
15,5,1,1.993342,1276408,1.284796,0.538975
16,11,1,1.625462,1276408,1.334756,0.519366
16,15,1,1.70309,1276408,1.323102,0.515417
16,3,1,1.82441,1276408,1.31626,0.535997
16,18,1,1.873875,1276408,1.057891,0.630401
16,9,1,1.901822,1276408,1.340809,0.528991
16,13,1,1.930478,1276408,1.249978,0.545956
17,17,1,1.06114,1276408,1.332583,0.533967
17,11,1,1.619264,1276408,1.301241,0.528609
17,2,1,1.756709,1276408,1.300552,0.530849
17,16,1,1.794858,1276408,1.085772,0.619922
17,9,1,1.816913,1276408,1.303559,0.541416
17,13,1,1.880644,1276408,1.219174,0.556985
18,14,1,1.886437,1276408,1.256001,0.539161
18,3,1,1.879794,1276408,1.29205,0.55182
18,7,1,1.927819,1276408,1.08047,0.618441
18,18,1,1.933276,1276408,0.981564,0.665895
18,10,1,2.019681,1276408,1.251278,0.549419
18,5,1,2.093854,1276408,1.202839,0.574438
19,3,1,1.780912,1276408,1.249279,0.551424
19,16,1,1.803888,1276408,1.009974,0.639062
19,18,1,1.849226,1276408,0.958645,0.67091
19,1,1,1.884057,1276408,1.269644,0.554217
19,6,1,1.89822,1276408,1.159444,0.577206
19,15,1,1.84907,1276408,1.304105,0.527083
20,4,1,1.458273,1276408,1.232772,0.546154
20,8,1,1.55251,1276408,1.094291,0.619565
20,0,1,1.581503,1276408,1.107216,0.613996
20,3,1,1.75624,1276408,1.185552,0.587421
20,5,1,1.935498,1276408,1.159784,0.581461
20,10,1,2.003809,1276408,1.231297,0.561773
