Server round,Layer,Similarity
1,0,0.4867403815463655
1,1,0.22885022682195877
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.37275559456169144
1,7,0.010427997758334378
2,0,0.8955187805489143
2,1,0.9719595443239156
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.32344949763653746
2,7,0.19395218088612007
3,0,0.873080151203046
3,1,0.9709547299865274
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.3299330483883374
3,7,0.17551670483909665
4,0,0.8968433509948587
4,1,0.9615859587598674
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.34162256929892093
4,7,0.21766746883143195
5,0,0.8775287554455505
5,1,0.9616581028097061
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.3628067062498846
5,7,0.24313884226021343
6,0,0.904723515478464
6,1,0.9443291473762442
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.2844397848922376
6,7,0.142265050223265
7,0,0.9145528624634508
7,1,0.8986075271975014
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.37492813102524564
7,7,0.24428286985577155
8,0,0.8713050213518208
8,1,0.8963816246797159
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.2961868633058165
8,7,0.18213595290488027
9,0,0.8831898750487297
9,1,0.8573522716920077
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.34077848222671864
9,7,0.24528990358328473
10,0,0.8778266024162154
10,1,0.6937581728776756
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.2733612871404942
10,7,0.1878803194904656
11,0,0.8659688691976251
11,1,0.8363756144373777
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.2849782547255509
11,7,0.21700774730231484
12,0,0.879362726645844
12,1,0.8346495920631991
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.24381363780638374
12,7,0.16973067260114935
13,0,0.85861683350101
13,1,0.8351738435971466
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.2409538780072952
13,7,0.1758781573537244
14,0,0.846394266444736
14,1,0.6914336966182554
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.25027034479386573
14,7,0.18783541245095078
15,0,0.8135709232352472
15,1,0.7265933065583859
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.23478299512729536
15,7,0.1821540258822638
16,0,0.8888191872499691
16,1,0.6073714130415694
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.31814672777777236
16,7,0.2629233671799739
17,0,0.8738927576553275
17,1,0.8295214143015652
17,2,0.0
17,3,0.0
17,4,0.0
17,5,0.0
17,6,0.2918164404869234
17,7,0.1966874533414549
18,0,0.8394313013155182
18,1,0.6662634782023112
18,2,0.0
18,3,0.0
18,4,0.0
18,5,0.0
18,6,0.27933561389838174
18,7,0.24021365088957256
19,0,0.852636365381675
19,1,0.5924672960463561
19,2,0.0
19,3,0.0
19,4,0.0
19,5,0.0
19,6,0.20478311509979052
19,7,0.11041308525703393
20,0,0.8600662758782303
20,1,0.702386370554
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.26219973306068584
20,7,0.20990030666272408
21,0,0.850158293912295
21,1,0.6693542513645331
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.2885960798726798
21,7,0.25889090905405393
22,0,0.8133924540480325
22,1,0.6050285370249445
22,2,0.0
22,3,0.0
22,4,0.0
22,5,0.0
22,6,0.2117046804679248
22,7,0.16885137597292274
23,0,0.8672961726710239
23,1,0.6865597973150428
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.25447057367847165
23,7,0.17670545804151905
24,0,0.8119260786877609
24,1,0.42802834052788125
24,2,0.0
24,3,0.0
24,4,0.0
24,5,0.0
24,6,0.23768602983888418
24,7,0.19174425396296932
25,0,0.8412694639171275
25,1,0.47951304986246684
25,2,0.0
25,3,0.0
25,4,0.0
25,5,0.0
25,6,0.2190294816576972
25,7,0.16030784592729583
26,0,0.8825703097689171
26,1,0.5946473861391348
26,2,0.0
26,3,0.0
26,4,0.0
26,5,0.0
26,6,0.3214435698947044
26,7,0.23957658151161054
27,0,0.8394857255070837
27,1,0.5476209955173549
27,2,0.0
27,3,0.0
27,4,0.0
27,5,0.0
27,6,0.2561450574371704
27,7,0.20365060627082518
28,0,0.8126471224220646
28,1,0.6443526134435344
28,2,0.0
28,3,0.0
28,4,0.0
28,5,0.0
28,6,0.2025114339262396
28,7,0.16203130270515684
29,0,0.8407779446726745
29,1,0.5532777157303121
29,2,0.0
29,3,0.0
29,4,0.0
29,5,0.0
