Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,7,1,4.46342,2404028,0.108666,0.146197
1,4,1,4.353756,2404028,0.111491,0.120632
1,2,1,4.732,2404028,0.108,0.135389
1,3,1,4.808647,2404028,0.106663,0.122033
1,18,1,4.839146,2404028,0.108413,0.129375
1,8,1,4.998073,2404028,0.105296,0.139643
2,5,1,4.574842,2404028,0.089564,0.297872
2,11,1,4.589343,2404028,0.090799,0.264648
2,1,1,4.787292,2404028,0.083573,0.298684
2,2,1,4.724505,2404028,0.08641,0.309891
2,16,1,4.872675,2404028,0.090877,0.266776
2,18,1,4.945695,2404028,0.087258,0.2954
3,4,1,4.382775,2404028,0.063976,0.44114
3,11,1,4.643282,2404028,0.059145,0.483008
3,7,1,4.489233,2404028,0.061406,0.45523
3,17,1,4.820716,2404028,0.048289,0.5657
3,14,1,4.847586,2404028,0.052852,0.556835
3,18,1,4.89206,2404028,0.054332,0.523731
4,12,1,3.94267,2404028,0.048618,0.558552
4,7,1,4.474809,2404028,0.046884,0.574287
4,2,1,4.665392,2404028,0.042452,0.615645
4,9,1,4.668771,2404028,0.043817,0.611485
4,15,1,4.669773,2404028,0.042888,0.606353
4,3,1,4.714739,2404028,0.039944,0.632975
5,13,1,4.317642,2404028,0.041959,0.61529
5,11,1,4.556859,2404028,0.038741,0.647266
5,19,1,4.625656,2404028,0.037989,0.654867
5,16,1,4.814622,2404028,0.038223,0.633205
5,0,1,4.978921,2404028,0.034851,0.663837
5,8,1,5.016533,2404028,0.033119,0.680179
6,1,1,4.67336,2404028,0.03274,0.67218
6,15,1,4.690028,2404028,0.031718,0.70051
6,18,1,4.896344,2404028,0.030862,0.696903
6,2,1,4.78615,2404028,0.032157,0.695938
6,0,1,5.033232,2404028,0.029863,0.711583
6,8,1,4.995789,2404028,0.028091,0.727679
7,12,1,3.953791,2404028,0.032728,0.698134
7,13,1,4.245437,2404028,0.033406,0.681846
7,4,1,4.324853,2404028,0.032698,0.691764
7,1,1,4.692963,2404028,0.028547,0.705075
7,2,1,4.712394,2404028,0.028917,0.724709
7,10,1,4.810288,2404028,0.032951,0.670638
8,12,1,4.030299,2404028,0.029508,0.727579
8,4,1,4.307062,2404028,0.029393,0.721298
8,7,1,4.522972,2404028,0.030117,0.712361
8,11,1,4.62062,2404028,0.028032,0.739453
8,6,1,4.995758,2404028,0.028928,0.730844
8,18,1,4.85073,2404028,0.025088,0.749496
9,4,1,4.266481,2404028,0.02662,0.746256
9,13,1,4.247872,2404028,0.027789,0.728828
9,11,1,4.492748,2404028,0.025468,0.764062
9,5,1,4.608487,2404028,0.027599,0.728089
9,14,1,4.812593,2404028,0.021841,0.79788
9,8,1,4.940442,2404028,0.021523,0.786071
10,13,1,4.367906,2404028,0.025717,0.748403
10,1,1,4.654597,2404028,0.023216,0.757707
10,15,1,4.709615,2404028,0.022825,0.775383
10,18,1,4.769183,2404028,0.021452,0.790911
10,3,1,4.80452,2404028,0.0202,0.808791
10,0,1,5.010418,2404028,0.021314,0.789744
11,19,1,4.659187,2404028,0.021702,0.800115
