Server round,Layer,Similarity
1,0,0.6578445964845318
1,1,0.11812625320973551
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.43505952982790586
1,9,0.14632294688890915
2,0,0.9526062719245322
2,1,0.9410559676761334
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.32118976485760503
2,9,0.29140199805880235
3,0,0.9488970357127134
3,1,0.7293602022104836
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.34479261529743493
3,9,0.36448855797065755
4,0,0.8823295062323165
4,1,0.5230748671401122
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.4058888969785397
4,9,0.3846153997246986
5,0,0.9049863219147806
5,1,0.7033740862157134
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.3836097959288239
5,9,0.48928540647944185
6,0,0.908220679437751
6,1,0.7412253651879522
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.5199278535373123
6,9,0.19030497325682502
7,0,0.9302647757234367
7,1,0.7182493523852785
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.37952829006598504
7,9,0.379985008612421
8,0,0.9232856045174042
8,1,0.6320830042547385
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
8,8,0.3731618241939429
8,9,0.41533098920357125
9,0,0.9302794703383617
9,1,0.7471121212766207
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0
9,8,0.30956744737610475
9,9,0.4394903682416123
10,0,0.9255835618352469
10,1,0.5827220509455423
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.44385127503112565
10,9,0.27366102580675483
11,0,0.9279023839609796
11,1,0.627304528592933
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0
11,8,0.45352534412444045
11,9,0.598868019224677
12,0,0.9375433339593894
12,1,0.8101473118151151
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.3905862056425023
12,9,0.3885423006046069
13,0,0.9448023163057281
13,1,0.554847111213078
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0
13,7,0.0
13,8,0.2623364295353783
13,9,0.32918272267574733
14,0,0.9301645586010213
14,1,0.5678965650984911
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.0
14,7,0.0
14,8,0.3207978178412188
14,9,0.3543484929061716
15,0,0.9277499803090272
15,1,0.6192664680974629
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.27136220182252674
15,9,0.3866426026752005
16,0,0.9419985912218533
16,1,0.2913397877199279
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.0
16,7,0.0
16,8,0.4181800359132972
16,9,0.2615837851020166
17,0,0.9152564054110672
17,1,0.4761729434534443
17,2,0.0
17,3,0.0
17,4,0.0
17,5,0.0
17,6,0.0
17,7,0.0
17,8,0.29679228777868644
17,9,0.406002796485646
18,0,0.9305527592119375
18,1,0.28239185206856315
18,2,0.0
18,3,0.0
18,4,0.0
18,5,0.0
18,6,0.0
18,7,0.0
18,8,0.30919502180400177
18,9,0.28770063278488034
19,0,0.9098764367525183
19,1,0.30869353898029905
19,2,0.0
19,3,0.0
19,4,0.0
19,5,0.0
19,6,0.0
19,7,0.0
19,8,0.3708303921585335
19,9,0.18634949518894137
20,0,0.937109787894778
20,1,0.3883340563147217
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.0
20,7,0.0
20,8,0.4191503045231391
20,9,0.48389894442967485
21,0,0.900693155194007
21,1,0.6253628048034511
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.0
21,7,0.0
21,8,0.36553355020154493
21,9,0.2663349744317554
22,0,0.9269568542316834
22,1,0.6394277382563738
22,2,0.0
22,3,0.0
22,4,0.0
22,5,0.0
22,6,0.0
22,7,0.0
22,8,0.49943230651682563
22,9,0.5139556776106381
23,0,0.8634349708037822
23,1,0.6118301214798874
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.4526643648097244
23,9,0.47395240279357315
24,0,0.9101811547518658
24,1,0.4386833058095285
24,2,0.0
24,3,0.0
24,4,0.0
24,5,0.0
24,6,0.0
24,7,0.0
24,8,0.3663284877767581
24,9,0.24499344494901357
25,0,0.8745944752681069
25,1,0.257059236376075
25,2,0.0
25,3,0.0
25,4,0.0
25,5,0.0
25,6,0.0
25,7,0.0
25,8,0.35540719182983266
25,9,0.1904106925480106
26,0,0.8968789258792152
26,1,0.4854358757807344
26,2,0.0
26,3,0.0
26,4,0.0
26,5,0.0
26,6,0.0
26,7,0.0
26,8,0.29675436807451666
26,9,0.33526146232388737
27,0,0.8808002169922631
27,1,0.32515356334329104
27,2,0.0
27,3,0.0
27,4,0.0
27,5,0.0
27,6,0.0
27,7,0.0
27,8,0.3336014348901802
27,9,0.37617437106301965
28,0,0.90747545476786
28,1,0.5504401456830822
28,2,0.0
28,3,0.0
28,4,0.0
28,5,0.0
28,6,0.0
28,7,0.0
28,8,0.3935294449849847
28,9,0.2195886786785534
29,0,0.8745510489332585
29,1,0.592471373937727
29,2,0.0
29,3,0.0
29,4,0.0
29,5,0.0
29,6,0.0
29,7,0.0
29,8,0.3179937551885526
29,9,0.29280376680222037
30,0,0.8010350101227698
30,1,0.4443559065208102
30,2,0.0
30,3,0.0
30,4,0.0
30,5,0.0
30,6,0.0
30,7,0.0
30,8,0.37492453712851376
30,9,0.3884671462053806
31,0,0.9048497093333632
31,1,0.4683565675559955
31,2,0.0
31,3,0.0
31,4,0.0
31,5,0.0
31,6,0.0
31,7,0.0
31,8,0.3307313259070886
31,9,0.2538636252862652
32,0,0.8460130315536295
32,1,0.4269247808901988
32,2,0.0
32,3,0.0
32,4,0.0
32,5,0.0
32,6,0.0
32,7,0.0
32,8,0.24577020424901305
32,9,0.1738033715545629
33,0,0.8690017065973951
33,1,0.38360817941880443
33,2,0.0
33,3,0.0
33,4,0.0
33,5,0.0
33,6,0.0
33,7,0.0
33,8,0.29991529741304795
33,9,0.1503484818206034
34,0,0.8519295142707591
34,1,0.5300942628242347
34,2,0.0
34,3,0.0
34,4,0.0
34,5,0.0
34,6,0.0
34,7,0.0
34,8,0.309656158777641
34,9,0.2262615269464762
35,0,0.8814877642549327
35,1,0.7281011983958535
35,2,0.0
35,3,0.0
35,4,0.0
35,5,0.0
35,6,0.0
35,7,0.0
35,8,0.44862618270706084
35,9,0.39552714689954244
36,0,0.8605982488408531
36,1,0.3320920642390586
36,2,0.0
36,3,0.0
36,4,0.0
36,5,0.0
36,6,0.0
36,7,0.0
36,8,0.3038495320715646
36,9,0.2037483492578874
37,0,0.861850854105239
37,1,0.5074355767304674
37,2,0.0
37,3,0.0
37,4,0.0
37,5,0.0
37,6,0.0
37,7,0.0
37,8,0.31793173698906607
37,9,0.15638611124350218
38,0,0.8326170151475205
38,1,0.44271033053267556
38,2,0.0
38,3,0.0
38,4,0.0
38,5,0.0
38,6,0.0
38,7,0.0
38,8,0.22809590154437467
38,9,0.2547197542920475
39,0,0.8480266927335737
39,1,0.3744744862375502
39,2,0.0
39,3,0.0
39,4,0.0
39,5,0.0
39,6,0.0
39,7,0.0
39,8,0.3717027802350384
39,9,0.3144566328284229
40,0,0.8654941099554803
40,1,0.3482441388828703
40,2,0.0
40,3,0.0
40,4,0.0
40,5,0.0
40,6,0.0
40,7,0.0
40,8,0.3637085081051897
40,9,0.300736545132433
41,0,0.8232841702498624
41,1,0.30583362250317075
41,2,0.0
41,3,0.0
41,4,0.0
41,5,0.0
41,6,0.0
41,7,0.0
41,8,0.3245602652107881
41,9,0.3091933178098059
42,0,0.8028537042507548
42,1,0.5058928131986984
42,2,0.0
42,3,0.0
42,4,0.0
42,5,0.0
42,6,0.0
42,7,0.0
42,8,0.33254081858216666
42,9,0.24203308736143803
43,0,0.8285735302906664
43,1,0.2480877432403341
43,2,0.0
43,3,0.0
43,4,0.0
43,5,0.0
43,6,0.0
43,7,0.0
43,8,0.3065672694753278
43,9,0.21345630306054456
44,0,0.8440531535685883
44,1,0.5477548317729668
44,2,0.0
44,3,0.0
44,4,0.0
44,5,0.0
44,6,0.0
44,7,0.0
44,8,0.378863687850993
44,9,0.32039049650101487
45,0,0.8362853475068089
45,1,0.27240099973337295
45,2,0.0
