Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,7,1,3.505181,2345000,0.066536,0.280592
1,4,1,2.513324,2345000,0.071039,0.226703
1,3,1,3.024022,2345000,0.071795,0.176416
1,8,1,3.476826,2345000,0.071153,0.235177
1,2,1,3.576657,2345000,0.063371,0.39301
1,18,1,4.369799,2345000,0.064864,0.315789
2,1,1,3.265697,2345000,0.061805,0.334644
2,16,1,3.55039,2345000,0.066398,0.21458
2,2,1,3.78389,2345000,0.055762,0.420583
2,5,1,3.868263,2345000,0.063467,0.262986
2,11,1,3.951272,2345000,0.060862,0.230312
2,18,1,4.50256,2345000,0.058197,0.345998
3,4,1,2.583824,2345000,0.065759,0.252316
3,17,1,2.811563,2345000,0.063345,0.265255
3,7,1,3.586522,2345000,0.055294,0.299299
3,14,1,3.734585,2345000,0.064027,0.240699
3,11,1,3.95072,2345000,0.056194,0.253063
3,18,1,4.438072,2345000,0.056841,0.33977
4,15,1,2.17706,2345000,0.064418,0.238065
4,3,1,2.982442,2345000,0.068328,0.208449
4,12,1,3.093524,2345000,0.066354,0.227252
4,9,1,3.525761,2345000,0.056715,0.310695
4,2,1,3.582861,2345000,0.052709,0.419029
4,7,1,3.56678,2345000,0.053534,0.304754
5,13,1,2.865899,2345000,0.06111,0.277968
5,16,1,3.389542,2345000,0.062381,0.240115
5,8,1,3.551236,2345000,0.066252,0.26343
5,0,1,3.64097,2345000,0.052369,0.323575
5,19,1,3.853903,2345000,0.062223,0.290087
5,11,1,4.089296,2345000,0.05362,0.291915
6,15,1,2.228869,2345000,0.06238,0.277419
6,1,1,3.254137,2345000,0.056529,0.387069
6,8,1,3.531027,2345000,0.065423,0.282133
6,2,1,3.633401,2345000,0.050859,0.426796
6,0,1,3.673285,2345000,0.05066,0.331664
6,18,1,4.474002,2345000,0.054261,0.382747
7,4,1,2.590066,2345000,0.060335,0.310082
7,13,1,2.908867,2345000,0.057917,0.324377
7,12,1,3.114671,2345000,0.061298,0.262562
7,1,1,3.187825,2345000,0.054607,0.394059
7,2,1,3.615609,2345000,0.049331,0.445825
7,10,1,3.638596,2345000,0.059071,0.300115
8,4,1,2.580031,2345000,0.058982,0.316076
8,6,1,2.58103,2345000,0.050163,0.370472
8,12,1,3.116493,2345000,0.059441,0.28067
8,7,1,3.56221,2345000,0.048993,0.380359
8,11,1,3.936853,2345000,0.051172,0.341267
8,18,1,4.410217,2345000,0.05068,0.42915
9,4,1,2.622212,2345000,0.057232,0.33733
9,13,1,3.013525,2345000,0.055086,0.360528
9,8,1,3.551189,2345000,0.061596,0.321926
9,14,1,3.833059,2345000,0.057008,0.327381
9,5,1,3.844688,2345000,0.05374,0.382129
9,11,1,4.02203,2345000,0.050006,0.354568
10,15,1,2.182547,2345000,0.055941,0.394194
10,13,1,2.85949,2345000,0.053525,0.378603
10,3,1,3.030566,2345000,0.061503,0.294336
10,1,1,3.204618,2345000,0.05114,0.436872
10,0,1,3.617783,2345000,0.048286,0.368644
10,18,1,4.421144,2345000,0.048747,0.460293
11,17,1,2.798655,2345000,0.053099,0.408976
11,6,1,2.674543,2345000,0.048044,0.417124
11,2,1,3.642536,2345000,0.045531,0.488932
11,14,1,3.787575,2345000,0.055097,0.348586
11,19,1,3.841038,2345000,0.053938,0.40707
11,18,1,4.525067,2345000,0.047922,0.473373
12,15,1,2.20052,2345000,0.053919,0.400645
12,6,1,2.52876,2345000,0.047727,0.416575
12,4,1,2.563539,2345000,0.054774,0.358583
12,16,1,3.360409,2345000,0.055022,0.359143
12,8,1,3.48983,2345000,0.05828,0.350179
12,11,1,3.964219,2345000,0.047919,0.39552
13,4,1,2.576556,2345000,0.053728,0.369482
13,13,1,2.868467,2345000,0.051599,0.410845
13,8,1,3.508004,2345000,0.057975,0.354556
13,7,1,3.608152,2345000,0.043775,0.460249
13,9,1,3.622241,2345000,0.048822,0.439891
13,5,1,3.915678,2345000,0.050364,0.439521
14,4,1,2.578971,2345000,0.053443,0.362943
14,3,1,3.035027,2345000,0.058754,0.312906
14,16,1,3.437175,2345000,0.054281,0.363262
14,8,1,3.513486,2345000,0.057218,0.361321
14,7,1,3.655139,2345000,0.043934,0.461419
14,18,1,4.563668,2345000,0.045904,0.492059
15,6,1,2.607104,2345000,0.046103,0.444566
15,1,1,3.252922,2345000,0.046887,0.503277
15,16,1,3.460711,2345000,0.05353,0.368204
15,0,1,3.656281,2345000,0.046736,0.38829
15,14,1,3.763177,2345000,0.053485,0.373512
15,5,1,3.836279,2345000,0.048815,0.459499
16,15,1,2.182532,2345000,0.051494,0.447097
16,13,1,2.894746,2345000,0.050332,0.406448
16,3,1,3.068749,2345000,0.057827,0.325905
16,9,1,3.685144,2345000,0.047559,0.453162
16,11,1,3.979419,2345000,0.046087,0.418971
16,18,1,4.417961,2345000,0.045456,0.499221
17,17,1,2.82783,2345000,0.050188,0.429148
17,13,1,2.906248,2345000,0.049505,0.438202
17,16,1,3.432557,2345000,0.052865,0.385914
17,9,1,3.670838,2345000,0.046764,0.461358
17,2,1,3.61923,2345000,0.043521,0.495146
17,11,1,3.99731,2345000,0.045547,0.430172
18,3,1,3.038569,2345000,0.057112,0.349118
18,10,1,3.642968,2345000,0.051465,0.407053
18,7,1,3.608335,2345000,0.042394,0.490647
18,14,1,3.771911,2345000,0.052176,0.382812
18,5,1,3.9827,2345000,0.04756,0.472212
18,18,1,4.496916,2345000,0.044621,0.489567
19,15,1,2.185977,2345000,0.049241,0.46
19,6,1,2.521195,2345000,0.044118,0.463227
19,3,1,3.002398,2345000,0.056673,0.339833
19,1,1,3.161937,2345000,0.045017,0.525994
19,16,1,3.383066,2345000,0.052057,0.399918
19,18,1,4.450273,2345000,0.043411,0.51635
20,4,1,2.590046,2345000,0.050425,0.422888
20,3,1,3.07475,2345000,0.055963,0.354225
20,8,1,3.493673,2345000,0.053901,0.405889
20,10,1,3.640339,2345000,0.050363,0.420468
20,0,1,3.64067,2345000,0.045293,0.427966
20,5,1,3.88462,2345000,0.047161,0.491464
21,15,1,2.235146,2345000,0.048105,0.484516
21,17,1,2.777893,2345000,0.048572,0.457388
21,13,1,2.874057,2345000,0.047713,0.458232
21,9,1,3.600385,2345000,0.045686,0.47502
21,5,1,3.811947,2345000,0.045209,0.503451
