Server round,Layer,Similarity
1,0,0.657843576802995
1,1,0.11812647860711141
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.4350595133750213
1,9,0.14632294695948747
2,0,0.9602288430710092
2,1,0.9408911620694825
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.30823409632184
2,9,0.2764817734031398
3,0,0.9333938953150772
3,1,0.7161979366264983
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.3574551292466284
3,9,0.3736334457881509
4,0,0.9113046239501168
4,1,0.5774657463011791
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.40370857801890203
4,9,0.3661950346041594
5,0,0.8966234137160297
5,1,0.7108196710271454
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.37929636905524894
5,9,0.4869071453873766
6,0,0.9109944310480932
6,1,0.6803762188547432
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.5098827655003342
6,9,0.1565412197514959
7,0,0.9361018469809609
7,1,0.7041683386875034
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.37748558696573653
7,9,0.3995001520935599
8,0,0.9187240635733378
8,1,0.6218428876747636
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
8,8,0.3973153664801296
8,9,0.41768434330169263
9,0,0.9411321438751473
9,1,0.7986336093546225
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0
9,8,0.27523257862797257
9,9,0.4218035160049248
10,0,0.9277303859598592
10,1,0.5305399414494876
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.43912226685580485
10,9,0.21910071833906639
11,0,0.9173172251064536
11,1,0.5727676797787062
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0
11,8,0.43149718091953754
11,9,0.5669087312199809
12,0,0.9294232542633756
12,1,0.7566706509644797
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.3866048075047382
12,9,0.3759121484409412
13,0,0.9439453887987576
13,1,0.5812356957306032
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0
13,7,0.0
13,8,0.26935559099431783
13,9,0.27773429221942464
14,0,0.9262984465038793
14,1,0.5557750858127863
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.0
14,7,0.0
14,8,0.28619238046198775
14,9,0.4516017573930307
15,0,0.9274540858458136
15,1,0.45847349822352607
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.2589872161250368
15,9,0.3616876150754604
16,0,0.9180807633951836
16,1,0.21207873934749885
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.0
16,7,0.0
16,8,0.4294578110864342
16,9,0.30771717150050476
17,0,0.9089478638693614
17,1,0.2873563724710361
17,2,0.0
17,3,0.0
17,4,0.0
17,5,0.0
17,6,0.0
17,7,0.0
17,8,0.30682497427614713
17,9,0.41782908405880187
18,0,0.9351088023078619
18,1,0.3252371496301729
18,2,0.0
18,3,0.0
18,4,0.0
18,5,0.0
18,6,0.0
18,7,0.0
18,8,0.2879744581847902
18,9,0.36976247919849636
19,0,0.9205907255892903
19,1,0.45028331693150075
19,2,0.0
19,3,0.0
19,4,0.0
19,5,0.0
19,6,0.0
19,7,0.0
19,8,0.3431099771704418
19,9,0.1499489230340875
20,0,0.9230692994793991
20,1,0.41519608125308877
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.0
20,7,0.0
20,8,0.4219460923282879
20,9,0.44229846299684117
21,0,0.9325429871949203
21,1,0.5979800511745148
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.0
21,7,0.0
21,8,0.37706021613375323
21,9,0.3214613832807626
22,0,0.9137835733561738
22,1,0.4839554453521178
22,2,0.0
22,3,0.0
22,4,0.0
22,5,0.0
22,6,0.0
22,7,0.0
22,8,0.4244672548169268
22,9,0.403760183160734
23,0,0.897190123539537
23,1,0.5863537301952096
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.41008881344087383
23,9,0.45603156347625257
24,0,0.8952917045318621
24,1,0.3831551209685414
24,2,0.0
24,3,0.0
24,4,0.0
24,5,0.0
24,6,0.0
24,7,0.0
24,8,0.3296388404444359
24,9,0.32373457858576327
25,0,0.8782635469780423
25,1,0.19910280257410726
25,2,0.0
25,3,0.0
25,4,0.0
25,5,0.0
25,6,0.0
25,7,0.0
25,8,0.3047743556790891
25,9,0.2082881368443574
26,0,0.9137602780654506
26,1,0.3703505033139154
26,2,0.0
26,3,0.0
26,4,0.0
26,5,0.0
26,6,0.0
26,7,0.0
26,8,0.3163303293182615
26,9,0.36627727307024777
27,0,0.8928366751205847
27,1,0.47946872629721365
27,2,0.0
27,3,0.0
27,4,0.0
27,5,0.0
27,6,0.0
27,7,0.0
27,8,0.3380478818633265
27,9,0.33777061389177115
28,0,0.911363026924432
28,1,0.48345749533972465
28,2,0.0
28,3,0.0
28,4,0.0
28,5,0.0
28,6,0.0
28,7,0.0
28,8,0.37304740546460896
28,9,0.2654868654191382
29,0,0.857308047055692
29,1,0.7535311678916329
29,2,0.0
29,3,0.0
29,4,0.0
29,5,0.0
29,6,0.0
