Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1,Norm
4.322094,1,0.034221,20.88175040555748,0.05786315145572666,0.067424,[]
3.648408,2,0.033233,23.284920012746447,0.05787140080171386,0.069625,[]
3.398361,3,0.046337,26.482069405543065,0.07286341587514938,0.092537,[]
3.338935,4,0.05154,25.51328085527222,0.07787856899843526,0.085412,[]
3.312704,5,0.085647,64.66055598276279,0.1584112824650054,0.19369,[]
3.328438,6,0.174257,148.8564409086822,0.3351800702758757,0.350758,[]
3.264738,7,0.26317,180.37751384249646,0.45050210624572673,0.485606,[]
3.277641,8,0.314026,215.29500690912457,0.5236374736684763,0.584989,[]
3.257958,9,0.39409,221.8805083823273,0.5851720150276826,0.601866,[]
3.258118,10,0.506932,188.42751258773228,0.6272417671836571,0.65,[]
3.574079,11,0.588021,132.28488197825178,0.6723213703534878,0.677273,[]
3.311831,12,0.574234,163.21319646401145,0.687711393206459,0.706061,[]
3.285826,13,0.596111,161.30030223158295,0.6980060134474857,0.713653,[]
3.311017,14,0.604846,139.45783412917325,0.7073900824612681,0.715867,[]
3.286416,15,0.639675,154.39685877633653,0.7431752941849715,0.751515,[]
3.245974,16,0.649892,143.13297139373583,0.7370283216021483,0.754231,[]
3.262676,17,0.700596,98.30671391110579,0.7553591710890837,0.773485,[]
3.284691,18,0.660944,135.53187816893856,0.7581663253689707,0.775255,[]
3.295561,19,0.674427,170.09828776328118,0.767833661749276,0.786636,[]
3.267076,20,0.680998,171.43876457790986,0.7776288232593823,0.79631,[]
3.545418,21,0.677466,186.8604492662907,0.7860177213039103,0.806667,[]
3.282512,22,0.71013,159.64719696881622,0.8022064735714218,0.828148,[]
3.294429,23,0.735235,120.78778911794022,0.8042903374782646,0.815152,[]
3.301544,24,0.740894,94.70811739233339,0.8050225491529612,0.816296,[]
3.317011,25,0.746287,79.99279655068949,0.8034669279028194,0.825,[]
3.307621,26,0.754111,55.82909187869708,0.798100850614077,0.819697,[]
3.270103,27,0.753352,76.43812857468448,0.814080463719607,0.831818,[]
3.307456,28,0.742717,96.84775423312614,0.8044491424897717,0.820455,[]
3.297211,29,0.753732,90.31050603335139,0.8152358473902259,0.835606,[]
3.308144,30,0.759467,80.47894134492577,0.8209577996387807,0.835606,[]
3.252696,31,0.778077,57.09474581780709,0.8208479553330958,0.840909,[]
3.283484,32,0.772418,62.442193267053,0.8211304109352511,0.838636,[]
3.296259,33,0.774317,74.73705573542483,0.8327606875992825,0.849648,[]
3.663832,34,0.790497,63.739528551755065,0.837344965534343,0.844065,[]
3.280702,35,0.795625,58.86628916451249,0.8376528171516563,0.844065,[]
3.267154,36,0.798207,48.80840091623573,0.8355457258282044,0.84697,[]
3.280359,37,0.791827,57.60243050427647,0.82701045359097,0.838636,[]
3.271695,38,0.795625,56.72777097683285,0.8333803515586238,0.853788,[]
3.329475,39,0.798473,57.223487310718866,0.84048294191352,0.862879,[]
3.309465,40,0.799765,51.756424721960826,0.8313932787655471,0.847727,[]
3.279507,41,0.809678,44.99322171172008,0.8427878758009715,0.859828,[]
3.314297,42,0.80022,88.27937188267711,0.843736583207963,0.862121,[]
3.33608,43,0.798853,90.08899766342171,0.8393080726222033,0.855303,[]
3.336628,44,0.775039,219.6021630130268,0.8425492296976682,0.85037,[]
3.312824,45,0.786205,204.053179343033,0.8427151688780474,0.848485,[]
3.290998,46,0.797638,155.0224096703441,0.8422895368803418,0.844444,[]
3.347215,47,0.795435,146.06446350841125,0.8448107170893973,0.848081,[]
3.316242,48,0.799954,130.97667731317665,0.8422446568888189,0.852696,[]
3.296892,49,0.822097,41.02666815621274,0.8492385983106161,0.87314,[]
3.741278,50,0.825592,35.13015086787986,0.8468935160577253,0.855129,[]
