Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,17,1,-1681664662.9851108,89592,2.168620598316193,0.68125
1,0,1,-1681664661.2751827,89592,0.976605232718379,0.8481104651162791
1,6,1,-1681664652.3111155,89592,1.6014509670474986,0.2977655440414508
1,16,1,-1681664661.2292342,89592,1.2214317632218201,0.5677083333333334
1,43,1,-1681664660.7873788,89592,0.44392492362347086,0.9764254385964912
1,41,1,-1681664659.9191327,89592,0.9169672724159285,0.6810344827586207
1,4,1,-1681664660.0387294,89592,1.5622139761719522,0.4173259493670886
1,27,1,-1681664659.475322,89592,1.4134050296412575,0.38333333333333336
1,30,1,-1681664659.2118704,89592,1.0204013061523438,0.48875
1,23,1,-1681664659.6736197,89592,0.9862783160260928,0.5379704301075269
1,31,1,-1681664659.054005,89592,1.298825758174785,0.6052791262135923
1,13,1,-1681664658.606044,89592,1.5023747666462048,0.3467060810810811
1,28,1,-1681664658.3675659,89592,1.4680185402050996,0.37059294871794873
1,7,1,-1681664658.0218287,89592,0.9269724125628704,0.736013986013986
1,8,1,-1681664658.3085074,89592,1.292235160527164,0.3994006849315068
1,40,1,-1681664657.8374074,89592,1.4292030443464008,0.34875
1,36,1,-1681664657.9099426,89592,0.9742494478014302,0.6799568965517241
1,1,1,-1681664657.1737268,89592,1.5056872008338806,0.3040674603174603
1,44,1,-1681664656.8208876,89592,1.5782711803913116,0.36920362903225806
1,24,1,-1681664656.876211,89592,1.6211145597723033,0.2963845291479821
2,38,1,-1681664664.8990624,89592,1.141867396878261,0.48284313725490197
2,16,1,-1681664668.1571126,89592,0.7583570331335068,0.6002604166666666
2,42,1,-1681664663.6182864,89592,0.6451615166205626,0.8509615384615384
2,23,1,-1681664660.7077181,89592,0.7549698327177314,0.5584677419354839
2,37,1,-1681664665.5679443,89592,1.030890490663679,0.5625
2,27,1,-1681664660.9034812,89592,1.103277681271235,0.43645833333333334
2,41,1,-1681664664.7045069,89592,0.6403140388000971,0.7040229885057471
2,46,1,-1681664663.1112154,89592,1.1088835931269923,0.442464953271028
2,25,1,-1681664663.5771894,89592,0.8142780453528998,0.5079599056603774
2,45,1,-1681664660.1141574,89592,1.1268908498865184,0.45857007575757575
2,28,1,-1681664660.5973835,89592,1.3037520387233832,0.4016426282051282
2,13,1,-1681664664.622651,89592,1.347008494106499,0.3614864864864865
2,5,1,-1681664664.1313558,89592,1.2829769600269407,0.4532461240310077
2,2,1,-1681664657.8924222,89592,1.4994840748608111,0.3669921875
2,3,1,-1681664659.840963,89592,1.1173375941322234,0.5288173652694611
2,10,1,-1681664659.9822946,89592,1.2169879248267725,0.5167763157894737
2,48,1,-1681664662.4927356,89592,0.7708823282939161,0.7098988439306358
2,19,1,-1681664663.4094768,89592,0.6230164227638653,0.6950200534759359
2,32,1,-1681664657.9503438,89592,1.1614778308158225,0.45691489361702126
2,44,1,-1681664658.216236,89592,1.4476478921790277,0.3966733870967742
3,0,1,-1681664670.9577384,89592,0.47834841595139616,0.873546511627907
3,16,1,-1681664670.3630478,89592,0.7545589630802473,0.615234375
3,38,1,-1681664666.5573645,89592,1.127822645739013,0.4840686274509804
3,43,1,-1681664671.0118682,89592,0.05011193900524328,0.9824561403508771
3,12,1,-1681664672.126926,89592,0.9563442081212997,0.646875
3,37,1,-1681664667.4769356,89592,1.0013881341407174,0.5411184210526315
3,23,1,-1681664669.0917845,89592,0.7540071439999406,0.574260752688172
3,4,1,-1681664665.5203679,89592,1.2765571090239514,0.4699367088607595
3,41,1,-1681664666.657729,89592,0.6033709891911211,0.7112068965517241
3,30,1,-1681664664.3998766,89592,0.8006853079795837,0.506875
3,15,1,-1681664662.4299781,89592,0.9119378772992937,0.6827876984126984
3,8,1,-1681664667.8823009,89592,1.1073303855445287,0.460402397260274
3,40,1,-1681664666.0014856,89592,1.2567965980938502,0.42142857142857143
3,48,1,-1681664666.690336,89592,0.7304116590863707,0.7185693641618497
3,35,1,-1681664663.9852014,89592,1.3564971737107452,0.4647640306122449
3,14,1,-1681664659.7815042,89592,1.402260075801264,0.3725198412698413
3,34,1,-1681664667.0079527,89592,0.9563076705185335,0.7159514925373134
3,33,1,-1681664659.5582876,89592,1.3416006942128027,0.4027616279069767
