Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,1,1,-1681511245.5104682,89592,1.1371469791506377,0.6888204225352113
1,30,1,-1681511254.2738974,89592,1.0855388129534929,0.6644021739130435
1,31,1,-1681511255.3673732,89592,1.665124523639679,0.6166666666666667
1,16,1,-1681511256.2380574,89592,0.8391463781396548,0.9294871794871795
1,7,1,-1681511257.4871092,89592,1.2553795699030161,0.9421875
1,44,1,-1681511254.6277018,89592,1.0600752957531663,0.6444672131147541
1,28,1,-1681511257.5533106,89592,1.252006037781636,0.6419270833333334
1,36,1,-1681511252.913484,89592,1.1822594317615542,0.5229700854700855
1,13,1,-1681511255.0588229,89592,0.5098541583325984,0.9565217391304348
1,24,1,-1681511256.6427326,89592,0.7788242111945974,0.7611350574712644
1,4,1,-1681511254.8440218,89592,1.2705210925094665,0.609375
1,6,1,-1681511257.2177703,89592,1.2600441095875758,0.7769607843137255
1,0,1,-1681511256.8462157,89592,0.8560191563716749,0.7157012195121951
1,17,1,-1681511256.4940524,89592,1.3797355181928994,0.49592391304347827
1,8,1,-1681511256.0221655,89592,1.2988185140821669,0.5545138888888889
1,27,1,-1681511255.8991697,89592,1.38051631129705,0.48497596153846156
1,41,1,-1681511255.4057684,89592,1.4049397963818495,0.45884146341463417
1,23,1,-1681511255.1964877,89592,0.675897877302862,0.7711693548387096
1,40,1,-1681511256.7798977,89592,0.7179932782821583,0.7788825757575758
1,43,1,-1681511253.4730444,89592,0.9489816723293379,0.6685855263157895
2,19,1,-1681511266.0172336,89592,0.7103298572172602,0.7507530120481928
2,16,1,-1681511265.0385172,89592,0.33588238948812854,0.9302884615384616
2,28,1,-1681511265.9287043,89592,0.5795264787351092,0.77734375
2,38,1,-1681511266.8195558,89592,0.6770789640791276,0.7784926470588235
2,27,1,-1681511264.4636447,89592,1.0250871021013994,0.6045673076923077
2,48,1,-1681511262.701437,89592,0.39496829577030673,0.9133064516129032
2,44,1,-1681511264.5857046,89592,0.5891021876061548,0.7264344262295082
2,10,1,-1681511267.041133,89592,0.5960609303980038,0.7516163793103449
2,37,1,-1681511261.8357494,89592,0.3612791763644823,0.889524647887324
2,42,1,-1681511261.833499,89592,0.46553843573707604,0.8220108695652174
2,13,1,-1681511264.575187,89592,0.21688640938288922,0.9601449275362319
2,45,1,-1681511262.7857351,89592,0.45122364854597186,0.8580572289156626
2,25,1,-1681511263.1688695,89592,0.5438797552640556,0.8322251773049646
2,32,1,-1681511262.9840636,89592,0.5530343998066136,0.8039172535211268
2,46,1,-1681511264.5018537,89592,0.6322921365499496,0.7626953125
2,2,1,-1681511262.0430293,89592,0.4854003002160582,0.8617995689655172
2,41,1,-1681511265.0566683,89592,0.9442478772101364,0.625
2,23,1,-1681511263.8974674,89592,0.32782450735929514,0.8828125
2,3,1,-1681511265.5163372,89592,0.7649047125916962,0.75
2,5,1,-1681511264.1034544,89592,0.30987808863022204,0.8941271551724138
3,34,1,-1681511273.2176263,89592,0.6027937447031338,0.7458333333333333
3,38,1,-1681511272.226209,89592,0.3991166440879597,0.9108455882352942
3,0,1,-1681511272.3171263,89592,0.3161464937303851,0.8971036585365854
3,8,1,-1681511274.4222167,89592,0.75682063764996,0.7177083333333333
3,48,1,-1681511271.4684472,89592,0.3470987949159838,0.9012096774193549
3,33,1,-1681511271.252338,89592,0.4368052677423866,0.8574074074074074
3,14,1,-1681511271.6839497,89592,0.5747579332139041,0.7440878378378378
3,15,1,-1681511273.7516482,89592,0.4348097860813141,0.85546875
3,44,1,-1681511277.2277396,89592,0.5012533891885007,0.8176229508196722
3,30,1,-1681511276.5850966,89592,0.5691754458391148,0.7561141304347826
3,16,1,-1681511275.3132374,89592,0.29001631224766755,0.9278846153846154
3,4,1,-1681511274.2204661,89592,0.533535205478233,0.8172123015873016
3,35,1,-1681511275.4288447,89592,0.43003462327689657,0.8513719512195121
