Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,0,1,-1681840590.2117822,89592,0.8620049539135723,0.7179878048780488
1,15,1,-1681840593.3584666,89592,1.0548630494624376,0.828125
1,7,1,-1681840593.7712708,89592,1.2553795699030161,0.9421875
1,16,1,-1681840593.4512203,89592,0.8391463781396548,0.9294871794871795
1,24,1,-1681840592.70281,89592,0.7788242111945974,0.7611350574712644
1,6,1,-1681840593.254329,89592,1.2600441095875758,0.7769607843137255
1,30,1,-1681840593.4112122,89592,1.0855388129534929,0.6644021739130435
1,14,1,-1681840592.714136,89592,0.9268578927259188,0.6418918918918919
1,3,1,-1681840592.370384,89592,1.2969075725712906,0.5685206422018348
1,8,1,-1681840592.4363132,89592,1.2988185140821669,0.5545138888888889
1,27,1,-1681840592.167646,89592,1.38051631129705,0.48497596153846156
1,4,1,-1681840592.2364814,89592,1.2705210925094665,0.609375
1,20,1,-1681840591.9558458,89592,0.9537584917852655,0.74951171875
1,12,1,-1681840591.9602346,89592,0.8646928018686787,0.7322019867549668
2,26,1,-1681840598.4473386,89592,0.738835735962941,0.6778846153846154
2,31,1,-1681840596.6349413,89592,0.5977393135428428,0.8541666666666666
2,6,1,-1681840597.1606448,89592,0.41426553533357735,0.9307598039215687
2,28,1,-1681840599.0843258,89592,0.6558805716534456,0.796875
2,19,1,-1681840596.9178433,89592,0.6158693150942585,0.7921686746987951
2,5,1,-1681840598.6078577,89592,0.2962458895134001,0.8957435344827587
2,23,1,-1681840598.4559193,89592,0.3784639390726243,0.8576108870967742
2,21,1,-1681840596.131518,89592,0.5036847663777215,0.8520833333333333
2,8,1,-1681840595.6541018,89592,0.8833457718292872,0.6670138888888889
2,33,1,-1681840598.1514897,89592,0.5967191720450365,0.8092592592592592
2,3,1,-1681840595.6629055,89592,0.6222218975014643,0.805045871559633
2,25,1,-1681840598.2095513,89592,0.4395629174426092,0.8840868794326241
2,9,1,-1681840594.3414745,89592,0.6290656153498024,0.7766702586206896
2,32,1,-1681840597.8864532,89592,0.47107645753823535,0.8369278169014085
3,7,1,-1681840600.8399084,89592,0.2295050023123622,0.95
3,30,1,-1681840600.0333247,89592,0.5522402819731961,0.7703804347826086
3,34,1,-1681840597.58561,89592,0.5455457627773285,0.7822916666666667
3,18,1,-1681840598.8464508,89592,0.4419269343769109,0.8674768518518519
3,15,1,-1681840601.1243134,89592,0.4310852648690343,0.8640625
3,6,1,-1681840600.7569919,89592,0.1997906185102229,0.9577205882352942
3,0,1,-1681840600.7263098,89592,0.26544713424291555,0.9089176829268293
3,17,1,-1681840597.0877953,89592,0.8315880989682847,0.6408514492753623
3,19,1,-1681840599.8797588,89592,0.4063286695135645,0.8531626506024096
3,8,1,-1681840597.3296828,89592,0.683260847793685,0.7493055555555556
3,33,1,-1681840598.3852913,89592,0.3916461330045153,0.8664351851851851
3,2,1,-1681840599.9578483,89592,0.22301399014119444,0.9369612068965517
3,23,1,-1681840597.8128192,89592,0.2611099085620334,0.9112903225806451
3,20,1,-1681840598.9701147,89592,0.28192755533382297,0.908203125
4,34,1,-1681840598.8768468,89592,0.5459600254893303,0.8489583333333334
4,15,1,-1681840602.802,89592,0.35545328687876465,0.88046875
4,7,1,-1681840604.4530718,89592,0.1828998103737831,0.95
4,6,1,-1681840601.5539217,89592,0.16104581060947157,0.9571078431372549
4,17,1,-1681840600.1996284,89592,0.6988751883955969,0.7133152173913043
4,28,1,-1681840602.8792205,89592,0.41857487863550585,0.8385416666666666
4,1,1,-1681840599.7877934,89592,0.5421482049663302,0.8076584507042254
4,0,1,-1681840598.549512,89592,0.20131198553050436,0.9378810975609756
4,19,1,-1681840602.2170806,89592,0.3095772403729967,0.8983433734939759
4,2,1,-1681840602.0840132,89592,0.1537151195365807,0.9587823275862069
4,9,1,-1681840598.3680284,89592,0.3255096402276179,0.8957435344827587
4,4,1,-1681840598.3433375,89592,0.31567876921996235,0.9040178571428571
4,25,1,-1681840599.6284065,89592,0.20962345185326348,0.9375
4,12,1,-1681840600.4439366,89592,0.14842766953866607,0.9666804635761589
5,7,1,-1681840602.7994719,89592,0.15920452078571543,0.95
5,15,1,-1681840600.1447222,89592,0.3238160376204178,0.8953125
5,29,1,-1681840603.8039622,89592,0.0725020345300436,0.9847222222222223
5,31,1,-1681840601.290133,89592,0.13404212892055511,0.9708333333333333
5,16,1,-1681840604.5453393,89592,0.2026485230009525,0.9463141025641025
5,1,1,-1681840599.962611,89592,0.46262174487953456,0.8538732394366197
5,24,1,-1681840607.9913611,89592,0.10546621423343132,0.9665948275862069
5,22,1,-1681840601.0837338,89592,0.12385786955672332,0.9605532786885246
5,5,1,-1681840605.6304913,89592,0.0893495358879967,0.9711745689655172
5,3,1,-1681840603.6044543,89592,0.24356971305171285,0.9286123853211009
5,11,1,-1681840603.5437596,89592,0.3933913850587262,0.8613119834710744
5,20,1,-1681840602.8032444,89592,0.1550163954962045,0.954833984375
5,32,1,-1681840603.96331,89592,0.18748831888004927,0.9397007042253521
5,12,1,-1681840602.4185984,89592,0.11013505031780296,0.9737168874172185
