Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,26,92064,232,1.5721544822057087,0.6388888888888888
1,25,92064,232,2.193734343846639,0.58125
1,15,92064,232,2.039228613560016,0.6370192307692307
1,23,92064,232,0.05931168355579887,0.9888392857142857
1,34,92064,232,2.8033005714416506,0.0
1,31,92064,232,0.33145318428675336,0.9791666666666666
1,5,92064,232,3.0432096890040805,0.0625
1,10,92064,232,2.602243757247925,0.0
1,6,92064,232,0.12594610934748368,0.9816176470588235
1,20,92064,232,2.2771249786019325,0.5703125
1,28,92064,232,0.22955617308616638,0.9592391304347826
1,1,92064,232,1.6913456429134717,0.5255681818181818
1,22,92064,232,1.7367011195137387,0.3392857142857143
1,32,92064,232,3.0567150849562426,0.0
1,9,92064,232,1.9003761577606202,0.48875
1,11,92064,232,2.0005335178640156,0.4392361111111111
1,18,92064,232,3.094435974403664,0.0011574074074074073
1,19,92064,232,2.0996350011517926,0.31451612903225806
1,33,92064,232,2.0768984953562417,0.04600694444444445
1,12,92064,232,2.5177158372742787,0.004464285714285714
1,16,92064,232,3.175236875360662,0.10795454545454546
1,21,92064,232,2.4750107642143004,0.09173387096774194
1,24,92064,232,0.06063705598088828,0.9900568181818182
1,3,92064,232,2.6404221951961517,0.010416666666666666
1,30,92064,232,0.9576674784932818,0.20089285714285715
1,7,92064,232,0.011541836988180875,1.0
1,14,92064,232,1.9177344278855757,0.05397727272727273
1,8,92064,232,1.0231082614730387,0.45955882352941174
1,17,92064,232,0.9809059688919469,0.49506578947368424
1,27,92064,232,0.9373807167184764,0.5150862068965517
1,4,92064,232,0.48595920843737467,0.8169642857142857
1,2,92064,232,2.8882186846299605,0.005681818181818182
1,13,92064,232,1.5367585321267445,0.6145833333333334
1,29,92064,232,2.3874351824483564,0.04939516129032258
1,0,92064,232,0.11025389494995276,0.9822916666666667
2,22,92064,236,2.0345919245765325,0.3645833333333333
2,30,92064,240,0.6188578946249825,0.6339285714285714
2,31,92064,240,0.3974322775999705,0.9895833333333334
2,26,92064,236,1.1238452196121216,0.8472222222222222
2,20,92064,236,1.1721763014793396,0.681640625
2,17,92064,236,0.5309621346624274,0.7680921052631579
2,15,92064,236,1.7818852754739614,0.5072115384615384
2,23,92064,236,0.08638220839202404,0.9709821428571429
2,34,92064,236,1.0179223895072937,0.75625
2,9,92064,236,1.74148841381073,0.40625
2,32,92064,236,0.0933510884642601,0.9747596153846154
2,19,92064,236,0.20475194747409514,0.9324596774193549
2,2,92064,236,0.15088546987284313,0.9545454545454546
2,21,92064,236,2.5408351113719325,0.0
2,33,92064,236,1.892600072754754,0.2942708333333333
2,14,92064,236,0.24451499364592813,0.9232954545454546
2,10,92064,236,0.08431462446848552,0.9875
2,6,92064,240,0.21103557330720565,0.9761029411764706
2,11,92064,236,2.109934412770801,0.2621527777777778
2,29,92064,236,0.06616632994865218,0.9848790322580645
2,16,92064,236,2.9712069684808906,0.11363636363636363
2,8,92064,240,0.95229913557277,0.5422794117647058
2,28,92064,240,0.2635053493406462,0.9592391304347826
2,25,92064,236,0.10486748901506265,0.9770833333333333
2,4,92064,240,0.6669664978981018,0.7165178571428571
2,0,92064,240,0.195668496688207,0.9677083333333333
2,24,92064,240,0.09321539899842306,0.9872159090909091
2,18,92064,236,1.1240602246037237,0.6793981481481481
2,5,92064,236,0.053658519738486836,0.9821428571428571
2,13,92064,236,1.1085906942685446,0.615625
2,3,92064,236,0.13690560419733325,0.9609375
2,1,92064,240,1.5018259611996738,0.5127840909090909
2,12,92064,236,2.013278922864369,0.17075892857142858
2,7,92064,240,0.030019135028123856,1.0
2,27,92064,236,0.36383583833431377,0.8512931034482759
3,34,92064,236,0.08612821698188781,0.975
3,20,92064,236,3.1114878952503204,0.041015625
3,17,92064,236,0.4091096849817979,0.8256578947368421
3,30,92064,236,0.06883490830659866,0.9866071428571429
3,7,92064,236,0.0017242131638340653,1.0
3,10,92064,240,0.11303656697273254,0.9833333333333333
3,6,92064,236,0.03761657239759669,0.9963235294117647
3,15,92064,236,0.6341368487248054,0.6826923076923077
3,4,92064,236,0.18312254601291247,0.9598214285714286
3,1,92064,240,0.918373619968241,0.546875
3,25,92064,240,0.15638859619696935,0.9770833333333333
3,9,92064,236,3.7816206932067873,0.0
3,2,92064,240,0.1715120920403437,0.9573863636363636
3,18,92064,236,2.4555362153936318,0.20717592592592593
3,31,92064,240,0.4252876291672389,0.96875
3,27,92064,240,0.7458722457803529,0.6390086206896551
3,13,92064,240,0.7843316157658895,0.6114583333333333
3,32,92064,236,0.06879713071080354,0.9783653846153846
3,0,92064,236,0.0503747223255535,0.9864583333333333
3,11,92064,236,2.37081550889545,0.1154513888888889
3,26,92064,236,2.0159286790423923,0.3611111111111111
3,16,92064,236,2.387626821344549,0.11079545454545454
3,23,92064,236,0.018974130590712384,0.9955357142857143
3,8,92064,236,0.360699821044417,0.8492647058823529
3,22,92064,236,0.4170479614819799,0.7529761904761905
3,5,92064,240,0.0814500894131405,0.9799107142857143
3,3,92064,240,0.18446967067817846,0.9583333333333334
3,24,92064,240,0.12598645517771895,0.9857954545454546
3,29,92064,240,0.11591526865959167,0.9828629032258065
3,14,92064,240,0.12613314661112698,0.9744318181818182
3,12,92064,236,2.5760037899017334,0.06808035714285714
3,19,92064,240,0.2303268339845442,0.9465725806451613
3,21,92064,236,3.0619702339172363,0.007056451612903226
3,28,92064,240,0.26829056376996246,0.9769021739130435
3,33,92064,236,2.615842991405063,0.25
4,26,92064,236,2.0106572177675037,0.3993055555555556
4,34,92064,236,0.05996409580111504,1.0
4,4,92064,240,0.19819472943033492,0.9598214285714286
4,7,92064,240,0.021594333462417126,1.0
4,20,92064,236,0.6565756611526012,0.796875
4,8,92064,240,0.43451422189964967,0.8051470588235294
4,12,92064,236,0.0531411090466593,0.9899553571428571
4,22,92064,240,0.3020151917423521,0.8571428571428571
4,28,92064,240,0.3698756694793701,0.9769021739130435
4,21,92064,236,2.032720673468805,0.2903225806451613
4,24,92064,236,0.025465210920877078,0.9928977272727273
4,3,92064,240,0.3574266117066145,0.91796875
4,1,92064,236,0.5006526911800558,0.7954545454545454
4,18,92064,236,0.2851431927195302,0.9340277777777778
4,27,92064,240,0.4062012670368984,0.9202586206896551
4,30,92064,236,0.07419705018401146,0.9821428571428571
4,17,92064,236,0.22946398822884811,0.9259868421052632
4,11,92064,236,1.4544271396266089,0.5703125
4,9,92064,236,0.07610830038785935,0.975
4,33,92064,236,2.061264581150479,0.3446180555555556
4,19,92064,236,0.13263938179419887,0.9637096774193549
4,14,92064,240,0.7892601869323037,0.6022727272727273
4,10,92064,240,0.23525474667549134,0.9166666666666666
4,31,92064,240,0.34756289422512054,0.984375
4,5,92064,236,0.04856059676967561,0.9866071428571429
4,0,92064,236,0.03546048703913887,0.9864583333333333
4,6,92064,236,0.030390543644042575,0.9963235294117647
4,32,92064,236,0.062454903265461326,0.9819711538461539
4,23,92064,240,0.03137154132127762,0.9955357142857143
4,25,92064,236,0.24056096573670704,0.9291666666666667
4,13,92064,240,0.46270906925201416,0.7
4,29,92064,240,0.15805213465805976,0.9828629032258065
4,16,92064,240,1.8959433815696023,0.11079545454545454
4,15,92064,236,0.26881585212854237,0.9086538461538461
4,2,92064,236,0.047480820678174496,0.9914772727272727
5,30,92064,240,0.13463570390428817,0.9642857142857143
5,20,92064,236,1.219200823456049,0.515625
5,34,92064,240,0.07625428400933743,0.99375
5,7,92064,236,0.0004269082855898887,1.0
5,26,92064,236,1.794469740655687,0.2951388888888889
5,14,92064,240,0.2719040553678166,0.9630681818181818
5,25,92064,240,0.28607129752635957,0.9166666666666666
5,16,92064,236,2.0946751182729546,0.12215909090909091
5,23,92064,240,0.054742581477122645,0.9955357142857143
5,22,92064,236,0.16308386198111943,0.9255952380952381
