Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,24,1,0.55971,89592,244.508845,0.658088
1,30,1,1.086021,89592,4235407332.033698,0.551809
1,43,1,0.279654,89592,30504.561442,0.367188
1,17,1,0.234487,89592,285.889429,0.242188
1,0,1,0.229186,89592,1831.240323,0.359375
1,1,1,0.474218,89592,255.22523,0.559375
1,23,1,0.443336,89592,1115.334968,0.454545
1,20,1,0.373598,89592,278825.098996,0.263393
1,10,1,1.305995,89592,110.889849,0.574597
1,45,1,0.583575,89592,250.679817,0.5125
1,33,1,1.04457,89592,169.386976,0.405048
1,42,1,0.890361,89592,109.851332,0.477865
1,18,1,0.965831,89592,395.103561,0.66226
1,37,1,0.117959,89592,5.208867,0.0
1,6,1,0.199043,89592,2635.239958,0.28125
1,31,1,1.42971,89592,4.055286,0.753571
1,7,1,0.068544,89592,5.654052,0.0625
1,3,1,1.584707,89592,290.599742,0.510216
1,27,1,1.970431,89592,nan,0.111875
1,4,1,0.369561,89592,291.590089,0.355114
1,41,1,0.251536,89592,133.323476,0.607639
1,40,1,1.992998,89592,nan,0.444111
1,35,1,2.032658,89592,47.193769,0.878314
1,16,1,0.934243,89592,139.480393,0.744318
1,28,1,2.087463,89592,2.631474,0.955625
1,44,1,2.169832,89592,11.664309,0.935577
1,25,1,0.6494,89592,317.794499,0.780208
1,8,1,0.869547,89592,168.467633,0.591406
1,13,1,2.944735,89592,17.450948,0.75601
1,36,1,3.060765,89592,2572693287244399.5,0.749721
2,38,1,0.333867,89592,nan,0.10625
2,37,1,0.119682,89592,nan,0.0
2,32,1,0.228689,89592,nan,0.0
2,14,1,0.43189,89592,nan,0.0
2,1,1,0.458534,89592,nan,0.0
2,41,1,0.434089,89592,nan,0.0
2,46,1,0.390486,89592,nan,0.0
2,23,1,0.519399,89592,nan,0.147727
2,45,1,0.623313,89592,nan,0.0
2,5,1,0.724276,89592,nan,0.023026
2,25,1,1.102283,89592,nan,0.001042
2,10,1,1.078976,89592,nan,0.227823
2,11,1,1.123332,89592,nan,0.758523
2,42,1,0.955413,89592,nan,0.05599
2,48,1,1.169148,89592,nan,0.125947
2,16,1,1.225389,89592,nan,0.0
2,12,1,1.420184,89592,nan,0.096037
2,8,1,1.571779,89592,nan,0.0
2,0,1,0.131494,89592,nan,0.015625
2,19,1,0.430497,89592,nan,0.0
2,28,1,1.780197,89592,nan,0.0025
2,40,1,1.220192,89592,nan,0.444712
2,31,1,1.085769,89592,nan,0.001786
2,30,1,1.024767,89592,nan,0.0
2,27,1,1.140268,89592,nan,0.025625
2,3,1,1.15857,89592,nan,0.0
2,44,1,1.382881,89592,nan,0.0
2,36,1,3.018772,89592,nan,0.0
2,2,1,1.78943,89592,nan,0.001776
2,13,1,2.11232,89592,nan,0.0
3,37,1,0.117351,89592,nan,0.0
3,20,1,0.398681,89592,nan,0.004464
3,43,1,0.217795,89592,nan,0.0
3,23,1,0.485458,89592,nan,0.150568
3,7,1,0.365813,89592,nan,0.0
3,38,1,0.535745,89592,nan,0.09375
3,15,1,0.988834,89592,nan,0.71375
3,33,1,0.943347,89592,nan,0.138221
3,48,1,1.33704,89592,nan,0.124053
3,8,1,1.486564,89592,nan,0.0
3,31,1,1.414249,89592,nan,0.001786
3,30,1,1.522554,89592,nan,0.0
3,14,1,0.374951,89592,nan,0.0
3,16,1,1.581404,89592,nan,0.0
3,12,1,1.609667,89592,nan,0.095274
3,32,1,0.21671,89592,nan,0.0
3,0,1,0.492074,89592,nan,0.015625
3,27,1,2.134486,89592,nan,0.02625
3,28,1,1.847143,89592,nan,0.0025
3,4,1,0.436943,89592,nan,0.244318
3,40,1,1.887924,89592,nan,0.444111
3,41,1,0.232379,89592,nan,0.0
3,35,1,2.292353,89592,nan,0.0
3,34,1,0.770682,89592,nan,0.110795
3,39,1,0.776655,89592,nan,0.0
3,42,1,0.526752,89592,nan,0.05599
3,29,1,0.622173,89592,nan,0.0
3,2,1,2.675397,89592,nan,0.001776
3,36,1,3.206608,89592,nan,0.0
3,44,1,1.216919,89592,nan,0.0
4,17,1,0.293441,89592,nan,0.0
4,6,1,0.166846,89592,nan,0.010417
4,19,1,0.185251,89592,nan,0.0
4,46,1,0.376959,89592,nan,0.0
4,0,1,0.2165,89592,nan,0.015625
4,23,1,0.524462,89592,nan,0.150568
4,45,1,0.692006,89592,nan,0.0
4,14,1,0.404286,89592,nan,0.0
4,47,1,0.512535,89592,nan,0.0
