Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,27,1,-1680805673.1689675,15400,2.114835884835985,0.2048611111111111
1,18,1,-1680805675.3894105,15400,2.0871401760313244,0.2604166666666667
1,2,1,-1680805675.4901574,15400,2.147080957889557,0.19140625
1,25,1,-1680805675.516181,15400,2.1363322734832764,0.1840277777777778
1,4,1,-1680805675.3607125,15400,2.164600099836077,0.17857142857142858
1,24,1,-1680805675.1942365,15400,2.1407316446304323,0.171875
2,1,1,-1680805678.2927,15400,1.9430251973015922,0.21428571428571427
2,26,1,-1680805678.1640422,15400,1.8994922240575154,0.3125
2,11,1,-1680805678.2800326,15400,1.9227930307388306,0.20703125
2,29,1,-1680805678.2803147,15400,1.947529051038954,0.21875
2,2,1,-1680805678.3876944,15400,1.930031657218933,0.23046875
2,27,1,-1680805678.284467,15400,1.8922932412889268,0.22916666666666666
3,11,1,-1680805678.755565,15400,1.788620114326477,0.3203125
3,19,1,-1680805678.4078615,15400,1.7756458520889282,0.375
3,17,1,-1680805678.905053,15400,1.8052586052152846,0.2951388888888889
3,4,1,-1680805678.480465,15400,1.8129353182656425,0.36607142857142855
3,18,1,-1680805678.3533823,15400,1.6867523590723674,0.5416666666666666
3,7,1,-1680805678.3891969,15400,1.7681482519422258,0.38839285714285715
4,7,1,-1680805678.4794326,15400,1.649837817464556,0.4955357142857143
4,15,1,-1680805678.6196043,15400,1.6692943043178983,0.2708333333333333
4,3,1,-1680805678.4525378,15400,1.7220345905848913,0.25892857142857145
4,9,1,-1680805678.7040846,15400,1.6811626979282923,0.3080357142857143
4,23,1,-1680805678.4584985,15400,1.6610714859432645,0.3923611111111111
4,12,1,-1680805678.5524008,15400,1.7036788761615753,0.31640625
5,11,1,-1680805679.06601,15400,1.6030508428812027,0.39453125
5,23,1,-1680805678.753603,15400,1.5799627833896213,0.4201388888888889
5,8,1,-1680805678.5611598,15400,1.6534755740846907,0.29464285714285715
5,19,1,-1680805679.1789315,15400,1.564758062362671,0.41015625
5,22,1,-1680805678.791982,15400,1.5634108119540744,0.5138888888888888
5,25,1,-1680805678.737995,15400,1.572569105360243,0.4409722222222222
6,18,1,-1680805679.2741618,15400,1.4236270586649578,0.59375
6,15,1,-1680805678.8267655,15400,1.5189396805233426,0.4375
6,2,1,-1680805678.9063954,15400,1.5557988435029984,0.55859375
6,24,1,-1680805678.703575,15400,1.6060359954833985,0.3625
6,25,1,-1680805678.8646054,15400,1.4850670761532254,0.4652777777777778
6,26,1,-1680805678.6424088,15400,1.4841287665896945,0.4652777777777778
7,2,1,-1680805679.3797739,15400,1.4736087918281555,0.66796875
7,1,1,-1680805678.9970696,15400,1.4579083238329207,0.5714285714285714
7,10,1,-1680805678.7974412,15400,1.4813055992126465,0.5803571428571429
7,12,1,-1680805679.0202737,15400,1.4640465080738068,0.59765625
7,20,1,-1680805679.003137,15400,1.364719772338867,0.603125
7,4,1,-1680805678.998229,15400,1.4589311735970634,0.6026785714285714
8,7,1,-1680805680.0611231,15400,1.342636959893363,0.6473214285714286
8,6,1,-1680805678.8828063,15400,1.3801285028457642,0.7098214285714286
8,12,1,-1680805679.092495,15400,1.3880605101585388,0.65625
8,4,1,-1680805679.755249,15400,1.3896202189581734,0.6919642857142857
8,11,1,-1680805679.4900208,15400,1.3908782303333282,0.62109375
8,22,1,-1680805679.0700314,15400,1.3348603248596191,0.65625
9,14,1,-1680805679.277802,15400,1.2964277267456055,0.6640625
9,8,1,-1680805678.998722,15400,1.3912131445748466,0.6517857142857143
9,19,1,-1680805680.1524563,15400,1.2862830609083176,0.625
9,4,1,-1680805680.1796136,15400,1.3325976303645544,0.6205357142857143
9,11,1,-1680805680.5009153,15400,1.3279280215501785,0.69140625
9,5,1,-1680805679.1961768,15400,1.3177877813577652,0.67578125
10,15,1,-1680805679.4801314,15400,1.286097182167901,0.6458333333333334
10,1,1,-1680805680.2709,15400,1.2658083949770247,0.6383928571428571
10,13,1,-1680805679.1837316,15400,1.2958638966083527,0.6484375
10,0,1,-1680805679.928195,15400,1.2712826430797577,0.65625
10,29,1,-1680805679.7734342,15400,1.2930404610104032,0.6041666666666666
10,18,1,-1680805679.4635303,15400,1.189660628636678,0.5729166666666666
11,29,1,-1680805679.443481,15400,1.2416622638702393,0.6215277777777778
11,25,1,-1680805680.8055873,15400,1.189010050561693,0.6840277777777778
11,14,1,-1680805680.009621,15400,1.1958487927913666,0.73828125
11,27,1,-1680805679.2667918,15400,1.2055314779281616,0.6770833333333334
11,17,1,-1680805680.2232494,15400,1.2785756190617878,0.6631944444444444
11,24,1,-1680805680.4731596,15400,1.3178430199623108,0.6375
12,8,1,-1680805680.543243,15400,1.2291100876671928,0.6875
12,21,1,-1680805679.7992678,15400,1.139863520860672,0.6875
12,15,1,-1680805679.5785673,15400,1.190313008096483,0.71875
12,11,1,-1680805680.6431727,15400,1.1744697093963623,0.76171875
12,16,1,-1680805680.293242,15400,1.143587350845337,0.6527777777777778
12,27,1,-1680805680.5397859,15400,1.1604757176505194,0.7083333333333334
13,21,1,-1680805680.5974357,15400,1.095862716436386,0.60546875
13,5,1,-1680805679.5458899,15400,1.1290061324834824,0.6953125
13,27,1,-1680805679.8974485,15400,1.1252742211023967,0.71875
13,9,1,-1680805679.7012455,15400,1.1353905541556222,0.6964285714285714
13,8,1,-1680805680.3221743,15400,1.180232320513044,0.7098214285714286
13,25,1,-1680805680.2213016,15400,1.0867422421773274,0.5972222222222222
14,3,1,-1680805680.858343,15400,1.1485998630523682,0.71875
14,19,1,-1680805680.0149176,15400,1.0702900141477585,0.6328125
14,16,1,-1680805680.22926,15400,1.0710687107510037,0.6423611111111112
14,24,1,-1680805680.7106771,15400,1.205647385120392,0.621875
14,20,1,-1680805680.9190729,15400,1.0389309585094453,0.74375
14,22,1,-1680805680.2201254,15400,1.0287925203641255,0.7673611111111112
15,0,1,-1680805679.7760932,15400,1.0596834644675255,0.69140625
15,23,1,-1680805680.2072392,15400,1.0298494961526659,0.78125
15,16,1,-1680805680.284678,15400,1.0286841260062323,0.71875
15,1,1,-1680805680.7281456,15400,1.0469184603009904,0.7455357142857143
15,5,1,-1680805680.3191764,15400,1.0552456974983215,0.70703125
15,6,1,-1680805681.365939,15400,1.039526002747672,0.8125
16,13,1,-1680805680.8052583,15400,1.0433899015188217,0.74609375
16,7,1,-1680805681.1270018,15400,1.0018662810325623,0.6964285714285714
16,9,1,-1680805680.1745753,15400,1.0403955493654524,0.6875
16,11,1,-1680805680.9915814,15400,1.026669293642044,0.76953125
16,15,1,-1680805681.4428651,15400,1.043448309103648,0.7326388888888888
16,28,1,-1680805680.727232,15400,0.9941009283065796,0.796875
17,13,1,-1680805680.2876742,15400,1.0095448046922684,0.796875
17,9,1,-1680805680.510205,15400,1.0063054476465498,0.6696428571428571
17,26,1,-1680805680.57835,15400,0.9648387233416239,0.7743055555555556
17,11,1,-1680805680.5297265,15400,0.9959813952445984,0.7734375
17,25,1,-1680805681.2537725,15400,0.9789188835355971,0.7604166666666666
17,16,1,-1680805681.5259135,15400,0.980405741267734,0.7604166666666666
18,7,1,-1680805681.0088565,15400,0.9558960114206586,0.7098214285714286
18,14,1,-1680805680.605658,15400,0.9602861925959587,0.8359375
18,21,1,-1680805680.6018314,15400,0.9495451971888542,0.73828125
18,3,1,-1680805681.0964139,15400,1.0296308994293213,0.7053571428571429
18,10,1,-1680805681.5392451,15400,1.00599239553724,0.7589285714285714
18,5,1,-1680805681.6108756,15400,0.975218765437603,0.72265625
19,16,1,-1680805680.8248887,15400,0.9349857105149163,0.7534722222222222
19,21,1,-1680805681.484265,15400,0.9296124875545502,0.8046875
19,3,1,-1680805681.1827796,15400,1.007416112082345,0.6875
19,1,1,-1680805680.6955462,15400,0.9387696725981576,0.7321428571428571
19,25,1,-1680805681.4554286,15400,0.9247163401709663,0.7569444444444444
19,26,1,-1680805680.5354183,15400,0.9089083340432909,0.7986111111111112
20,4,1,-1680805681.2396193,15400,0.9377616814204625,0.75
20,21,1,-1680805681.561333,15400,0.9127646386623383,0.7578125
20,28,1,-1680805680.6209016,15400,0.8900922164320946,0.8125
20,25,1,-1680805680.947278,15400,0.896126925945282,0.7673611111111112
20,24,1,-1680805680.5931659,15400,1.0300096929073335,0.6875
20,23,1,-1680805681.536928,15400,0.9150497184859382,0.7361111111111112
21,9,1,-1680805681.3869753,15400,0.9405773707798549,0.7857142857142857
21,22,1,-1680805681.9452455,15400,0.8492677277988858,0.8020833333333334
21,28,1,-1680805680.7185845,15400,0.8700196892023087,0.7734375
21,20,1,-1680805680.680836,15400,0.8521326899528503,0.8
21,5,1,-1680805681.6837752,15400,0.9180852621793747,0.734375
21,13,1,-1680805680.8954506,15400,0.9152250811457634,0.80859375
22,29,1,-1680805681.4650621,15400,0.9078051249186198,0.6805555555555556
22,0,1,-1680805681.1725326,15400,0.8990248516201973,0.734375
22,14,1,-1680805681.5484853,15400,0.8680394813418388,0.85546875
22,19,1,-1680805680.76464,15400,0.892156645655632,0.71875
22,7,1,-1680805682.0234048,15400,0.8648181131907872,0.7857142857142857
22,4,1,-1680805680.9563751,15400,0.8992062977382115,0.8214285714285714
23,9,1,-1680805682.353899,15400,0.8862979922975812,0.8258928571428571
23,0,1,-1680805681.870081,15400,0.874168835580349,0.6953125
23,24,1,-1680805681.5766842,15400,0.9711009681224823,0.696875
23,29,1,-1680805681.4271958,15400,0.8813215229246352,0.7708333333333334
23,2,1,-1680805681.5856423,15400,0.8940834552049637,0.7890625
23,26,1,-1680805680.9997811,15400,0.819486485587226,0.8541666666666666
24,12,1,-1680805681.955981,15400,0.8397306725382805,0.828125
24,5,1,-1680805681.5112588,15400,0.8612478449940681,0.73828125
24,18,1,-1680805682.2021747,15400,0.8149795929590861,0.6944444444444444
24,6,1,-1680805681.4061139,15400,0.8324393204280308,0.7901785714285714
24,22,1,-1680805682.2393231,15400,0.7834199335840013,0.8541666666666666
24,26,1,-1680805682.0767074,15400,0.790199339389801,0.8541666666666666
25,24,1,-1680805682.2739623,15400,0.9365689098834992,0.690625
25,27,1,-1680805681.8389063,15400,0.842825280295478,0.78125
25,26,1,-1680805681.8762052,15400,0.7752331164148119,0.8888888888888888
25,12,1,-1680805681.2847419,15400,0.8108451664447784,0.8515625
25,0,1,-1680805681.3685887,15400,0.8439271524548531,0.7890625
25,6,1,-1680805681.9605343,15400,0.8068402579852513,0.84375
