Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,16,1,-1680462322.796937,89592,1.2210802485545476,0.5735677083333334
1,41,1,-1680462321.9236984,89592,0.9064116700627338,0.6853448275862069
1,4,1,-1680462321.807364,89592,1.563136334660687,0.4196993670886076
1,24,1,-1680462315.5016208,89592,1.619522389275076,0.29260089686098656
1,30,1,-1680462321.536801,89592,1.0080446791648865,0.516875
1,31,1,-1680462321.510268,89592,1.300384269177335,0.6104368932038835
1,7,1,-1680462320.7470725,89592,0.9222353236241774,0.7381993006993007
1,8,1,-1680462320.7911732,89592,1.2813595819146666,0.413527397260274
1,28,1,-1680462320.440851,89592,1.4737339860353715,0.3703926282051282
1,36,1,-1680462319.4985015,89592,0.9775815955523787,0.6787253694581281
2,16,1,-1680462326.5932207,89592,0.7463761828839779,0.6015625
2,38,1,-1680462324.6718993,89592,1.1520776818780338,0.46078431372549017
2,42,1,-1680462324.1130981,89592,0.6515031287303338,0.8427884615384615
2,23,1,-1680462324.8242624,89592,0.7714747369930308,0.5641801075268817
2,5,1,-1680462321.5532596,89592,1.2912113204482913,0.4488856589147287
2,13,1,-1680462329.3743343,89592,1.354434437042958,0.3559966216216216
2,3,1,-1680462322.2748644,89592,1.1127689134574936,0.5275074850299402
2,48,1,-1680462321.7800655,89592,0.780063272211593,0.713692196531792
2,19,1,-1680462322.7473395,89592,0.6348570347788499,0.6746323529411765
2,10,1,-1680462322.118452,89592,1.2154858328794178,0.5180921052631579
3,38,1,-1680462327.934746,89592,1.1075372906292187,0.4957107843137255
3,37,1,-1680462326.828266,89592,1.0114392802903527,0.5448190789473685
3,4,1,-1680462337.2949824,89592,1.2782951744296882,0.4564873417721519
3,23,1,-1680462324.8563704,89592,0.7412341531886849,0.5799731182795699
3,30,1,-1680462336.8411233,89592,0.806890858411789,0.506875
3,15,1,-1680462326.4701867,89592,0.9140490582064976,0.6857638888888888
3,8,1,-1680462336.9987037,89592,1.1278730610462084,0.4511986301369863
3,48,1,-1680462335.348436,89592,0.7311921831155788,0.7247109826589595
3,40,1,-1680462323.0071833,89592,1.261366877555847,0.39785714285714285
3,34,1,-1680462329.3741724,89592,0.9454681431476156,0.7161069651741293
4,4,1,-1680462332.7895617,89592,1.2370404563372648,0.47824367088607594
4,30,1,-1680462346.175955,89592,0.808601341843605,0.5175
4,25,1,-1680462331.0890417,89592,0.8094967851098979,0.4970518867924528
4,46,1,-1680462338.1200035,89592,1.0423998604311007,0.5227803738317757
4,15,1,-1680462344.4112208,89592,0.9034874252383671,0.6808035714285714
4,5,1,-1680462334.7714083,89592,1.2706352245900059,0.4617248062015504
4,19,1,-1680462343.0316606,89592,0.5612427454421864,0.7484959893048129
4,1,1,-1680462330.676049,89592,1.3118520047929552,0.37218915343915343
4,6,1,-1680462337.4683468,89592,1.4173160291088678,0.38099093264248707
4,9,1,-1680462323.4813292,89592,1.2703577936559483,0.4855072463768116
5,22,1,-1680462337.6218793,89592,0.5199779762375739,0.8034274193548387
5,16,1,-1680462348.3633428,89592,0.7983112099270026,0.6328125
5,29,1,-1680462346.8795447,89592,0.4385002933974777,0.8549107142857143
5,41,1,-1680462352.2707272,89592,0.6135948625789291,0.7374281609195402
5,39,1,-1680462334.096554,89592,1.2666421414663394,0.4488932291666667
5,15,1,-1680462337.75157,89592,0.8725048620549459,0.6800595238095238
5,47,1,-1680462339.5846076,89592,1.1442259986892,0.4532442748091603
5,1,1,-1680462347.31448,89592,1.208810012807291,0.43683862433862436
5,33,1,-1680462324.0435286,89592,1.2873049580773641,0.44069767441860463
5,44,1,-1680462345.2422338,89592,1.3811155672996276,0.4464465725806452
6,0,1,-1680462342.7987704,89592,0.5015988844598449,0.8655523255813954
6,16,1,-1680462346.7836182,89592,0.693425220126907,0.6575520833333334
6,42,1,-1680462328.034382,89592,0.5938730363662427,0.8418269230769231
6,37,1,-1680462362.3128226,89592,0.9447129125657835,0.5760690789473685
6,30,1,-1680462352.7108254,89592,0.727529165148735,0.570625
6,31,1,-1680462347.7802167,89592,0.9868320689618009,0.6137742718446602
6,5,1,-1680462336.9887078,89592,1.18167978294136,0.48716085271317827
6,2,1,-1680462344.686944,89592,1.3690362948924304,0.4771484375
6,36,1,-1680462353.5641294,89592,0.8401399589524481,0.6685652709359606
6,9,1,-1680462349.200454,89592,1.167520761201923,0.5375905797101449
7,37,1,-1680462351.2162597,89592,0.9277016183263377,0.6056743421052632
7,4,1,-1680462365.1925871,89592,1.0909166992465151,0.5739715189873418
7,41,1,-1680462352.673569,89592,0.5632943750798017,0.7640086206896551
7,23,1,-1680462331.4050663,89592,0.7174421811616549,0.6223118279569892
7,20,1,-1680462356.1434612,89592,0.7083583236410377,0.6706460674157303
7,25,1,-1680462345.6309834,89592,0.7917938963422235,0.5061910377358491
7,3,1,-1680462347.7159953,89592,1.084119651488915,0.5290044910179641
7,6,1,-1680462347.8485723,89592,1.3232064268749613,0.4425194300518135
7,34,1,-1680462354.290658,89592,0.8840528797747483,0.7115982587064676
7,9,1,-1680462348.7838843,89592,1.1427393875260283,0.5501207729468599
8,12,1,-1680462364.5501413,89592,0.8669474522272745,0.6625
8,23,1,-1680462354.343598,89592,0.6915907840574941,0.6589381720430108
8,46,1,-1680462357.1262853,89592,0.9044509223688428,0.6232476635514018
8,15,1,-1680462334.3333862,89592,0.834149894969804,0.6847718253968254
8,5,1,-1680462369.7691307,89592,1.176220138867696,0.49709302325581395
8,8,1,-1680462350.7580862,89592,1.000528671561855,0.5569349315068494
8,2,1,-1680462348.0046844,89592,1.3260307725518943,0.4984375
8,14,1,-1680462352.9189248,89592,1.2666246323358445,0.45023148148148145
8,24,1,-1680462355.410354,89592,1.2475002996055535,0.4805213004484305
8,32,1,-1680462356.5417476,89592,1.0235413888667493,0.5531914893617021
9,17,1,-1680462375.5992317,89592,0.6774428859353065,0.771875
9,0,1,-1680462361.3895874,89592,0.38140585775985275,0.8822674418604651
9,43,1,-1680462359.9531455,89592,0.0327294815307189,0.9972587719298246
9,29,1,-1680462364.758154,89592,0.39175991447908537,0.8510044642857143
9,21,1,-1680462374.2070544,89592,0.6869312460223834,0.7494791666666667
9,23,1,-1680462368.3458948,89592,0.6849041154948614,0.6633064516129032
9,39,1,-1680462353.926158,89592,1.1655651753147442,0.5139973958333334
9,8,1,-1680462374.8129935,89592,0.9435356369573776,0.5764126712328768
9,11,1,-1680462355.067611,89592,0.9129673287192768,0.5939171122994652
9,32,1,-1680462355.0935113,89592,0.964384407946404,0.5833776595744681
10,17,1,-1680462383.0522606,89592,0.6122760623693466,0.8125
10,0,1,-1680462369.9125347,89592,0.3393317417696465,0.8931686046511628
