Round,Cid,Size of parameters,Loss,Accuracy
1,31,89592,0.5964340468247732,0.8333333333333334
1,30,89592,0.8550957356180463,0.18303571428571427
1,15,89592,2.1038264402976403,0.6370192307692307
1,37,89592,3.2105776346646824,0.0
1,25,89592,1.9668246348698935,0.5833333333333334
1,32,89592,3.146845579147339,0.0
1,45,89592,2.445963051584032,0.0
1,2,89592,2.6871397495269775,0.0
1,18,89592,2.867734352747599,0.0
1,48,89592,2.1182686994815696,0.4709051724137931
1,34,89592,3.038659858703613,0.0
1,39,89592,1.8279839072908675,0.5372023809523809
1,12,89592,2.6248775890895297,0.0
1,42,89592,3.1532095074653625,0.0
1,16,89592,4.07258642803539,0.11079545454545454
1,38,89592,2.578768457685198,0.0
1,1,89592,1.7421532219106501,0.02130681818181818
1,0,89592,1.7324620604515075,0.05416666666666667
1,41,89592,1.0300521448254585,0.5828125
1,36,89592,0.8464867879043926,0.8267045454545454
1,9,89592,2.447593536376953,0.3875
1,27,89592,3.150700602038153,0.0
1,8,89592,1.4801747308057898,0.37316176470588236
1,49,89592,2.8554746586343516,0.0
1,22,89592,2.0361746606372653,0.0
1,3,89592,2.8603294591108956,0.0
1,14,89592,2.5244955799796363,0.05397727272727273
1,33,89592,2.687273714277479,0.0
1,29,89592,3.108499365468179,0.0
1,13,89592,2.141782808303833,0.38645833333333335
1,10,89592,2.685464286804199,0.0
1,4,89592,1.3688666692801885,0.5959821428571429
1,40,89592,3.0889239872203156,0.0
1,20,89592,2.0804959759116173,0.5703125
1,47,89592,2.158397184477912,0.027777777777777776
1,7,89592,0.07176696136593819,1.0
1,43,89592,3.032256237665812,0.06041666666666667
1,21,89592,3.266426024898406,0.0
1,17,89592,2.1666080512498556,0.26973684210526316
1,19,89592,2.0949266687516244,0.24495967741935484
1,26,89592,1.6734804312388103,0.6423611111111112
1,44,89592,1.835968017578125,0.0
1,5,89592,3.370669416018895,0.0
1,6,89592,3.371875861111809,0.0
1,28,89592,0.5341533241064652,0.9633152173913043
1,11,89592,2.0271726879808636,0.3272569444444444
1,46,89592,2.6919916657840504,0.0
1,35,89592,1.730144238471985,0.23541666666666666
1,24,89592,0.22123097492889923,0.9872159090909091
1,23,89592,1.7192352499280656,0.004464285714285714
2,31,89592,0.7389970024426779,0.828125
2,45,89592,2.446293671925863,0.0
2,47,89592,2.2767894797854953,0.057291666666666664
2,15,89592,2.2854195741506724,0.0
2,37,89592,3.137661126943735,0.0
2,26,89592,1.5668038129806519,0.3576388888888889
2,14,89592,1.1988887678493152,0.9403409090909091
2,43,89592,2.834572108586629,0.0
2,40,89592,2.6714646956499886,0.1488970588235294
2,22,89592,1.7591149579911005,0.37648809523809523
2,29,89592,2.591978180793024,0.0
2,20,89592,1.6502263695001602,0.259765625
2,46,89592,2.232920871061437,0.001838235294117647
2,32,89592,1.2679048822476313,0.7980769230769231
2,38,89592,0.3900145306473687,0.9494047619047619
2,36,89592,0.9038998728448694,0.7045454545454546
2,48,89592,1.5632573037311948,0.4709051724137931
2,33,89592,2.2416562603579626,0.24739583333333334
2,17,89592,2.3768186067280017,0.0
2,41,89592,1.0636010080575944,0.65
2,44,89592,2.2650803989834256,0.0
2,16,89592,3.2827526439319956,0.10795454545454546
2,8,89592,1.4285744218265308,0.3713235294117647
2,42,89592,0.1860590906192859,0.9296875
2,30,89592,0.6902872238840375,0.7589285714285714
2,9,89592,2.2968220138549804,0.13625
2,35,89592,2.155951150258382,0.0
2,24,89592,0.25387820533730765,0.9431818181818182
2,25,89592,1.8198961734771728,0.16041666666666668
2,49,89592,2.306948931320854,0.2866847826086957
2,18,89592,1.995468223536456,0.2835648148148148
2,7,89592,0.12378174439072609,1.0
2,5,89592,0.11286440065928868,0.9508928571428571
2,34,89592,1.182373595237732,0.89375
2,21,89592,2.803327860370759,0.0
2,3,89592,0.3941231432060401,0.9466145833333334
2,19,89592,0.3584697751268264,0.9304435483870968
2,11,89592,2.0686664117707148,0.0
2,27,89592,2.781118656026906,0.13254310344827586
2,23,89592,0.03705894820658224,0.9955357142857143
2,13,89592,1.3396280705928802,0.6135416666666667
2,10,89592,0.2992883900801341,0.98125
2,1,89592,2.2062079147859053,0.002840909090909091
2,6,89592,2.642073771532844,0.0
2,0,89592,2.073680543899536,0.09895833333333333
2,4,89592,1.360939655985151,0.5736607142857143
2,12,89592,2.283285302775247,0.0
2,28,89592,0.5675351282824641,0.813858695652174
2,2,89592,2.082910754463889,0.21875
2,39,89592,1.4998824653171359,0.45535714285714285
3,34,89592,0.23809891641139985,0.93125
3,43,89592,1.8049097140630086,0.1
3,17,89592,2.4194723179465845,0.0805921052631579
3,30,89592,0.4146703141076224,0.8482142857142857
3,42,89592,0.22076627612113953,0.9661458333333334
3,7,89592,0.16466058641672135,1.0
3,20,89592,2.0952358692884445,0.0
3,46,89592,1.918281779569738,0.22242647058823528
3,1,89592,2.192624818194996,0.08522727272727272
3,6,89592,2.5973619433010326,0.19852941176470587
3,39,89592,1.236223124322437,0.4568452380952381
3,38,89592,0.17663958101045518,0.9761904761904762
3,4,89592,0.36057207946266445,0.921875
3,40,89592,0.28464654526289773,0.8897058823529411
3,10,89592,0.3784623901049296,0.925
3,18,89592,2.3748542732662625,0.003472222222222222
3,36,89592,0.896755497563969,0.5923295454545454
3,27,89592,2.5115371490346976,0.13577586206896552
3,21,89592,2.1749565832076536,0.13407258064516128
3,13,89592,0.9702761153380076,0.6125
3,44,89592,2.331285211775038,0.020833333333333332
