Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,3,1,-1681053495.4026473,8400,1.788762909441995,0.27830567451820126
1,4,1,-1681053497.886965,8400,1.776944031036803,0.26114192807957154
1,2,1,-1681053497.7830937,8400,1.7812447524269042,0.2587372040946897
1,8,1,-1681053497.7624934,8400,1.7665500796141744,0.28768382352941174
1,14,1,-1681053497.717706,8400,1.7573654382899504,0.30118606998654107
1,15,1,-1681053497.4418836,8400,1.7953524139678443,0.2471139143730887
1,18,1,-1681053497.5445957,8400,1.7418978658480957,0.28382230255839824
2,11,1,-1681053501.3856535,8400,1.711902224802756,0.2679710960960961
2,22,1,-1681053501.3360958,8400,1.7451859904140212,0.27872798972853996
2,5,1,-1681053501.124315,8400,1.6950050708054665,0.2630844382414515
2,8,1,-1681053501.5419414,8400,1.6912933048747836,0.2994353991596639
2,9,1,-1681053501.3049734,8400,1.7218886242014975,0.2892821285140562
2,1,1,-1681053501.2135777,8400,1.6940893739729699,0.31743421052631576
2,2,1,-1681053501.3096778,8400,1.7130675252553216,0.2628758797184901
3,4,1,-1681053502.3445518,8400,1.6943223885023238,0.2632459831675593
3,11,1,-1681053502.1194663,8400,1.7023724160931848,0.2679241741741742
3,7,1,-1681053502.5971036,8400,1.7169516839685806,0.3065917325428195
3,17,1,-1681053501.3811395,8400,1.7284126585456216,0.2655453821656051
3,15,1,-1681053501.3001595,8400,1.724732743344905,0.2698012232415902
3,2,1,-1681053502.278142,8400,1.7054240917900167,0.2803302943058221
3,18,1,-1681053501.2376451,8400,1.679166194528043,0.28389182424916576
4,12,1,-1681053501.570104,8400,1.606743442900304,0.3113262910798122
4,4,1,-1681053503.0575051,8400,1.6910401766046643,0.2680996557000765
4,3,1,-1681053503.0385325,8400,1.7027016775170707,0.2800901142041399
4,9,1,-1681053501.5685444,8400,1.7100955872650605,0.3142361111111111
4,7,1,-1681053502.8361623,8400,1.713272429109405,0.31223237812911725
4,2,1,-1681053501.5097005,8400,1.701615103528199,0.29322616762635956
4,15,1,-1681053502.605219,8400,1.7213141757778436,0.2771597859327217
5,11,1,-1681053501.8303943,8400,1.693705291719408,0.2690972222222222
5,19,1,-1681053501.8234274,8400,1.7073793485652553,0.2714531930333817
