Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,14,1,-1681840063.0250428,2329128,0.02805948626199687,0.629222972972973
1,7,1,-1681840068.0680625,2329128,0.03941315899137408,0.94375
1,16,1,-1681840067.5650537,2329128,0.026329400185018014,0.9262820512820513
1,15,1,-1681840067.9539323,2329128,0.033173175738193096,0.8265625
1,30,1,-1681840067.633467,2329128,0.03387911492229804,0.6677989130434783
1,24,1,-1681840066.5220587,2329128,0.02433598223516996,0.7546695402298851
1,8,1,-1681840067.2638338,2329128,0.04051906836943494,0.5579861111111111
1,4,1,-1681840066.6016614,2329128,0.03977528434719831,0.611359126984127
1,20,1,-1681840066.482294,2329128,0.02987465722253546,0.7744140625
1,12,1,-1681840066.2326047,2329128,0.027129636167715125,0.7309602649006622
2,26,1,-1681840074.1345742,21600,0.04633669125346037,0.6141826923076923
2,31,1,-1681840074.1807935,21600,0.04716923336187998,0.6416666666666667
2,3,1,-1681840072.3552752,21600,0.041666666866032355,0.5673738532110092
2,5,1,-1681840072.817364,21600,0.023249693166721482,0.7855603448275862
2,9,1,-1681840072.9082654,21600,0.03764646654498988,0.6721443965517241
2,21,1,-1681840072.8462903,21600,0.035430474313242095,0.6949404761904762
2,23,1,-1681840072.5805333,21600,0.02398340954565473,0.7590725806451613
2,33,1,-1681840072.4149246,21600,0.03577413405119269,0.675
2,32,1,-1681840072.2932897,21600,0.03235255276233378,0.6335827464788732
2,25,1,-1681840071.9502852,21600,0.03286617911744413,0.7253989361702128
3,34,1,-1681840074.3977423,21600,0.057435831800103185,0.634375
3,15,1,-1681840076.1205182,21600,0.01714022920932621,0.86484375
3,30,1,-1681840074.9125843,21600,0.021429850760361423,0.734375
3,18,1,-1681840073.9734423,21600,0.05042094626912364,0.45891203703703703
3,0,1,-1681840074.163123,21600,0.0327350718491688,0.7019817073170732
3,19,1,-1681840073.6717467,21600,0.04465869879237858,0.6408132530120482
3,8,1,-1681840073.8077118,21600,0.03024849585360951,0.6979166666666666
3,2,1,-1681840074.9219654,21600,0.03468547593641641,0.7648168103448276
3,23,1,-1681840073.7265816,21600,0.0068412443450201425,0.9553931451612904
3,20,1,-1681840074.1294734,21600,0.012223967638419708,0.95751953125
4,34,1,-1681840076.7019782,21600,0.02568712035814921,0.6927083333333334
4,15,1,-1681840075.9756646,21600,0.012689847068395465,0.865625
4,28,1,-1681840075.321478,21600,0.04255534910286466,0.681640625
4,6,1,-1681840075.401058,21600,0.04472190415596261,0.7561274509803921
4,19,1,-1681840076.6629124,21600,0.020138107565601904,0.8313253012048193
4,0,1,-1681840076.1377869,21600,0.012586224977517636,0.9173018292682927
4,2,1,-1681840074.3426328,21600,0.011272584786638618,0.9175646551724138
4,4,1,-1681840076.5608542,21600,0.01824075612609112,0.8970734126984127
4,25,1,-1681840073.956494,21600,0.010578134206143465,0.9530141843971631
4,12,1,-1681840076.0221846,21600,0.010525393284339187,0.9710264900662252
5,7,1,-1681840080.7959526,21600,0.005695201293565333,1.0
5,16,1,-1681840076.2018554,21600,0.01063801987001147,0.9527243589743589
5,29,1,-1681840078.953975,21600,0.03958479849000772,0.8173611111111111
5,22,1,-1681840078.1028981,21600,0.02176630110708905,0.9369877049180327
5,1,1,-1681840081.2443182,21600,0.04079104613670161,0.6875
5,24,1,-1681840076.3860066,21600,0.010192080845135724,0.9698275862068966
5,3,1,-1681840080.175283,21600,0.017754622888879492,0.8950688073394495
5,5,1,-1681840080.6575117,21600,0.008384768867158684,0.9714439655172413
5,20,1,-1681840080.247457,21600,0.007114223626558669,0.97265625
5,32,1,-1681840077.3016047,21600,0.012495896146094925,0.9434419014084507
6,31,1,-1681840081.4854014,21600,0.0180920268719395,0.8364583333333333
6,16,1,-1681840081.9471872,21600,0.008157417100543777,0.9527243589743589
6,15,1,-1681840083.2635949,21600,0.014222414675168693,0.865625
6,18,1,-1681840079.8039277,21600,0.030724872386565915,0.8136574074074074
6,0,1,-1681840086.1107948,21600,0.007178984843648788,0.9885670731707317
6,24,1,-1681840078.4394433,21600,0.005704924753256913,0.9834770114942529
6,21,1,-1681840079.8055875,21600,0.01107251937279389,0.9401785714285714
6,5,1,-1681840081.3668053,21600,0.004428921911688843,0.9857219827586207
