Round,Cid,Size of parameters,Loss,Accuracy
5,16,21600,2.305246949661523,0.0
5,34,21600,2.3408380003646014,0.26875
5,30,21600,2.316906208704625,0.0
5,37,21600,2.2987235016905916,0.0
5,38,21600,2.2976055188947138,0.0
5,47,21600,2.346124908162488,0.0
5,46,21600,2.2998445511603838,0.0
5,45,21600,2.3506927432285414,0.013888888888888888
5,20,21600,2.293346445861971,0.1953125
5,39,21600,2.3886533515372625,0.0
5,4,21600,2.3540332134746547,0.0
5,1,21600,2.2912823481019586,0.017045454545454544
5,22,21600,2.280154611039463,0.34672619047619047
5,48,21600,2.286597290895237,0.08189655172413793
5,19,21600,2.3213495693409874,0.0
5,11,21600,2.2936842639335535,0.3185763888888889
5,0,21600,2.291668188835805,0.0
5,21,21600,2.3060363772655688,0.0010080645161290322
5,36,21600,2.2943175034491685,0.2883522727272727
5,33,21600,1.356394085412224,0.5043402777777778
5,26,21600,2.29651847264419,0.3263888888888889
5,23,21600,2.243476585418518,0.5848214285714286
5,31,21600,2.3354183299622187,0.0
5,8,21600,2.315772261799258,0.2702205882352941
5,43,21600,2.256910459386806,0.625
5,25,21600,2.2943488178153832,0.29791666666666666
5,14,21600,2.3211475302549927,0.0
5,17,21600,2.314719055142058,0.05592105263157895
5,28,21600,2.3223389386928277,0.0
5,42,21600,2.295001599860067,0.078125
5,9,21600,2.322064585760236,0.0325
5,32,21600,2.3233549106293,0.28966346153846156
5,18,21600,2.333031191870018,0.0
5,3,21600,2.3101460396234565,0.0
5,24,21600,2.4041516382924537,0.0
5,5,21600,2.2998616541403214,0.011160714285714286
5,49,21600,2.2958796077367403,0.25815217391304346
5,13,21600,2.295902518865963,0.39791666666666664
5,15,21600,2.2661422372867284,0.125
5,7,21600,2.3519271791446954,0.0
5,12,21600,2.3252602085537677,0.0
5,40,21600,2.314988746855627,0.0055147058823529415
5,44,21600,2.2726682394536004,0.14930555555555555
5,35,21600,2.25969823282212,0.5458333333333333
5,6,21600,2.278859370004605,0.051470588235294115
5,10,21600,2.3133332480986915,0.41041666666666665
5,2,21600,2.3249068984084507,0.3352272727272727
5,29,21600,2.2617635371373788,0.3629032258064516
5,27,21600,2.270576141533795,0.3265086206896552
5,41,21600,2.3137259097537024,0.0
6,30,21600,1.1354577232684409,0.17857142857142858
6,42,21600,0.5262519388149182,0.9713541666666666
6,17,21600,2.3128907292297014,0.018092105263157895
6,7,21600,2.3685464560985565,0.0
6,14,21600,2.4114906157959592,0.0
6,34,21600,2.330645326152444,0.0
6,38,21600,2.296554158663466,0.0
6,19,21600,2.316885092866517,0.05241935483870968
6,43,21600,2.3105271218344567,0.0125
6,10,21600,2.397839769969384,0.0
6,24,21600,2.265120929805562,0.0014204545454545455
6,8,21600,2.3412913844427643,0.08272058823529412
6,0,21600,0.45570275112986564,0.9
6,32,21600,2.3046407849671176,0.0
6,47,21600,2.323272572002477,0.0
6,40,21600,2.3372694148052044,0.10294117647058823
6,46,21600,2.335841168923413,0.014705882352941176
6,12,21600,2.365138256722795,0.0
6,13,21600,2.387630258128047,0.0
6,31,21600,0.4572366749246915,0.9739583333333334
6,33,21600,1.3767444741808705,0.5043402777777778
6,20,21600,2.308108059762162,0.021484375
6,16,21600,3.847506229511716,0.10795454545454546
6,23,21600,2.4497073963284492,0.0
6,25,21600,2.298945963506897,0.29791666666666666
6,48,21600,2.305568667963661,0.10775862068965517
6,49,21600,2.3133437769568483,0.25815217391304346
6,1,21600,2.352689510888674,0.0
6,9,21600,0.679289425611496,0.945
6,26,21600,2.2864900839825473,0.09722222222222222
6,4,21600,2.3633606980687807,0.0
6,11,21600,2.3434939068845577,0.0
6,21,21600,2.336835336961573,0.125
6,41,21600,2.3332544059026987,0.0640625
6,22,21600,2.330854028995548,0.1056547619047619
6,15,21600,2.3048864782143097,0.028846153846153848
6,2,21600,0.6138239829716358,0.7116477272727273
6,18,21600,2.3203618273276976,0.4386574074074074
6,6,21600,2.336444675045855,0.0
6,35,21600,2.302859050470094,0.0
6,29,21600,2.2968801140574917,0.0
6,44,21600,2.3644552350872092,0.0
6,45,21600,2.367254559571544,0.006944444444444444
6,37,21600,1.215150229059733,0.11057692307692307
6,28,21600,2.3333294297689977,0.10733695652173914
6,27,21600,2.311563316668416,0.1336206896551724
6,5,21600,0.38302490753786905,0.9040178571428571
6,36,21600,0.9111514225263487,0.8167613636363636
6,3,21600,2.3048130590080596,0.2591145833333333
6,39,21600,2.296617355197668,0.12202380952380952
1,45,21600,2.318721097583572,0.10590277777777778
1,30,21600,1.0361421725579671,0.1875
1,31,21600,0.4460548758506775,0.9739583333333334
1,2,21600,0.6869041611525145,0.7088068181818182
1,48,21600,2.3243229483607513,0.16810344827586207
1,37,21600,0.47230567783117294,0.8653846153846154
1,25,21600,2.3721498152861993,0.0
1,18,21600,2.3685772591442973,0.0
1,15,21600,2.3231082097985425,0.34375
1,32,21600,2.3856745640245767,0.0
1,34,21600,0.9104323595762253,0.55
1,39,21600,2.3497713770539987,0.002976190476190476
1,16,21600,4.239703659984198,0.10795454545454546
1,36,21600,1.1497591923583637,0.6392045454545454
1,38,21600,2.282075066075084,0.5639880952380952
1,9,21600,0.7110575613379478,0.945
1,42,21600,0.6134659561018149,0.9739583333333334
1,49,21600,2.2957694694075896,0.19701086956521738
1,12,21600,2.2926639488099942,0.5212053571428571
1,0,21600,0.4971205805738767,0.903125
1,1,21600,2.2928151464809408,0.08806818181818182
1,29,21600,2.311182604321549,0.009072580645161291
1,41,21600,1.3793027997016907,0.584375
1,8,21600,1.686544954776764,0.3786764705882353
1,40,21600,2.342178854324362,0.0
1,27,21600,2.3139521966142387,0.19719827586206898
1,33,21600,1.3827017516725593,0.5008680555555556
1,3,21600,1.0003446169818442,0.77734375
1,14,21600,2.400467378002676,0.0
1,10,21600,2.3703847507635754,0.0
1,13,21600,2.362776541834076,0.0
1,47,21600,2.3259620264482996,0.0
1,22,21600,2.308739810206351,0.008928571428571428
1,43,21600,2.340368717350066,0.0
1,7,21600,0.1664203427731991,1.0
1,20,21600,0.8185188779607415,0.841796875
1,4,21600,1.542603928063597,0.5357142857142857
7,15,21600,2.290623164592454,0.028846153846153848
7,5,21600,0.39926395086305483,0.8995535714285714
7,19,21600,2.300397598725413,0.0
7,26,21600,2.2901521002770298,0.3263888888888889
7,44,21600,2.310884568736785,0.0
1,21,21600,2.2893838579015386,0.41330645161290325
7,47,21600,2.3251578477469996,0.0
7,32,21600,2.3194767885053387,0.28966346153846156
7,36,21600,1.2302237234332345,0.640625
7,7,21600,0.1912103768438101,1.0
7,4,21600,1.5235597265086003,0.5334821428571429
7,24,21600,0.738081849434159,0.9772727272727273
1,17,21600,2.323604945583563,0.0
7,23,21600,0.2017312470291342,0.9955357142857143
7,18,21600,2.365036100683803,0.0
7,10,21600,2.329064572850863,0.0
7,31,21600,0.48224106182654697,0.9739583333333334
1,19,21600,2.300525357285815,0.3951612903225806
7,33,21600,1.3733663432714012,0.5043402777777778
7,39,21600,2.2970293618827347,0.1324404761904762
7,11,21600,2.330849778088224,0.0
7,48,21600,2.3303784497788755,0.0
7,28,21600,0.788303994614145,0.9307065217391305
7,38,21600,2.278329537338799,0.3125
7,1,21600,2.3409153085879306,0.05113636363636364
7,42,21600,0.5523597691208124,0.9739583333333334
7,21,21600,2.328095491630055,0.125
7,2,21600,0.6531925899061289,0.7144886363636364
7,45,21600,2.3238998543626317,0.0
7,17,21600,2.311965273006966,0.0
7,35,21600,2.276260303519666,0.09166666666666666
7,37,21600,0.4450918487631358,0.8629807692307693
7,34,21600,0.8606954336166381,0.50625
7,46,21600,2.2922988750369235,0.0
7,13,21600,2.290896612359211,0.15520833333333334
7,14,21600,2.312399437651038,0.017045454545454544
7,49,21600,2.3484243240369405,0.0
7,29,21600,2.297090639495441,0.0
7,20,21600,0.7759649781510234,0.841796875
7,40,21600,2.296718516441829,0.001838235294117647
7,25,21600,0.6186732396483421,0.9229166666666667
7,30,21600,1.0973641212497438,0.17857142857142858
7,27,21600,2.299207139342766,0.2349137931034483
7,16,21600,4.247609868645668,0.11363636363636363
7,43,21600,2.2843559593583147,0.0375
7,8,21600,1.768244719680618,0.375
7,22,21600,2.2839774699615583,0.17708333333333334
7,12,21600,2.284879203919055,0.0
7,41,21600,1.1945213790982963,0.60703125
7,3,21600,0.9731851005926728,0.77734375
7,6,21600,0.6342519175480393,0.9669117647058824
7,0,21600,0.49338258132338525,0.9020833333333333
7,9,21600,0.2873475293815136,0.95125
1,46,21600,2.3477748188135377,0.0
1,35,21600,2.3016892515743774,0.17291666666666666
1,6,21600,0.658729777616613,0.9669117647058824
1,24,21600,0.7413916228847071,0.9772727272727273
1,11,21600,2.3061884914705946,0.2552083333333333
1,23,21600,0.2625118712229388,0.9955357142857143
1,28,21600,0.7436003885839296,0.9293478260869565
1,26,21600,2.267100923953371,0.4513888888888889
1,44,21600,2.3049912928189666,0.0
1,5,21600,0.4591278348650251,0.9017857142857143
1,31,21600,0.6485032700002193,0.8385416666666666
1,32,21600,0.7334130165668634,0.7115384615384616
1,15,21600,1.695687999519018,0.37259615384615385
1,45,21600,2.31840254418138,0.10590277777777778
1,2,21600,0.35702267864888365,0.9545454545454546
1,48,21600,2.3243229484249808,0.16810344827586207
1,30,21600,1.0354273553405489,0.1875
1,34,21600,0.9374409496784211,0.5375
1,18,21600,2.374378902906621,0.0
1,25,21600,0.6604683637619019,0.925
1,37,21600,0.47536068581617796,0.8653846153846154
1,16,21600,3.3344070173122664,0.10795454545454546
8,31,21600,0.6912854847808679,0.828125
8,35,21600,2.329947260643045,0.0
8,47,21600,2.3887754105445413,0.059027777777777776
8,34,21600,0.8526229828596115,0.5375
1,38,21600,0.7943851255944797,0.8154761904761905
8,20,21600,0.7861120025627315,0.83984375
1,12,21600,0.39926261215337683,0.9542410714285714
1,39,21600,2.3497713771426962,0.002976190476190476
8,12,21600,0.3630928982581411,0.953125
8,49,21600,2.3015253889657883,0.28396739130434784
8,4,21600,1.6923017863716399,0.5580357142857143
8,19,21600,1.1635375378593322,0.6038306451612904
8,22,21600,2.3067107313268242,0.0
8,46,21600,2.7006644150790047,0.07536764705882353
8,16,21600,3.3809540515596215,0.10511363636363637
1,1,21600,2.2924821065230803,0.08806818181818182
1,42,21600,0.33583527865509194,0.9791666666666666
8,6,21600,0.6637052972527111,0.9669117647058824
1,36,21600,1.15418156710538,0.6392045454545454
8,39,21600,2.3214154298239875,0.0
8,25,21600,0.6318545748790105,0.9229166666666667
8,38,21600,0.7973508384256136,0.8154761904761905
8,8,21600,1.2602597106905544,0.3952205882352941
8,27,21600,2.3491110298140296,0.0021551724137931034
8,10,21600,0.7477731436491013,0.6625
8,18,21600,2.300482221827325,0.0
8,7,21600,0.19043055772781373,1.0
8,9,21600,0.32675765216350555,0.95125
8,32,21600,0.6380332375948246,0.7139423076923077
1,41,21600,1.381024993211031,0.584375
1,0,21600,0.498640438169241,0.9
1,9,21600,0.3445169347524643,0.95125
1,49,21600,2.2954225293968036,0.19701086956521738
8,28,21600,0.7910192122925883,0.9293478260869565
8,42,21600,0.2662488153825204,0.9765625
8,26,21600,2.2909821199460163,0.3263888888888889
1,27,21600,2.314138454449331,0.19719827586206898
1,3,21600,1.0028405534103513,0.77734375
8,17,21600,2.38796551976549,0.0
8,13,21600,1.9431817151606083,0.6114583333333333
8,44,21600,2.32049567790495,0.0
8,24,21600,0.20285700126127762,0.9886363636363636
8,0,21600,0.5426842033863067,0.9020833333333333
8,14,21600,1.0495468974113464,0.05397727272727273
1,22,21600,2.3496648835106972,0.0
1,29,21600,2.2623345366709176,0.625
8,33,21600,1.383614965611034,0.5043402777777778
