Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,28,1,-1680913151.1726904,3515176,0.04635061760647939,0.374599358974359
1,4,1,-1680913157.6464522,3515176,0.04877934496425375,0.43156645569620256
1,16,1,-1680913159.0176466,3515176,0.03797930432483554,0.5768229166666666
1,30,1,-1680913157.7439451,3515176,0.031812415551394226,0.5009375
1,41,1,-1680913157.5411038,3515176,0.028746738355478335,0.6770833333333334
1,7,1,-1680913155.8627067,3515176,0.028914168965514308,0.736451048951049
1,8,1,-1680913156.2669353,3515176,0.04004075988004469,0.4175941780821918
1,40,1,-1680913155.7991319,3515176,0.04477345072797367,0.3380357142857143
1,31,1,-1680913156.7632494,3515176,0.04064222662121925,0.6119538834951457
1,13,1,-1680913155.6848269,3515176,0.046912946637619184,0.3528293918918919
1,1,1,-1680913155.4761212,3515176,0.0469850750354232,0.31101190476190477
1,36,1,-1680913155.6870096,3515176,0.030368331613321902,0.6790332512315271
1,6,1,-1680913155.2893038,3515176,0.04995580141099623,0.3118523316062176
1,24,1,-1680913154.3992395,3515176,0.0505464473747619,0.2914798206278027
1,44,1,-1680913153.8100533,3515176,0.049516402665645845,0.3676915322580645
2,16,1,-1680913160.407092,21600,0.025508617943463225,0.6295572916666666
2,42,1,-1680913160.6016152,21600,0.03338641647536021,0.8288461538461539
2,41,1,-1680913163.5136216,21600,0.021815764931854845,0.7219827586206896
2,38,1,-1680913160.6064558,21600,0.05157205418628805,0.49816176470588236
2,37,1,-1680913158.9382117,21600,0.043946964347637014,0.5707236842105263
2,27,1,-1680913170.5621128,21600,0.04518800758653217,0.41944444444444445
2,23,1,-1680913170.096267,21600,0.03284234599640933,0.5467069892473119
2,45,1,-1680913169.6283696,21600,0.04355765630801519,0.4753787878787879
2,5,1,-1680913162.0315382,21600,0.04990533496751342,0.45348837209302323
2,10,1,-1680913167.6249282,21600,0.04451351403013656,0.5274671052631579
2,2,1,-1680913167.8891747,21600,0.05290865716524422,0.3703125
2,3,1,-1680913160.1158643,21600,0.04237891110162178,0.5417290419161677
2,13,1,-1680913159.742631,21600,0.04307114217128303,0.43686655405405406
2,19,1,-1680913160.5730467,21600,0.027925186167984086,0.6679478609625669
2,48,1,-1680913156.6499336,21600,0.031921482284289565,0.7154985549132948
3,0,1,-1680913170.4390738,21600,0.02958006916437731,0.8699127906976745
3,16,1,-1680913166.1595254,21600,0.023676385288126767,0.65234375
3,4,1,-1680913162.9386432,21600,0.04216903674451611,0.5043512658227848
3,38,1,-1680913166.1090977,21600,0.037125134475383105,0.5134803921568627
3,23,1,-1680913169.664405,21600,0.024310711290567152,0.6213037634408602
3,43,1,-1680913174.3636053,21600,0.020514773164075194,0.9594298245614035
3,30,1,-1680913167.4847982,21600,0.026172118708491326,0.5453125
3,37,1,-1680913162.2329078,21600,0.0328526433410221,0.5731907894736842
3,40,1,-1680913162.0987508,21600,0.041666374440704076,0.4575
