Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,15,1,-1681052449.4024782,7720,0.05583942061124956,0.2569571865443425
1,12,1,-1681052453.0283835,7720,0.05233418264940778,0.3080007824726135
1,22,1,-1681052453.6169136,7720,0.05640535132572744,0.278980190755686
1,4,1,-1681052453.7289186,7720,0.05498130064580216,0.26350899005355777
1,3,1,-1681052453.6082885,7720,0.05542164341115169,0.2800678087080657
1,8,1,-1681052453.5248308,7720,0.054672354680984296,0.29074754901960786
1,14,1,-1681052453.1098464,7720,0.05440293997024784,0.30486625168236875
1,2,1,-1681052453.4481206,7720,0.05523674576397287,0.2511996161228407
1,18,1,-1681052453.1851625,7720,0.05392394415429225,0.28397872636262517
2,23,1,-1681052458.7174108,4752,0.05458343215432822,0.3179901960784314
2,11,1,-1681052458.2080252,4752,0.05762524516587411,0.2659299924924925
2,22,1,-1681052458.3386443,4752,0.056628641205746205,0.278980190755686
2,8,1,-1681052458.4424908,4752,0.0546995428174275,0.3020833333333333
2,5,1,-1681052457.9006119,4752,0.05699064152345155,0.2526168876482903
2,9,1,-1681052458.0395546,4752,0.05759162103964223,0.2659387550200803
2,6,1,-1681052458.2821977,4752,0.05704340676683994,0.26457380796864793
2,1,1,-1681052458.170115,4752,0.056776451640337976,0.31558889602053913
2,2,1,-1681052458.284249,4752,0.0555743213864526,0.27873080614203455
3,11,1,-1681052459.0085137,4752,0.054987621202774055,0.26794763513513514
3,22,1,-1681052458.893541,4752,0.05570628809157051,0.27904897285399854
3,4,1,-1681052459.0263786,4752,0.055263491032478365,0.2674540933435348
3,7,1,-1681052458.7759295,4752,0.05799974615492997,0.2641016139657444
3,17,1,-1681052458.47455,4752,0.058234202190284516,0.2632762738853503
3,2,1,-1681052459.6652894,4752,0.05458171482621594,0.3389915227127319
3,0,1,-1681052459.6430671,4752,0.05615481136363136,0.3289980732177264
3,15,1,-1681052458.2116554,4752,0.05612920849877395,0.31903669724770645
3,18,1,-1681052460.0276668,4752,0.054472973220075195,0.28488250834260287
4,12,1,-1681052460.457134,4752,0.05245464324298226,0.3123777386541471
4,4,1,-1681052462.244954,4752,0.05403686897129436,0.26585214231063503
4,3,1,-1681052461.840655,4752,0.05579807841186435,0.27991167023554603
4,9,1,-1681052458.8567784,4752,0.05509617345699345,0.30239708835341367
4,17,1,-1681052460.1628916,4752,0.055756355141093776,0.2654856687898089
4,7,1,-1681052459.280742,4752,0.05538057738839009,0.2951251646903821
4,2,1,-1681052459.604911,4752,0.05394792534120176,0.41446737044145876
4,0,1,-1681052463.6981876,4752,0.05321064862729497,0.33150690430314705
4,15,1,-1681052462.0046735,4752,0.05490269947580606,0.3642392966360856
5,11,1,-1681052459.8621614,4752,0.05435376477850092,0.26804147897897895
5,19,1,-1681052460.006373,4752,0.05825906228247073,0.2691627358490566
5,16,1,-1681052461.055175,4752,0.05744494018963503,0.36092849423631124
