Round,Cid,Size of parameters,Loss,Accuracy
1,7,3552,2.4405258670449257,0.0
1,11,3552,2.4044076055288315,0.0
1,21,3552,2.1277226097881794,0.125
1,28,3552,2.3993897698819637,0.0
1,24,3552,2.1236271373927593,0.1875
1,14,3552,2.0797196328639984,0.375
1,13,3552,2.3256697952747345,0.15625
1,17,3552,2.3250919468700886,0.296875
1,0,3552,2.3741438388824463,0.09375
1,9,3552,2.366063170135021,0.125
1,3,3552,2.252020087093115,0.125
1,5,3552,2.3372335340827703,0.203125
1,23,3552,2.512840885668993,0.0
1,19,3552,2.490272879600525,0.0
1,25,3552,2.0797119587659836,0.359375
1,27,3552,2.077580489218235,0.234375
1,10,3552,2.379277255386114,0.171875
1,6,3552,2.467287763953209,0.0
1,8,3552,2.1442503556609154,0.21875
1,29,3552,2.4238621685653925,0.0
1,16,3552,2.4348881524056196,0.015625
1,4,3552,2.050240382552147,0.3125
1,20,3552,2.3470434304326773,0.140625
1,12,3552,2.081485439091921,0.34375
1,26,3552,2.41668026894331,0.0
1,2,3552,2.125165890902281,0.1875
1,1,3552,2.3131003342568874,0.34375
1,18,3552,2.0731862373650074,0.171875
1,15,3552,2.138067550957203,0.15625
1,22,3552,2.345131130889058,0.1875
2,4,3552,2.1251068860292435,0.21875
2,5,3552,2.19866874627769,0.25
2,16,3552,2.3912648111581802,0.140625
2,27,3552,1.9899727180600166,0.328125
2,21,3552,1.9981947913765907,0.171875
2,26,3552,2.084953688085079,0.28125
2,11,3552,2.1309458017349243,0.28125
2,13,3552,2.3811813555657864,0.109375
2,29,3552,2.166765369474888,0.34375
2,17,3552,2.3963313959538937,0.0625
2,14,3552,2.085495751351118,0.375
2,24,3552,2.1338259801268578,0.203125
2,22,3552,2.3128585629165173,0.265625
2,25,3552,2.090244382619858,0.3125
2,19,3552,2.123420789837837,0.203125
2,7,3552,2.2810212038457394,0.3125
2,2,3552,2.038566444069147,0.328125
2,6,3552,2.208248022943735,0.25
2,18,3552,2.0955215990543365,0.15625
2,20,3552,2.546418946236372,0.0
2,10,3552,2.394143007695675,0.0625
2,3,3552,2.2507924996316433,0.125
2,9,3552,2.18942791223526,0.40625
2,8,3552,2.045172430574894,0.46875
2,12,3552,2.086701449006796,0.328125
2,15,3552,2.1341159865260124,0.171875
2,1,3552,2.22898006439209,0.21875
2,28,3552,2.349521305412054,0.28125
2,23,3552,2.3080476969480515,0.109375
2,0,3552,2.5165283754467964,0.0
3,25,3552,2.093928538262844,0.328125
3,23,3552,2.4165674820542336,0.0625
3,12,3552,2.0797783695161343,0.34375
3,4,3552,2.0423587039113045,0.46875
3,18,3552,1.9587268382310867,0.453125
3,11,3552,2.041053529828787,0.296875
3,14,3552,2.0878267735242844,0.375
3,1,3552,2.1923957616090775,0.21875
3,24,3552,2.0287195034325123,0.4375
3,3,3552,2.2519967816770077,0.125
3,6,3552,2.206060755997896,0.21875
3,8,3552,2.0612925216555595,0.4375
3,15,3552,1.996428731828928,0.171875
3,9,3552,2.1906509175896645,0.3125
3,26,3552,2.069070842117071,0.265625
3,13,3552,2.3871950395405293,0.125
3,27,3552,1.9638893082737923,0.375
3,16,3552,2.4025930427014828,0.046875
3,5,3552,2.201333364471793,0.25
3,2,3552,1.9750936031341553,0.5
3,19,3552,2.008355364203453,0.234375
3,17,3552,2.1491742692887783,0.390625
3,29,3552,2.17080419883132,0.375
3,22,3552,2.3937795162200928,0.09375
3,28,3552,2.2145429365336895,0.140625
3,0,3552,2.14973140694201,0.40625
3,7,3552,2.263533964753151,0.15625
3,21,3552,1.9894160851836205,0.171875
3,10,3552,2.2169842161238194,0.171875
3,20,3552,2.096306499093771,0.328125
4,16,3552,2.4036272801458836,0.046875
4,5,3552,2.198157835751772,0.25
4,7,3552,2.1107346266508102,0.1875
4,15,3552,1.9149375930428505,0.359375
4,8,3552,2.0538786500692368,0.46875
4,28,3552,2.2199861519038677,0.125
4,2,3552,1.9165339209139347,0.515625
4,17,3552,2.05238676071167,0.4375
4,19,3552,2.0144712924957275,0.25
4,18,3552,1.9314299672842026,0.484375
4,9,3552,2.07467882335186,0.40625
4,0,3552,2.024875745177269,0.390625
4,21,3552,1.9947186671197414,0.15625
4,6,3552,2.2049713023006916,0.1875
4,29,3552,2.169734749943018,0.3125
4,4,3552,1.9828780964016914,0.5
4,13,3552,2.2959169521927834,0.28125
4,26,3552,2.062535036355257,0.265625
4,3,3552,2.132965072989464,0.390625
4,14,3552,2.086994044482708,0.375
4,22,3552,2.1279296092689037,0.15625
4,24,3552,2.0281934775412083,0.421875
4,23,3552,2.161251187324524,0.140625
4,20,3552,2.0520114600658417,0.4375
4,12,3552,1.9806587062776089,0.59375
4,11,3552,2.0417128801345825,0.296875
4,10,3552,2.4472076073288918,0.234375
4,25,3552,1.9924502335488796,0.3125
4,1,3552,2.1650162115693092,0.34375
4,27,3552,1.9657173231244087,0.34375
5,27,3552,1.902015846222639,0.5
5,9,3552,2.073084846138954,0.375
5,10,3552,2.4622172601521015,0.046875
5,5,3552,2.202399494126439,0.25
5,6,3552,2.221893109381199,0.15625
5,17,3552,2.0664525777101517,0.40625
5,20,3552,1.9294253550469875,0.46875
5,25,3552,1.9238086938858032,0.3125
5,28,3552,2.207940172404051,0.140625
5,21,3552,1.9905315041542053,0.171875
5,29,3552,2.1693647354841232,0.359375
5,12,3552,1.9771836437284946,0.609375
5,19,3552,1.8984279334545135,0.265625
5,0,3552,1.9102801494300365,0.421875
5,23,3552,2.0416010804474354,0.28125
5,11,3552,1.976884551346302,0.3125
5,4,3552,1.9725123420357704,0.59375
5,1,3552,2.1615714579820633,0.1875
5,2,3552,1.9241329804062843,0.515625
5,22,3552,1.9760806299746037,0.28125
5,13,3552,2.3994403891265392,0.015625
5,15,3552,1.9159437082707882,0.359375
5,24,3552,2.0270789973437786,0.453125
5,16,3552,2.1862404830753803,0.34375
5,7,3552,2.115798868238926,0.28125
5,8,3552,1.9957781881093979,0.46875
5,26,3552,2.0806964114308357,0.28125
5,3,3552,2.1334842927753925,0.390625
5,14,3552,2.002501532435417,0.390625
5,18,3552,1.9487906135618687,0.46875
6,22,3552,1.99021752551198,0.25
6,9,3552,2.0738921463489532,0.5
6,20,3552,1.9714452102780342,0.40625
6,18,3552,1.8441151082515717,0.5625
6,6,3552,2.204655308276415,0.21875
6,3,3552,2.133948352187872,0.390625
6,25,3552,1.855152901262045,0.3125
6,1,3552,2.0902176201343536,0.1875
6,28,3552,2.1184340305626392,0.21875
6,11,3552,1.9756261892616749,0.3125
6,16,3552,2.1788956485688686,0.359375
6,15,3552,1.8540305122733116,0.375
6,17,3552,2.0606223605573177,0.4375
