Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,27,1,-1681053460.839464,8400,2.2674454847971597,0.2222222222222222
1,3,1,-1681053462.9795442,8400,2.278108835220337,0.17857142857142858
1,8,1,-1681053463.064081,8400,2.2937025342668806,0.16964285714285715
1,18,1,-1681053462.9401417,8400,2.238761027654012,0.2465277777777778
1,15,1,-1681053463.0830884,8400,2.2717630598280163,0.1423611111111111
1,24,1,-1681053462.9831147,8400,2.2569058656692507,0.190625
1,25,1,-1681053463.0270097,8400,2.2703608671824136,0.21180555555555555
1,4,1,-1681053463.0902395,8400,2.286205564226423,0.18303571428571427
1,2,1,-1681053463.0541775,8400,2.263888657093048,0.19921875
2,1,1,-1681053465.6514227,8400,2.2880144119262695,0.10714285714285714
2,5,1,-1681053465.561786,8400,2.295012027025223,0.1171875
2,9,1,-1681053465.717632,8400,2.29555116380964,0.12053571428571429
2,29,1,-1681053465.6777651,8400,2.2812881999545627,0.14583333333333334
2,21,1,-1681053465.6245363,8400,2.2864699959754944,0.125
2,11,1,-1681053465.2723897,8400,2.297923266887665,0.13671875
2,2,1,-1681053465.680931,8400,2.2937701046466827,0.1328125
2,26,1,-1681053465.718593,8400,2.2663435671064587,0.16666666666666666
2,27,1,-1681053465.6704743,8400,2.2828118006388345,0.1701388888888889
3,19,1,-1681053465.7839868,8400,2.2375088036060333,0.1875
3,7,1,-1681053465.8316126,8400,2.2486791951315745,0.20089285714285715
3,17,1,-1681053465.7668114,8400,2.2330457634396024,0.18055555555555555
3,15,1,-1681053465.7582166,8400,2.220338132646349,0.1736111111111111
3,28,1,-1681053465.8396497,8400,2.2388876080513,0.21484375
3,4,1,-1681053465.7331283,8400,2.2518908296312605,0.17410714285714285
3,18,1,-1681053465.385512,8400,2.2231240272521973,0.21875
3,11,1,-1681053465.8580174,8400,2.2455578446388245,0.1640625
3,20,1,-1681053465.8716993,8400,2.2066359519958496,0.31875
4,12,1,-1681053465.9936352,8400,2.1904402673244476,0.171875
4,3,1,-1681053465.975901,8400,2.2111504759107317,0.17410714285714285
4,9,1,-1681053465.9126573,8400,2.196904012135097,0.20982142857142858
4,7,1,-1681053465.9598851,8400,2.1792703696659634,0.24107142857142858
4,4,1,-1681053465.4771829,8400,2.1937155382973805,0.19196428571428573
4,23,1,-1681053465.9272332,8400,2.179002496931288,0.2013888888888889
4,2,1,-1681053465.9884367,8400,2.1937528252601624,0.1796875
4,22,1,-1681053465.970907,8400,2.1696527269151478,0.19791666666666666
4,15,1,-1681053465.8593,8400,2.166397942437066,0.21875
5,11,1,-1681053466.0658185,8400,2.1251693964004517,0.25390625
5,20,1,-1681053466.0859334,8400,2.072289764881134,0.271875
5,8,1,-1681053466.179656,8400,2.1206752232142856,0.22321428571428573
5,22,1,-1681053466.1187162,8400,2.0965035491519504,0.2465277777777778
5,25,1,-1681053466.3082452,8400,2.104919857449002,0.3125
