Round,Cid,Size of parameters,Loss,Accuracy
1,23,8640,2.262561028858401,0.2956957547169811
1,7,8640,2.275184585425344,0.23144788918205805
1,16,8640,2.2905844535882602,0.18894092219020173
1,14,8640,2.2810765848648193,0.22018194070080863
1,0,8640,2.2889483115973386,0.206780205655527
1,11,8640,2.2739370592363604,0.2227852852852853
1,15,8640,2.2827536329334857,0.20159313725490197
1,17,8640,2.2857352026871274,0.18104272959183673
1,20,8640,2.278001665514569,0.21417151162790699
1,8,8640,2.292807993100805,0.17401960784313725
1,9,8640,2.2884185109637056,0.18029490616621985
1,12,8640,2.255026947368275,0.30574059561128525
1,13,8640,2.2783106764720453,0.2219369688385269
1,19,8640,2.2766579292541325,0.21266351744186046
1,4,8640,2.2799279499639034,0.23360812883435583
1,21,8640,2.2672912202562605,0.24401785714285715
1,22,8640,2.288042394996039,0.16752199413489735
1,6,8640,2.2874255043408267,0.19239556135770236
1,10,8640,2.279372471087688,0.23902027027027026
1,5,8640,2.2683789989801757,0.24729399441340782
1,3,8640,2.2806205933434622,0.19151785714285716
1,18,8640,2.2641472614687643,0.2809716035634744
1,2,8640,2.2753125716478397,0.22612179487179487
1,1,8640,2.283641251929315,0.16894280205655526
2,5,8640,2.2098535159446673,0.24746857541899442
2,23,8640,2.2042158467214814,0.2962853773584906
2,4,8640,2.222767682163262,0.23399156441717792
2,10,8640,2.2215542445311676,0.2391891891891892
2,16,8640,2.2325980079277103,0.18894092219020173
2,11,8640,2.21562184442629,0.22287912912912913
2,19,8640,2.218508104252261,0.21257267441860464
2,12,8640,2.1971601587851595,0.30574059561128525
2,21,8640,2.209385549000331,0.24375
2,7,8640,2.2181104286364954,0.23144788918205805
2,14,8640,2.223137063800164,0.22018194070080863
2,22,8640,2.2299539993934965,0.16752199413489735
2,15,8640,2.2250125601011166,0.20197610294117646
2,17,8640,2.2276113051540998,0.18096301020408162
2,8,8640,2.234456341473662,0.17419467787114845
2,18,8640,2.206733652637371,0.2806932071269488
2,9,8640,2.2309230300760143,0.18029490616621985
2,3,8640,2.2221684394563948,0.19160714285714286
2,6,8640,2.2296073218861077,0.19239556135770236
2,1,8640,2.2245051836293275,0.16934447300771208
2,13,8640,2.22005252662529,0.22184844192634562
2,2,8640,2.217558471361796,0.22572115384615385
2,20,8640,2.220527060641799,0.2140988372093023
2,0,8640,2.2327137495987213,0.20669987146529564
3,0,8640,2.1612169564842874,0.206780205655527
3,8,8640,2.1610495222716772,0.17419467787114845
3,12,8640,2.12350026940851,0.3058385579937304
3,19,8640,2.144745313150938,0.2129360465116279
