Round,Cid,Size of parameters,Loss,Accuracy
1,7,22400,2.2611310482025146,0.09375
1,28,22400,2.272449254989624,0.109375
1,24,22400,2.2802456617355347,0.046875
1,14,22400,2.2635715007781982,0.078125
1,11,22400,2.269311785697937,0.140625
1,0,22400,2.2786405086517334,0.09375
1,13,22400,2.2834770679473877,0.0625
1,21,22400,2.264409899711609,0.0625
1,9,22400,2.2664170265197754,0.15625
1,17,22400,2.2676663398742676,0.03125
1,5,22400,2.2724629640579224,0.03125
1,19,22400,2.269729971885681,0.0
1,3,22400,2.2769452333450317,0.109375
1,23,22400,2.271736264228821,0.0
1,10,22400,2.267103433609009,0.1875
1,29,22400,2.2752593755722046,0.046875
1,25,22400,2.2753528356552124,0.015625
1,16,22400,2.264529228210449,0.09375
1,6,22400,2.2738871574401855,0.03125
1,8,22400,2.2770683765411377,0.125
1,27,22400,2.269973039627075,0.03125
1,2,22400,2.265440344810486,0.09375
1,12,22400,2.2670178413391113,0.015625
1,18,22400,2.275710344314575,0.046875
1,20,22400,2.272709369659424,0.109375
1,26,22400,2.269135594367981,0.109375
1,22,22400,2.2728476524353027,0.03125
1,15,22400,2.271007537841797,0.0625
1,4,22400,2.267749071121216,0.03125
1,1,22400,2.2507169246673584,0.28125
2,5,22400,2.237654447555542,0.1875
2,27,22400,2.230674147605896,0.21875
2,16,22400,2.2300267219543457,0.21875
2,4,22400,2.2348387241363525,0.21875
2,26,22400,2.2266056537628174,0.265625
2,11,22400,2.2320650815963745,0.296875
2,13,22400,2.2492971420288086,0.078125
2,14,22400,2.2255505323410034,0.296875
2,29,22400,2.2324841022491455,0.171875
2,21,22400,2.225213646888733,0.171875
2,17,22400,2.2316173315048218,0.34375
2,24,22400,2.2395108938217163,0.25
2,22,22400,2.233879327774048,0.09375
2,25,22400,2.235255002975464,0.1875
2,7,22400,2.2324020862579346,0.21875
2,18,22400,2.2314471006393433,0.25
2,2,22400,2.229509711265564,0.375
2,20,22400,2.234802484512329,0.296875
2,6,22400,2.2427804470062256,0.25
2,19,22400,2.226493239402771,0.15625
2,10,22400,2.227845549583435,0.3125
2,3,22400,2.242127299308777,0.1875
2,8,22400,2.2335081100463867,0.15625
2,9,22400,2.22932767868042,0.3125
2,28,22400,2.2383607625961304,0.234375
2,15,22400,2.2311763763427734,0.203125
2,1,22400,2.2327957153320312,0.375
2,23,22400,2.2299565076828003,0.09375
2,12,22400,2.227408766746521,0.15625
2,0,22400,2.2452439069747925,0.25
3,12,22400,2.179362177848816,0.234375
3,18,22400,2.185167908668518,0.421875
3,23,22400,2.1921777725219727,0.265625
3,25,22400,2.187154531478882,0.25
3,11,22400,2.189677596092224,0.296875
3,4,22400,2.1817128658294678,0.40625
3,1,22400,2.178950309753418,0.5
3,14,22400,2.1806509494781494,0.375
3,3,22400,2.2029842138290405,0.265625
3,24,22400,2.2016879320144653,0.21875
3,15,22400,2.1931952238082886,0.234375
3,6,22400,2.2189178466796875,0.34375
3,9,22400,2.183398962020874,0.375
3,26,22400,2.1775336265563965,0.328125
3,13,22400,2.2088406085968018,0.125
3,8,22400,2.2013039588928223,0.25
3,29,22400,2.202266573905945,0.25
3,2,22400,2.191105365753174,0.359375
3,17,22400,2.190481662750244,0.296875
3,7,22400,2.188566207885742,0.28125
3,19,22400,2.1832497119903564,0.34375
3,16,22400,2.1898001432418823,0.265625
3,10,22400,2.1844900846481323,0.40625
3,22,22400,2.1826733350753784,0.25
3,5,22400,2.194105625152588,0.359375
3,20,22400,2.1931711435317993,0.28125
3,0,22400,2.21130633354187,0.234375
3,28,22400,2.2003538608551025,0.296875
3,27,22400,2.1908940076828003,0.328125
3,21,22400,2.178144335746765,0.328125
4,16,22400,2.1481748819351196,0.28125
4,7,22400,2.1532888412475586,0.28125
4,5,22400,2.1484522819519043,0.46875
4,15,22400,2.1477376222610474,0.1875
4,8,22400,2.1567704677581787,0.40625
4,28,22400,2.159223198890686,0.28125
4,9,22400,2.1359703540802,0.4375
4,17,22400,2.144544243812561,0.296875
4,21,22400,2.132007122039795,0.265625
4,2,22400,2.1427290439605713,0.40625
4,0,22400,2.1747303009033203,0.296875
4,18,22400,2.135833263397217,0.421875
4,19,22400,2.1332004070281982,0.40625
4,6,22400,2.152796745300293,0.3125
4,29,22400,2.1568084955215454,0.265625
4,14,22400,2.1352375745773315,0.421875
4,25,22400,2.1362253427505493,0.359375
4,23,22400,2.146233081817627,0.34375
4,22,22400,2.140036106109619,0.28125
4,13,22400,2.1652194261550903,0.1875
4,4,22400,2.1383419036865234,0.375
4,1,22400,2.148611068725586,0.4375
4,12,22400,2.1313836574554443,0.265625
4,20,22400,2.155954360961914,0.296875
4,3,22400,2.1588722467422485,0.25
4,26,22400,2.1354953050613403,0.484375
4,27,22400,2.1349815130233765,0.359375
4,11,22400,2.143279552459717,0.34375
4,24,22400,2.1508132219314575,0.234375
4,10,22400,2.1382235288619995,0.4375
5,5,22400,2.0923709869384766,0.515625
5,27,22400,2.082138180732727,0.46875
5,9,22400,2.077181339263916,0.53125
5,17,22400,2.0890003442764282,0.390625
5,21,22400,2.0630311965942383,0.40625
5,6,22400,2.1132662296295166,0.3125
5,10,22400,2.083845853805542,0.484375
5,20,22400,2.099927544593811,0.390625
5,28,22400,2.111013174057007,0.3125
5,12,22400,2.0645742416381836,0.328125
5,29,22400,2.106722593307495,0.375
5,23,22400,2.088991403579712,0.4375
5,25,22400,2.074293375015259,0.453125
5,1,22400,2.091397523880005,0.53125
5,22,22400,2.0700738430023193,0.421875
5,2,22400,2.0874080657958984,0.453125
5,0,22400,2.1246278285980225,0.3125
5,11,22400,2.0855562686920166,0.46875
5,4,22400,2.0806827545166016,0.46875
5,19,22400,2.0660206079483032,0.515625
5,15,22400,2.0823434591293335,0.359375
5,13,22400,2.1113765239715576,0.28125
5,16,22400,2.0976074934005737,0.296875
5,3,22400,2.1068249940872192,0.40625
5,8,22400,2.098921537399292,0.4375
5,14,22400,2.0777769088745117,0.515625
5,24,22400,2.085849404335022,0.359375
5,7,22400,2.0956835746765137,0.5625
5,26,22400,2.072758436203003,0.5
5,18,22400,2.073755621910095,0.578125
6,22,22400,2.0129510164260864,0.40625
6,20,22400,2.033241391181946,0.40625
6,25,22400,2.0069006085395813,0.46875
6,3,22400,2.043153405189514,0.390625
6,1,22400,2.042813777923584,0.46875
6,9,22400,2.010791540145874,0.5625
6,6,22400,2.057677745819092,0.3125
6,18,22400,2.0013163089752197,0.46875
6,28,22400,2.052003502845764,0.328125
6,17,22400,2.018532156944275,0.359375
6,16,22400,2.0225117206573486,0.296875
6,15,22400,2.0162594318389893,0.328125
6,11,22400,2.0198158025741577,0.484375
6,29,22400,2.0533488988876343,0.28125
6,4,22400,2.025646686553955,0.53125
6,24,22400,2.0277053117752075,0.390625
6,26,22400,2.0003809928894043,0.46875
6,10,22400,2.019212245941162,0.453125
6,5,22400,2.0269312858581543,0.5
6,0,22400,2.0710357427597046,0.34375
6,23,22400,2.033021330833435,0.4375
6,27,22400,2.015032470226288,0.453125
6,19,22400,1.9945021867752075,0.609375
6,13,22400,2.0485217571258545,0.375
6,8,22400,2.05379319190979,0.46875
6,2,22400,2.0357766151428223,0.46875
6,7,22400,2.012411117553711,0.4375
6,12,22400,1.9999597668647766,0.390625
6,14,22400,2.0107932090759277,0.5
6,21,22400,1.9947839975357056,0.3125
7,3,22400,1.9740844368934631,0.28125
7,18,22400,1.9191859364509583,0.421875
7,28,22400,1.987203061580658,0.28125
7,20,22400,1.9602288007736206,0.34375
7,6,22400,1.9699656963348389,0.21875
7,11,22400,1.946833848953247,0.375
7,29,22400,1.9741273522377014,0.21875
7,17,22400,1.943480134010315,0.1875
7,2,22400,1.9660110473632812,0.34375
7,27,22400,1.9572261571884155,0.40625
7,1,22400,1.9722342491149902,0.5
7,15,22400,1.9385151267051697,0.21875
7,25,22400,1.9295884370803833,0.390625
7,13,22400,1.9779784083366394,0.328125
7,5,22400,1.956738293170929,0.453125
7,9,22400,1.9511911869049072,0.375
7,23,22400,1.9681386351585388,0.328125
7,7,22400,1.9388415813446045,0.4375
7,10,22400,1.949371576309204,0.265625
7,21,22400,1.9175024628639221,0.3125
7,12,22400,1.9132248163223267,0.34375
7,8,22400,1.9815595149993896,0.3125
7,14,22400,1.9400988221168518,0.421875
7,19,22400,1.928679645061493,0.484375
7,24,22400,1.9565359950065613,0.203125
7,4,22400,1.9414474964141846,0.34375
7,26,22400,1.9328135251998901,0.34375
7,22,22400,1.9280247688293457,0.46875
7,16,22400,1.958793818950653,0.203125
7,0,22400,2.001047968864441,0.265625
8,7,22400,1.860152006149292,0.4375
8,22,22400,1.858027458190918,0.453125
8,2,22400,1.8985811471939087,0.25
8,20,22400,1.8912465572357178,0.328125
8,15,22400,1.8521830439567566,0.203125
8,16,22400,1.8777352571487427,0.21875
8,4,22400,1.845805287361145,0.5
8,6,22400,1.9098238945007324,0.21875
8,18,22400,1.838383674621582,0.421875
8,19,22400,1.844551146030426,0.53125
8,1,22400,1.8818265199661255,0.375
8,27,22400,1.8686786890029907,0.34375
8,17,22400,1.8746025562286377,0.1875
8,25,22400,1.848672330379486,0.40625
8,26,22400,1.843891203403473,0.3125
8,13,22400,1.9025642275810242,0.328125
8,29,22400,1.920166254043579,0.171875
8,5,22400,1.8862420916557312,0.421875
8,23,22400,1.9030154347419739,0.28125
8,12,22400,1.8265367150306702,0.34375
8,14,22400,1.870514988899231,0.421875
8,24,22400,1.8820974826812744,0.171875
8,8,22400,1.9239375591278076,0.3125
8,10,22400,1.8799325227737427,0.1875
8,3,22400,1.9043625593185425,0.25
8,0,22400,1.9385170340538025,0.203125
8,11,22400,1.8709131479263306,0.328125
8,21,22400,1.834691345691681,0.359375
8,9,22400,1.8568823337554932,0.46875
8,28,22400,1.9207252264022827,0.25
9,8,22400,1.8941404819488525,0.0625
9,10,22400,1.8148664832115173,0.25
9,1,22400,1.8346514701843262,0.40625
9,25,22400,1.7808506488800049,0.421875
9,6,22400,1.8276853561401367,0.21875
9,22,22400,1.7718783020973206,0.40625
9,0,22400,1.8667484521865845,0.203125
9,13,22400,1.8303032517433167,0.328125
9,12,22400,1.7568446397781372,0.328125
